2023-04-25 17:49:42,849 INFO Experiment: neigh_price_impact
2023-04-25 17:49:42,852 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-25 17:53:00,572 INFO Negative OS: -0.2837868249477997 --- ticker AAPL, V, ORCL, DIS, MSFT --- day 2017-02-07 --- time 43200
2023-04-25 17:53:06,941 INFO Negative OS: -0.05732496145518873 --- ticker GOOGL, GOOG, DHR, CRM, PYPL --- day 2017-02-08 --- time 36000
2023-04-25 17:53:15,454 INFO Negative OS: -0.5445728475484677 --- ticker COST, WMT, SBUX, GE, CSCO --- day 2017-02-09 --- time 36000
2023-04-25 17:53:15,850 INFO Negative OS: -0.010083984707836224 --- ticker AMZN, PYPL, GOOG, AAPL, ADBE --- day 2017-02-09 --- time 37800
2023-04-25 17:53:15,859 INFO Negative OS: -0.16123617055079875 --- ticker GOOGL, DIS, GOOG, MSFT, TXN --- day 2017-02-09 --- time 37800
2023-04-25 17:53:16,747 INFO Negative OS: -1.3802092370106251 --- ticker AMZN, FB, TXN, HD, PYPL --- day 2017-02-09 --- time 41400
2023-04-25 17:53:23,797 INFO Negative OS: -0.030715926716970543 --- ticker GOOG, MDLZ, GOOGL, GE, CMCSA --- day 2017-02-10 --- time 37800
2023-04-25 17:53:24,663 INFO Negative OS: -0.048951796184525165 --- ticker GOOGL, PEP, PYPL, CSCO, PG --- day 2017-02-10 --- time 41400
2023-04-25 17:53:26,770 INFO Negative OS: -0.3501857744665411 --- ticker AMZN, MCD, T, MO, XOM --- day 2017-02-10 --- time 50400
2023-04-25 17:53:27,205 INFO Negative OS: -0.22707749250032094 --- ticker AMZN, MO, TXN, T, DHR --- day 2017-02-10 --- time 52200
