start_time,start_price,end_price,ofi_1,ofi_2,ofi_3,ofi_4,ofi_5,ofi_6,ofi_7,ofi_8,ofi_9,ofi_10,ofi_add_1,ofi_add_2,ofi_add_3,ofi_add_4,ofi_add_5,ofi_add_6,ofi_add_7,ofi_add_8,ofi_add_9,ofi_add_10,ofi_cancel_1,ofi_cancel_2,ofi_cancel_3,ofi_cancel_4,ofi_cancel_5,ofi_cancel_6,ofi_cancel_7,ofi_cancel_8,ofi_cancel_9,ofi_cancel_10,ofi_trade_1,ofi_trade_2,ofi_trade_3,ofi_trade_4,ofi_trade_5,ofi_trade_6,ofi_trade_7,ofi_trade_8,ofi_trade_9,ofi_trade_10
34480,159.535,159.535,-1.9801980198019802,-6.0,-0.2857142857142857,-6.0,-1.0,-0.6666666666666666,-0.2857142857142857,-1.7142857142857142,-0.2857142857142857,-5.454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34490,159.535,159.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34500,159.535,159.535,0.0,0.0,-0.32432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34510,159.535,159.36,-1.18562874251497,-0.972972972972973,-2.3736263736263736,-1.3846153846153846,-0.2236024844720497,-1.325153374233129,-1.4566473988439306,0.42105263157894735,-3.1718061674008813,-2.5040322580645165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34520,159.36,159.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34530,159.36,159.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34540,159.36,159.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34550,159.36,159.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34560,159.36,159.345,-1.0,-0.9090909090909091,-0.9090909090909091,-0.3051643192488263,-1.7870819504723003,-2.0,-1.4,-4.285714285714286,-4.25531914893617,-1.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34570,159.345,159.345,0.0,0.0,0.0,0.052740434332988625,0.23076923076923078,1.6363636363636362,0.23076923076923078,1.7142857142857142,2.2085889570552144,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
