2023-04-20 05:14:33,607 INFO Tickers: ['JNJ']
2023-04-20 05:15:03,327 INFO Negative OS: -0.0994758752165188 --- ticker JNJ --- day 2017-02-27 --- time 52200
2023-04-20 05:17:36,014 INFO Negative OS: -0.2969942450804166 --- ticker JNJ --- day 2018-01-11 --- time 52200
2023-04-20 05:17:43,827 INFO Negative OS: -0.5784285601701502 --- ticker JNJ --- day 2018-01-29 --- time 50400
2023-04-20 05:18:35,822 INFO Negative OS: -2.5462071713197982 --- ticker JNJ --- day 2018-04-02 --- time 36000
2023-04-20 05:21:23,576 INFO Negative OS: -0.1642704076507162 --- ticker JNJ --- day 2018-12-19 --- time 48600
2023-04-20 05:23:18,476 INFO Negative OS: -0.04173269443949512 --- ticker JNJ --- day 2019-05-24 --- time 43200
2023-04-20 05:25:24,924 INFO t_ofi_trade_5: 0.7234095842096971 , std 0.7966654423765405 
2023-04-20 05:25:24,924 INFO t_ofi_trade_6: 0.6338749013671373 , std 0.769070402390752 
2023-04-20 05:25:24,924 INFO t_ofi_trade_7: 0.545546673483026 , std 0.7455882504159379 
2023-04-20 05:25:24,924 INFO t_ofi_trade_8: 0.5162978775320032 , std 0.7148591450428895 
2023-04-20 05:25:24,924 INFO t_ofi_trade_9: 0.5079662694014575 , std 0.7342257262535447 
2023-04-20 05:25:24,924 INFO t_ofi_trade_10: 0.521482835339209 , std 0.7898248817778116 
2023-04-20 05:25:24,924 INFO p_intercept: 0.5394981497994139 , std 0.2769685991536958 
2023-04-20 05:25:24,924 INFO p_ofi_add_1: 0.33716369442763344 , std 0.35238003462558654 
2023-04-20 05:25:24,924 INFO p_ofi_add_2: 0.2889520328471728 , std 0.33726975656707525 
2023-04-20 05:25:24,924 INFO p_ofi_add_3: 0.3483550093691718 , std 0.33517773056948874 
2023-04-20 05:25:24,924 INFO p_ofi_add_4: 0.40260392214497215 , std 0.34670289912715435 
2023-04-20 05:25:24,924 INFO p_ofi_add_5: 0.4607189949634928 , std 0.34925941314689507 
2023-04-20 05:25:24,924 INFO p_ofi_add_6: 0.48858731701245767 , std 0.34744757464728804 
2023-04-20 05:25:24,924 INFO p_ofi_add_7: 0.5612740863971869 , std 0.3394360838178976 
2023-04-20 05:25:24,924 INFO p_ofi_add_8: 0.5942788856212363 , std 0.33730054568855233 
2023-04-20 05:25:24,924 INFO p_ofi_add_9: 0.6251293761902141 , std 0.3361681486794717 
2023-04-20 05:25:24,924 INFO p_ofi_add_10: 0.6285164000848951 , std 0.35181452126090235 
2023-04-20 05:25:24,924 INFO p_ofi_cancel_1: 0.4384417079322412 , std 0.3959934422216072 
2023-04-20 05:25:24,924 INFO p_ofi_cancel_2: 0.2938598485420095 , std 0.3478178478081296 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_3: 0.3859187294405276 , std 0.34942368262077134 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_4: 0.4324248122068278 , std 0.3556163515325905 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_5: 0.5023806734266835 , std 0.35779112722312056 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_6: 0.5477923129403581 , std 0.35581999594479624 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_7: 0.6441486907586389 , std 0.3434710030029071 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_8: 0.6697791097231863 , std 0.33765075097719033 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_9: 0.7031823265498304 , std 0.33380703554894464 
2023-04-20 05:25:24,925 INFO p_ofi_cancel_10: 0.6766338813747061 , std 0.3539035498832039 
2023-04-20 05:25:24,925 INFO p_ofi_trade_1: 0.783923280156033 , std 0.3385844248940794 
2023-04-20 05:25:24,925 INFO p_ofi_trade_2: 0.6262777655733374 , std 0.38043339657603953 
2023-04-20 05:25:24,925 INFO p_ofi_trade_3: 0.5869164776930512 , std 0.3722695855292957 
2023-04-20 05:25:24,925 INFO p_ofi_trade_4: 0.5418858373463936 , std 0.3696053630173889 
2023-04-20 05:25:24,925 INFO p_ofi_trade_5: 0.5722319555978826 , std 0.36595689130546566 
2023-04-20 05:25:24,925 INFO p_ofi_trade_6: 0.6123273468203609 , std 0.36013137363428543 
2023-04-20 05:25:24,925 INFO p_ofi_trade_7: 0.6551066690416579 , std 0.3536664077368122 
2023-04-20 05:25:24,925 INFO p_ofi_trade_8: 0.6786288666753822 , std 0.34803560453113286 
2023-04-20 05:25:24,925 INFO p_ofi_trade_9: 0.6910635208460881 , std 0.3503995244003455 
2023-04-20 05:25:24,925 INFO p_ofi_trade_10: 0.6965184916729233 , std 0.3596427375607642 
