2023-04-20 06:46:34,468 INFO Tickers: ['GS']
2023-04-20 06:46:39,201 INFO Negative OS: -0.12151002347601159 --- ticker GS --- day 2017-01-13 --- time 41400
2023-04-20 06:46:39,940 INFO Negative OS: -0.002148930976723973 --- ticker GS --- day 2017-01-17 --- time 50400
2023-04-20 06:47:41,583 INFO Negative OS: -3.038919193218388 --- ticker GS --- day 2017-12-12 --- time 48600
2023-04-20 06:47:46,610 INFO Negative OS: -6.583773178067011 --- ticker GS --- day 2018-01-19 --- time 50400
2023-04-20 06:47:55,135 INFO Negative OS: -0.7761294790600335 --- ticker GS --- day 2018-02-05 --- time 45000
2023-04-20 06:48:20,444 INFO Negative OS: -1.2204684558092214 --- ticker GS --- day 2018-03-23 --- time 50400
2023-04-20 06:48:30,156 INFO Negative OS: -0.05031620253821445 --- ticker GS --- day 2018-04-02 --- time 45000
2023-04-20 06:48:31,854 INFO Negative OS: -1.0059596580946653 --- ticker GS --- day 2018-04-02 --- time 50400
2023-04-20 06:50:36,458 INFO Negative OS: -2.525481011513273 --- ticker GS --- day 2018-11-06 --- time 52200
2023-04-20 06:51:46,844 INFO Negative OS: -0.7433765348227357 --- ticker GS --- day 2019-02-04 --- time 52200
2023-04-20 06:52:55,102 INFO Negative OS: -0.1490859055363125 --- ticker GS --- day 2019-05-22 --- time 43200
2023-04-20 06:53:14,395 INFO Negative OS: -0.20646897109941031 --- ticker GS --- day 2019-07-01 --- time 50400
2023-04-20 06:54:47,818 INFO t_ofi_cancel_10: 0.5175852195041489 , std 0.7470341733689886 
2023-04-20 06:54:47,818 INFO t_ofi_trade_1: 0.44592685433941304 , std 0.7441851472746862 
2023-04-20 06:54:47,818 INFO t_ofi_trade_2: 0.5431107454375399 , std 0.7354599959959615 
2023-04-20 06:54:47,818 INFO t_ofi_trade_3: 0.5331133443252973 , std 0.7133281543841581 
2023-04-20 06:54:47,818 INFO t_ofi_trade_4: 0.4495183756127668 , std 0.6685231554854575 
2023-04-20 06:54:47,818 INFO t_ofi_trade_5: 0.4084039839033109 , std 0.6319777528283865 
2023-04-20 06:54:47,818 INFO t_ofi_trade_6: 0.42044206465315287 , std 0.6322310630142548 
2023-04-20 06:54:47,818 INFO t_ofi_trade_7: 0.41586002706229924 , std 0.6252793236767502 
2023-04-20 06:54:47,818 INFO t_ofi_trade_8: 0.44395805602663774 , std 0.62936560314167 
2023-04-20 06:54:47,818 INFO t_ofi_trade_9: 0.473710942725322 , std 0.6590993860034092 
2023-04-20 06:54:47,818 INFO t_ofi_trade_10: 0.5498538286334171 , std 0.7286710930288012 
2023-04-20 06:54:47,818 INFO p_intercept: 0.501046478143307 , std 0.2875337212928784 
2023-04-20 06:54:47,818 INFO p_ofi_add_1: 0.3236332058845793 , std 0.3558631737232032 
2023-04-20 06:54:47,818 INFO p_ofi_add_2: 0.22920190976001883 , std 0.2941521688785334 
2023-04-20 06:54:47,818 INFO p_ofi_add_3: 0.3322254284310899 , std 0.32726293986269384 
2023-04-20 06:54:47,818 INFO p_ofi_add_4: 0.47425829060939245 , std 0.34555980237447725 
2023-04-20 06:54:47,818 INFO p_ofi_add_5: 0.5558034944796777 , std 0.34090078827617526 
2023-04-20 06:54:47,818 INFO p_ofi_add_6: 0.6162442078410479 , std 0.32800747812769954 
2023-04-20 06:54:47,819 INFO p_ofi_add_7: 0.6427846167426151 , std 0.319940723356227 
2023-04-20 06:54:47,819 INFO p_ofi_add_8: 0.663989295362483 , std 0.3079960874661491 
