2023-04-20 06:03:33,215 INFO Tickers: ['PM']
2023-04-20 06:05:14,008 INFO Negative OS: -0.12654824733679337 --- ticker PM --- day 2017-07-28 --- time 37800
2023-04-20 06:06:12,138 INFO Negative OS: -0.11536178556594967 --- ticker PM --- day 2017-11-30 --- time 41400
2023-04-20 06:06:12,371 INFO Negative OS: -0.11787200993102087 --- ticker PM --- day 2017-11-30 --- time 46800
2023-04-20 06:06:29,134 INFO Negative OS: -0.660592431902377 --- ticker PM --- day 2018-01-17 --- time 50400
2023-04-20 06:06:49,581 INFO Negative OS: -1.7528225774105048 --- ticker PM --- day 2018-02-08 --- time 46800
2023-04-20 06:07:00,136 INFO Negative OS: -1.5195544468275224 --- ticker PM --- day 2018-02-14 --- time 50400
2023-04-20 06:08:18,216 INFO Negative OS: -2.853332014378908 --- ticker PM --- day 2018-08-03 --- time 36000
2023-04-20 06:09:03,636 INFO Negative OS: -0.5239368807507234 --- ticker PM --- day 2018-11-06 --- time 41400
2023-04-20 06:09:07,431 INFO Negative OS: -0.8972893805891835 --- ticker PM --- day 2018-11-06 --- time 43200
2023-04-20 06:09:53,043 INFO Negative OS: -0.3543196449788706 --- ticker PM --- day 2019-02-07 --- time 43200
2023-04-20 06:11:15,719 INFO Negative OS: -0.5713142166861138 --- ticker PM --- day 2019-07-24 --- time 43200
2023-04-20 06:11:21,595 INFO Negative OS: -0.001330451888031492 --- ticker PM --- day 2019-07-24 --- time 45000
2023-04-20 06:11:55,073 INFO Negative OS: -4.142378971767304 --- ticker PM --- day 2019-09-06 --- time 41400
2023-04-20 06:12:41,088 INFO p_ofi_add_5: 0.4368993837411817 , std 0.3561753794703166 
2023-04-20 06:12:41,088 INFO p_ofi_add_6: 0.4632054905564647 , std 0.35481698390716193 
2023-04-20 06:12:41,088 INFO p_ofi_add_7: 0.5504033192368196 , std 0.3519601366785421 
2023-04-20 06:12:41,088 INFO p_ofi_add_8: 0.6057752572127336 , std 0.3487300337987344 
2023-04-20 06:12:41,088 INFO p_ofi_add_9: 0.672982603132859 , std 0.3325289024821419 
2023-04-20 06:12:41,088 INFO p_ofi_add_10: 0.6519940918298508 , std 0.35266293144286015 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_1: 0.3505315364551095 , std 0.38035125691068583 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_2: 0.16383673732338283 , std 0.2643997794071727 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_3: 0.3267732319360272 , std 0.3387594024700012 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_4: 0.3978814607220237 , std 0.35747021263692447 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_5: 0.5005517844974048 , std 0.3656850966753459 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_6: 0.5481291850552118 , std 0.36902671777060714 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_7: 0.6296308949603857 , std 0.35479834159802714 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_8: 0.6773494182094588 , std 0.3434133228089744 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_9: 0.7185587839355053 , std 0.32453823130535303 
2023-04-20 06:12:41,088 INFO p_ofi_cancel_10: 0.6787656249857934 , std 0.34801003873944103 
2023-04-20 06:12:41,088 INFO p_ofi_trade_1: 0.7325326730447301 , std 0.36741845965865344 
2023-04-20 06:12:41,088 INFO p_ofi_trade_2: 0.5410083242822409 , std 0.39242287568201867 
2023-04-20 06:12:41,088 INFO p_ofi_trade_3: 0.5596230122784124 , std 0.3818207410512913 
2023-04-20 06:12:41,088 INFO p_ofi_trade_4: 0.5357620858536134 , std 0.37643354720778405 
2023-04-20 06:12:41,088 INFO p_ofi_trade_5: 0.5742095980300734 , std 0.37248812830335853 
2023-04-20 06:12:41,088 INFO p_ofi_trade_6: 0.6069400998675248 , std 0.37042346983731195 
2023-04-20 06:12:41,088 INFO p_ofi_trade_7: 0.668939735536311 , std 0.3557981912777574 
2023-04-20 06:12:41,088 INFO p_ofi_trade_8: 0.6780289045733515 , std 0.35910791600900394 
2023-04-20 06:12:41,088 INFO p_ofi_trade_9: 0.6912683148214946 , std 0.355094759982747 
2023-04-20 06:12:41,088 INFO p_ofi_trade_10: 0.6842389960123457 , std 0.36783562078074616 
