2023-04-20 06:25:55,190 INFO Tickers: ['SBUX']
2023-04-20 06:28:46,438 INFO Negative OS: -1.7374534882191188 --- ticker SBUX --- day 2017-12-28 --- time 52200
2023-04-20 06:30:46,585 INFO Negative OS: -0.11200707136224586 --- ticker SBUX --- day 2018-08-24 --- time 52200
2023-04-20 06:30:51,707 INFO Negative OS: -0.024806986457410085 --- ticker SBUX --- day 2018-08-29 --- time 46800
2023-04-20 06:31:11,490 INFO Negative OS: -0.10092777883149107 --- ticker SBUX --- day 2018-10-09 --- time 45000
2023-04-20 06:31:23,374 INFO Negative OS: -1.265177600325035 --- ticker SBUX --- day 2018-10-29 --- time 45000
2023-04-20 06:32:37,571 INFO Negative OS: -0.45815113041801636 --- ticker SBUX --- day 2019-03-14 --- time 41400
2023-04-20 06:33:53,536 INFO Negative OS: -0.3660333769033999 --- ticker SBUX --- day 2019-08-05 --- time 46800
2023-04-20 06:34:18,257 INFO Negative OS: -0.00025237402245137375 --- ticker SBUX --- day 2019-08-20 --- time 48600
2023-04-20 06:35:26,343 INFO t_ofi_trade_1: 0.33469897552448297 , std 0.9473047655799126 
2023-04-20 06:35:26,343 INFO t_ofi_trade_2: 2.077096322753828 , std 2.1116219792424955 
2023-04-20 06:35:26,343 INFO t_ofi_trade_3: 2.2588252309078403 , std 2.2081370036626207 
2023-04-20 06:35:26,343 INFO t_ofi_trade_4: 2.2191125311555564 , std 2.051048113994609 
2023-04-20 06:35:26,343 INFO t_ofi_trade_5: 2.4754920315378874 , std 2.2564271941709304 
2023-04-20 06:35:26,343 INFO t_ofi_trade_6: 2.509989071836807 , std 2.32614773741199 
2023-04-20 06:35:26,343 INFO t_ofi_trade_7: 2.0769649202552287 , std 2.1566721622993184 
2023-04-20 06:35:26,343 INFO t_ofi_trade_8: 1.9383413173270025 , std 2.1828422808529315 
2023-04-20 06:35:26,343 INFO t_ofi_trade_9: 1.8567171992993279 , std 2.118488800501398 
2023-04-20 06:35:26,343 INFO t_ofi_trade_10: 1.9750222084340285 , std 2.362512729638993 
2023-04-20 06:35:26,343 INFO p_intercept: 0.47836412565226705 , std 0.295101946115104 
2023-04-20 06:35:26,343 INFO p_ofi_add_1: 0.29555899733234103 , std 0.3435015995313726 
2023-04-20 06:35:26,343 INFO p_ofi_add_2: 0.18444468103562872 , std 0.2881015160367885 
2023-04-20 06:35:26,343 INFO p_ofi_add_3: 0.16543979120739297 , std 0.2819656557569708 
2023-04-20 06:35:26,343 INFO p_ofi_add_4: 0.18562841593042087 , std 0.29499335222683154 
2023-04-20 06:35:26,343 INFO p_ofi_add_5: 0.15110114410207498 , std 0.27374049650208926 
2023-04-20 06:35:26,343 INFO p_ofi_add_6: 0.1421480440098726 , std 0.26757063440279455 
2023-04-20 06:35:26,343 INFO p_ofi_add_7: 0.19803388247375536 , std 0.3175069487933843 
2023-04-20 06:35:26,343 INFO p_ofi_add_8: 0.26401149913445715 , std 0.3575016636357788 
2023-04-20 06:35:26,343 INFO p_ofi_add_9: 0.27807110131072016 , std 0.3644155314493147 
2023-04-20 06:35:26,343 INFO p_ofi_add_10: 0.2911683972330507 , std 0.3786603001354805 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_1: 0.5648956703361183 , std 0.3942442935869954 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_2: 0.34159117069138656 , std 0.38602948315152064 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_3: 0.23082936403665574 , std 0.3308851702835445 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_4: 0.23087892898864085 , std 0.32633329583655624 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_5: 0.23152367895079048 , std 0.3312021530963858 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_6: 0.23848962089057335 , std 0.3459913372142669 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_7: 0.3129149354612703 , std 0.3833984137603829 
2023-04-20 06:35:26,343 INFO p_ofi_cancel_8: 0.3326804984122244 , std 0.3873587672725513 
