2023-04-20 05:26:38,245 INFO Tickers: ['DIS']
2023-04-20 05:31:24,625 INFO Negative OS: -0.01064229056615651 --- ticker DIS --- day 2018-03-09 --- time 43200
2023-04-20 05:37:02,464 INFO Negative OS: -0.0008666680384936676 --- ticker DIS --- day 2019-07-09 --- time 52200
2023-04-20 05:39:05,954 INFO p_ofi_add_2: 0.32581109759195537 , std 0.3372529663038138 
2023-04-20 05:39:05,954 INFO p_ofi_add_3: 0.35247725665978474 , std 0.33994231709015965 
2023-04-20 05:39:05,954 INFO p_ofi_add_4: 0.3833064981988377 , std 0.3444708780811682 
2023-04-20 05:39:05,954 INFO p_ofi_add_5: 0.4538563875303653 , std 0.3510403915367047 
2023-04-20 05:39:05,954 INFO p_ofi_add_6: 0.4592212481120539 , std 0.34778045038844474 
2023-04-20 05:39:05,954 INFO p_ofi_add_7: 0.5008020199274577 , std 0.3460589327155736 
2023-04-20 05:39:05,954 INFO p_ofi_add_8: 0.5010702201107782 , std 0.3519521428651645 
2023-04-20 05:39:05,954 INFO p_ofi_add_9: 0.5566524630662383 , std 0.35435373032636136 
2023-04-20 05:39:05,954 INFO p_ofi_add_10: 0.5384683215743767 , std 0.36799917937339055 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_1: 0.43218385066031917 , std 0.3901014294187035 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_2: 0.3428943971081989 , std 0.35854868042370686 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_3: 0.38234068329562665 , std 0.35026876499136206 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_4: 0.3983377535287035 , std 0.34922225345911284 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_5: 0.48505222883089155 , std 0.3594869411353678 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_6: 0.51886284346174 , std 0.3594649614080003 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_7: 0.5833899240559673 , std 0.358311552806032 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_8: 0.5853382000010613 , std 0.3625394025515195 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_9: 0.6180819032127717 , std 0.3596793915102999 
2023-04-20 05:39:05,954 INFO p_ofi_cancel_10: 0.5980669377084982 , std 0.37850956318121926 
