2023-04-20 07:01:03,389 INFO Tickers: ['BSX']
2023-04-20 07:01:08,104 INFO Negative OS: -0.3167544286476547 --- ticker BSX --- day 2017-01-17 --- time 48600
2023-04-20 07:01:59,992 INFO Negative OS: -0.08640746460023774 --- ticker BSX --- day 2017-07-27 --- time 39600
2023-04-20 07:05:23,698 INFO Negative OS: -0.09959516136181179 --- ticker BSX --- day 2019-01-30 --- time 48600
2023-04-20 07:08:18,504 INFO p_ofi_add_6: 0.1624767972704205 , std 0.29329656191066417 
2023-04-20 07:08:18,505 INFO p_ofi_add_7: 0.25608433214628046 , std 0.35189756931477545 
2023-04-20 07:08:18,505 INFO p_ofi_add_8: 0.3889803455479491 , std 0.40204723114635416 
2023-04-20 07:08:18,505 INFO p_ofi_add_9: 0.47176395391860376 , std 0.4160780587610187 
2023-04-20 07:08:18,505 INFO p_ofi_add_10: 0.5245680325654304 , std 0.42392591591253104 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_1: 0.49758807657424503 , std 0.40349649291044126 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_2: 0.32343097545173116 , std 0.3855984853706781 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_3: 0.1664390904089432 , std 0.2971300079328636 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_4: 0.15831129437983088 , std 0.29741321601073256 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_5: 0.1759762370714417 , std 0.31011458273729753 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_6: 0.2239835876829083 , std 0.3466957400972452 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_7: 0.3383759619180677 , std 0.39701896390303215 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_8: 0.4690956147920671 , std 0.42239199738452504 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_9: 0.5533626991651539 , std 0.42345174719542983 
2023-04-20 07:08:18,505 INFO p_ofi_cancel_10: 0.589214256234141 , std 0.4263958179888355 
2023-04-20 07:08:18,505 INFO p_ofi_trade_1: 0.8237391258745601 , std 0.32784759001016034 
2023-04-20 07:08:18,505 INFO p_ofi_trade_2: 0.2928089441288763 , std 0.37794942670351345 
2023-04-20 07:08:18,505 INFO p_ofi_trade_3: 0.25081976573824016 , std 0.35059797622656663 
2023-04-20 07:08:18,505 INFO p_ofi_trade_4: 0.24285761806002182 , std 0.3508834055022222 
2023-04-20 07:08:18,505 INFO p_ofi_trade_5: 0.2599185481842865 , std 0.3618226400042976 
2023-04-20 07:08:18,505 INFO p_ofi_trade_6: 0.33287221192632854 , std 0.39271791253023547 
2023-04-20 07:08:18,505 INFO p_ofi_trade_7: 0.45274401371341677 , std 0.4203112754666786 
2023-04-20 07:08:18,505 INFO p_ofi_trade_8: 0.5457218534891419 , std 0.4223146303501654 
2023-04-20 07:08:18,505 INFO p_ofi_trade_9: 0.6005093426206654 , std 0.4183077308903625 
2023-04-20 07:08:18,505 INFO p_ofi_trade_10: 0.6323541343953727 , std 0.4176014425571341 
