2023-04-20 06:12:13,597 INFO Tickers: ['PYPL']
2023-04-20 06:12:14,550 INFO Negative OS: -3.8787023675721874 --- ticker PYPL --- day 2017-01-04 --- time 41400
2023-04-20 06:12:21,016 INFO Negative OS: -0.06389724619498938 --- ticker PYPL --- day 2017-01-19 --- time 48600
2023-04-20 06:12:22,439 INFO Negative OS: -2.6563881128819897 --- ticker PYPL --- day 2017-01-23 --- time 52200
2023-04-20 06:12:31,204 INFO Negative OS: -0.746401461070751 --- ticker PYPL --- day 2017-02-09 --- time 46800
2023-04-20 06:12:36,461 INFO Negative OS: -3.217499598621071 --- ticker PYPL --- day 2017-02-21 --- time 48600
2023-04-20 06:12:42,008 INFO Negative OS: -0.021456538705737938 --- ticker PYPL --- day 2017-03-03 --- time 48600
2023-04-20 06:13:54,734 INFO Negative OS: -0.13651672463770437 --- ticker PYPL --- day 2017-07-21 --- time 46800
2023-04-20 06:16:50,236 INFO Negative OS: -0.5042283659895352 --- ticker PYPL --- day 2018-06-04 --- time 45000
2023-04-20 06:23:02,778 INFO Negative OS: -0.8267262954295957 --- ticker PYPL --- day 2019-11-20 --- time 43200
2023-04-20 06:23:18,168 INFO p_ofi_cancel_5: 0.35421064509767186 , std 0.3592222662686252 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_6: 0.3703687341893576 , std 0.3667413048892306 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_7: 0.4249212400637406 , std 0.3798309252478347 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_8: 0.4205391357125982 , std 0.3772218387774325 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_9: 0.45308106529294767 , std 0.38202736508073787 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_10: 0.39789762636846515 , std 0.39058160711800016 
2023-04-20 06:23:18,168 INFO p_ofi_trade_1: 0.7319437078858199 , std 0.36362948851554966 
2023-04-20 06:23:18,168 INFO p_ofi_trade_2: 0.5029882485997107 , std 0.40188923219167594 
2023-04-20 06:23:18,168 INFO p_ofi_trade_3: 0.42092331895852353 , std 0.3839043703216973 
2023-04-20 06:23:18,168 INFO p_ofi_trade_4: 0.39200232862003265 , std 0.37738617779120565 
2023-04-20 06:23:18,168 INFO p_ofi_trade_5: 0.400011601945568 , std 0.3788866734936513 
2023-04-20 06:23:18,168 INFO p_ofi_trade_6: 0.39589238058431364 , std 0.37723698452092475 
2023-04-20 06:23:18,168 INFO p_ofi_trade_7: 0.43957443475045027 , std 0.3842442609619434 
2023-04-20 06:23:18,168 INFO p_ofi_trade_8: 0.42999697690901106 , std 0.38338231741983053 
2023-04-20 06:23:18,168 INFO p_ofi_trade_9: 0.4544055470132223 , std 0.3877970666114934 
2023-04-20 06:23:18,168 INFO p_ofi_trade_10: 0.4037342153822399 , std 0.3905950301184031 
