2023-04-20 06:38:48,673 INFO Tickers: ['AXP']
2023-04-20 06:44:26,279 INFO Negative OS: -0.2008592969642058 --- ticker AXP --- day 2018-09-05 --- time 50400
2023-04-20 06:45:18,923 INFO Negative OS: -0.10578248419700276 --- ticker AXP --- day 2018-12-19 --- time 46800
2023-04-20 06:45:19,050 INFO Negative OS: -0.009161038147148526 --- ticker AXP --- day 2018-12-19 --- time 48600
2023-04-20 06:47:24,930 INFO Negative OS: -0.3441044498922834 --- ticker AXP --- day 2019-07-17 --- time 46800
2023-04-20 06:48:07,858 INFO Negative OS: -0.0654762398114086 --- ticker AXP --- day 2019-10-03 --- time 36000
2023-04-20 06:48:20,666 INFO Negative OS: -0.5698167677148973 --- ticker AXP --- day 2019-10-28 --- time 52200
2023-04-20 06:48:20,752 INFO Negative OS: -2.4028274692283853 --- ticker AXP --- day 2019-10-29 --- time 36000
2023-04-20 06:49:10,053 INFO t_ofi_trade_3: 0.7551576098008251 , std 0.8608847689563254 
2023-04-20 06:49:10,053 INFO t_ofi_trade_4: 0.7762013324628083 , std 0.8514826750581618 
2023-04-20 06:49:10,053 INFO t_ofi_trade_5: 0.7611259218491057 , std 0.8490639959579527 
2023-04-20 06:49:10,053 INFO t_ofi_trade_6: 0.7191653566234125 , std 0.8219671131974312 
2023-04-20 06:49:10,053 INFO t_ofi_trade_7: 0.6461969106535178 , std 0.7928631847921993 
2023-04-20 06:49:10,053 INFO t_ofi_trade_8: 0.5781308989849551 , std 0.7479526636936776 
2023-04-20 06:49:10,053 INFO t_ofi_trade_9: 0.49797210658855506 , std 0.729520320319125 
2023-04-20 06:49:10,053 INFO t_ofi_trade_10: 0.48495797492817927 , std 0.7503076396300689 
2023-04-20 06:49:10,053 INFO p_intercept: 0.5325812976839762 , std 0.27963699694027905 
2023-04-20 06:49:10,053 INFO p_ofi_add_1: 0.3788881967425475 , std 0.3693069342342338 
2023-04-20 06:49:10,053 INFO p_ofi_add_2: 0.2804633236684778 , std 0.3364277259010915 
2023-04-20 06:49:10,053 INFO p_ofi_add_3: 0.30323517211354767 , std 0.32528691066773474 
2023-04-20 06:49:10,053 INFO p_ofi_add_4: 0.3762413378847987 , std 0.34720301159048594 
2023-04-20 06:49:10,053 INFO p_ofi_add_5: 0.405228788299093 , std 0.3513876643386787 
2023-04-20 06:49:10,053 INFO p_ofi_add_6: 0.4275636850331262 , std 0.35273951811390536 
2023-04-20 06:49:10,053 INFO p_ofi_add_7: 0.4689683192384981 , std 0.3561357692399949 
2023-04-20 06:49:10,053 INFO p_ofi_add_8: 0.5311215203283359 , std 0.35663086967772534 
2023-04-20 06:49:10,053 INFO p_ofi_add_9: 0.6049889008101652 , std 0.35350628521947214 
2023-04-20 06:49:10,053 INFO p_ofi_add_10: 0.6060308177900318 , std 0.3611670813797649 
2023-04-20 06:49:10,053 INFO p_ofi_cancel_1: 0.46052659543447755 , std 0.4007287265399632 
2023-04-20 06:49:10,053 INFO p_ofi_cancel_2: 0.2873455427028323 , std 0.3470368231864847 
2023-04-20 06:49:10,053 INFO p_ofi_cancel_3: 0.33122795741646627 , std 0.34255642029322964 
2023-04-20 06:49:10,053 INFO p_ofi_cancel_4: 0.39549978881862924 , std 0.35401236670156044 
2023-04-20 06:49:10,053 INFO p_ofi_cancel_5: 0.450329122774248 , std 0.36479378975211235 
2023-04-20 06:49:10,054 INFO p_ofi_cancel_6: 0.4807212731467907 , std 0.3648692612059095 
2023-04-20 06:49:10,054 INFO p_ofi_cancel_7: 0.554359714683876 , std 0.369600516552088 
2023-04-20 06:49:10,054 INFO p_ofi_cancel_8: 0.59948342787727 , std 0.3625105562100851 
2023-04-20 06:49:10,054 INFO p_ofi_cancel_9: 0.6560485172059781 , std 0.35088849553625107 
2023-04-20 06:49:10,054 INFO p_ofi_cancel_10: 0.6633500297686441 , std 0.36302251928240553 
2023-04-20 06:49:10,054 INFO p_ofi_trade_1: 0.8033952739820159 , std 0.32732913082447423 
2023-04-20 06:49:10,054 INFO p_ofi_trade_2: 0.6605573363716756 , std 0.37713688104001786 
2023-04-20 06:49:10,054 INFO p_ofi_trade_3: 0.5748112722376609 , std 0.3752017889368903 
2023-04-20 06:49:10,054 INFO p_ofi_trade_4: 0.5556967228406797 , std 0.37184609926374845 
2023-04-20 06:49:10,054 INFO p_ofi_trade_5: 0.5580842934899366 , std 0.37425675070385045 
2023-04-20 06:49:10,054 INFO p_ofi_trade_6: 0.5773326324554432 , std 0.36578347317398024 
2023-04-20 06:49:10,054 INFO p_ofi_trade_7: 0.6182497248587872 , std 0.36784057864520137 
2023-04-20 06:49:10,054 INFO p_ofi_trade_8: 0.6531585350905544 , std 0.3589040227572978 
2023-04-20 06:49:10,054 INFO p_ofi_trade_9: 0.6981077451808438 , std 0.35291902997466706 
2023-04-20 06:49:10,054 INFO p_ofi_trade_10: 0.7129449174144936 , std 0.35415479338780737 
