2023-04-20 06:49:10,061 INFO Tickers: ['TJX']
2023-04-20 06:50:14,063 INFO Negative OS: -0.02280571432590972 --- ticker TJX --- day 2017-05-16 --- time 41400
2023-04-20 06:51:42,224 INFO Negative OS: -0.07578648890423012 --- ticker TJX --- day 2018-02-08 --- time 48600
2023-04-20 06:51:49,341 INFO Negative OS: -0.1178072472328564 --- ticker TJX --- day 2018-02-14 --- time 46800
2023-04-20 06:56:26,136 INFO Negative OS: -3.0437380945593606 --- ticker TJX --- day 2019-09-26 --- time 36000
2023-04-20 06:57:02,704 INFO Negative OS: -9.575868884553135 --- ticker TJX --- day 2019-10-30 --- time 48600
2023-04-20 06:57:48,272 INFO p_intercept: 0.5064837364540464 , std 0.2890703409539215 
2023-04-20 06:57:48,272 INFO p_ofi_add_1: 0.24525814912416294 , std 0.31406019410033365 
2023-04-20 06:57:48,272 INFO p_ofi_add_2: 0.12864107206813596 , std 0.2445857279452479 
2023-04-20 06:57:48,272 INFO p_ofi_add_3: 0.1767999949868642 , std 0.2823135478246746 
2023-04-20 06:57:48,272 INFO p_ofi_add_4: 0.21402317699462423 , std 0.30750879549493443 
2023-04-20 06:57:48,272 INFO p_ofi_add_5: 0.27309618790151785 , std 0.3437125874716672 
2023-04-20 06:57:48,272 INFO p_ofi_add_6: 0.29881535548943816 , std 0.35508118318072723 
2023-04-20 06:57:48,272 INFO p_ofi_add_7: 0.3349469682389527 , std 0.36616811657840076 
2023-04-20 06:57:48,272 INFO p_ofi_add_8: 0.432682580050343 , std 0.38686137823672656 
2023-04-20 06:57:48,272 INFO p_ofi_add_9: 0.4886821169158843 , std 0.3876670597502336 
2023-04-20 06:57:48,272 INFO p_ofi_add_10: 0.5255730917542679 , std 0.39160610675694535 
2023-04-20 06:57:48,272 INFO p_ofi_cancel_1: 0.44355528548721057 , std 0.39724095238985885 
2023-04-20 06:57:48,272 INFO p_ofi_cancel_2: 0.16706634987312577 , std 0.28287610879800346 
