2023-04-20 06:30:03,378 INFO Tickers: ['CVS']
2023-04-20 06:31:10,204 INFO Negative OS: -245.17178968235015 --- ticker CVS --- day 2017-05-01 --- time 52200
2023-04-20 06:32:35,271 INFO Negative OS: -0.004393403507733318 --- ticker CVS --- day 2017-11-28 --- time 50400
2023-04-20 06:32:36,968 INFO Negative OS: -0.04149466465447782 --- ticker CVS --- day 2017-11-30 --- time 46800
2023-04-20 06:32:44,930 INFO Negative OS: -0.002120189792414351 --- ticker CVS --- day 2017-12-13 --- time 46800
2023-04-20 06:33:11,115 INFO Negative OS: -0.8901444577179616 --- ticker CVS --- day 2018-02-08 --- time 46800
2023-04-20 06:33:18,135 INFO Negative OS: -0.013292136033201674 --- ticker CVS --- day 2018-02-16 --- time 37800
2023-04-20 06:33:27,365 INFO Negative OS: -0.2965950022956372 --- ticker CVS --- day 2018-03-02 --- time 41400
2023-04-20 06:33:54,077 INFO Negative OS: -0.0011366125852136921 --- ticker CVS --- day 2018-04-19 --- time 43200
2023-04-20 06:34:08,620 INFO Negative OS: -0.5644675934769041 --- ticker CVS --- day 2018-05-22 --- time 36000
2023-04-20 06:34:08,702 INFO Negative OS: -1.3848983433675728 --- ticker CVS --- day 2018-05-22 --- time 37800
2023-04-20 06:34:10,417 INFO Negative OS: -0.004930410299065491 --- ticker CVS --- day 2018-05-29 --- time 39600
2023-04-20 06:36:30,901 INFO Negative OS: -0.7812958265664707 --- ticker CVS --- day 2019-02-06 --- time 50400
2023-04-20 06:39:16,161 INFO Negative OS: -0.7583966540891618 --- ticker CVS --- day 2019-10-30 --- time 36000
2023-04-20 06:39:49,214 INFO t_ofi_cancel_9: 1.2871687495858546 , std 1.4942475184473842 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_10: 1.4006859065725836 , std 1.6600633787364916 
2023-04-20 06:39:49,214 INFO t_ofi_trade_1: 0.517752686277951 , std 0.9827624552273081 
2023-04-20 06:39:49,214 INFO t_ofi_trade_2: 1.303869897353091 , std 1.3526211915810828 
2023-04-20 06:39:49,214 INFO t_ofi_trade_3: 1.5122147194742408 , std 1.527024998000292 
2023-04-20 06:39:49,214 INFO t_ofi_trade_4: 1.5901564552676586 , std 1.6280295027235392 
2023-04-20 06:39:49,214 INFO t_ofi_trade_5: 1.5383512737690526 , std 1.6297476134770525 
2023-04-20 06:39:49,214 INFO t_ofi_trade_6: 1.5965396228868731 , std 1.7023376820138287 
2023-04-20 06:39:49,214 INFO t_ofi_trade_7: 1.4374486129647441 , std 1.5278751808854552 
2023-04-20 06:39:49,214 INFO t_ofi_trade_8: 1.3105069178889255 , std 1.5155855791210933 
2023-04-20 06:39:49,214 INFO t_ofi_trade_9: 1.2401081413109292 , std 1.4651133488210668 
2023-04-20 06:39:49,214 INFO t_ofi_trade_10: 1.3663615303818764 , std 1.6845229859088269 
2023-04-20 06:39:49,214 INFO p_intercept: 0.49858917296452315 , std 0.29214801393809714 
2023-04-20 06:39:49,214 INFO p_ofi_add_1: 0.2670591915732428 , std 0.32373494516814033 
2023-04-20 06:39:49,214 INFO p_ofi_add_2: 0.17752389401113508 , std 0.2725611639977514 
