2023-04-20 05:15:48,027 INFO Tickers: ['PG']
2023-04-20 05:22:37,373 INFO Negative OS: -0.06099368718007825 --- ticker PG --- day 2018-12-19 --- time 48600
2023-04-20 05:23:02,052 INFO Negative OS: -1.8643400852601064 --- ticker PG --- day 2019-01-30 --- time 48600
2023-04-20 05:25:24,393 INFO Negative OS: -2.5727175706175656 --- ticker PG --- day 2019-09-06 --- time 45000
2023-04-20 05:25:29,220 INFO Negative OS: -0.0008223586516802328 --- ticker PG --- day 2019-09-06 --- time 46800
2023-04-20 05:25:41,383 INFO Negative OS: -0.5772652636829161 --- ticker PG --- day 2019-09-26 --- time 48600
2023-04-20 05:25:57,366 INFO Negative OS: -13.571422964896461 --- ticker PG --- day 2019-10-24 --- time 48600
2023-04-20 05:26:05,607 INFO Negative OS: -0.07234269409177863 --- ticker PG --- day 2019-10-30 --- time 43200
2023-04-20 05:26:38,232 INFO p_ofi_add_4: 0.25909365606183893 , std 0.32059816920998413 
2023-04-20 05:26:38,232 INFO p_ofi_add_5: 0.28670512050386154 , std 0.3319192843481509 
2023-04-20 05:26:38,232 INFO p_ofi_add_6: 0.33595291296558183 , std 0.34325262281960306 
2023-04-20 05:26:38,232 INFO p_ofi_add_7: 0.34253527242258197 , std 0.3514923568338097 
2023-04-20 05:26:38,232 INFO p_ofi_add_8: 0.4410255868963678 , std 0.37233465295379425 
2023-04-20 05:26:38,232 INFO p_ofi_add_9: 0.512331095853356 , std 0.37831457034821525 
2023-04-20 05:26:38,232 INFO p_ofi_add_10: 0.5131657238508068 , std 0.38724083123662884 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_1: 0.5890551992403511 , std 0.3732096747242793 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_2: 0.33174015966236964 , std 0.3544292935868376 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_3: 0.27571981379073585 , std 0.3344758114208541 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_4: 0.29531871412017907 , std 0.3397824303589062 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_5: 0.3270580634891076 , std 0.34790388282727863 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_6: 0.39153104850139897 , std 0.36590922668332315 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_7: 0.4465827688534693 , std 0.38501944800891796 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_8: 0.5140883504872422 , std 0.3891951360804873 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_9: 0.5723865405299966 , std 0.3872866140439269 
2023-04-20 05:26:38,232 INFO p_ofi_cancel_10: 0.6112928150933011 , std 0.3985992602293331 
2023-04-20 05:26:38,232 INFO p_ofi_trade_1: 0.8244029821509579 , std 0.30779221723636524 
2023-04-20 05:26:38,232 INFO p_ofi_trade_2: 0.5628428214068789 , std 0.39382987285439364 
2023-04-20 05:26:38,232 INFO p_ofi_trade_3: 0.43342151534219886 , std 0.37983873397487317 
2023-04-20 05:26:38,232 INFO p_ofi_trade_4: 0.42846386210112 , std 0.37883782745525413 
2023-04-20 05:26:38,232 INFO p_ofi_trade_5: 0.444486080783696 , std 0.38044597385843315 
2023-04-20 05:26:38,233 INFO p_ofi_trade_6: 0.48429649539614694 , std 0.3829868530890504 
2023-04-20 05:26:38,233 INFO p_ofi_trade_7: 0.4963700291380217 , std 0.39220939771002095 
2023-04-20 05:26:38,233 INFO p_ofi_trade_8: 0.5881414258703322 , std 0.3876563092310029 
2023-04-20 05:26:38,233 INFO p_ofi_trade_9: 0.6418584350190631 , std 0.37989924946915576 
2023-04-20 05:26:38,233 INFO p_ofi_trade_10: 0.6586602226671914 , std 0.38594407614528653 
