2023-04-20 16:28:07,503 INFO Experiment: universal_price_impact
2023-04-20 16:28:07,509 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-20 17:07:49,693 INFO Negative OS: -0.026929009917513902 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-07-10 --- time 50400
2023-04-20 17:08:14,907 INFO Negative OS: -0.1446973103998075 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-07-16 --- time 50400
2023-04-20 17:08:27,262 INFO Negative OS: -0.004098814667154782 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-07-18 --- time 48600
2023-04-20 17:08:39,504 INFO Negative OS: -0.5404588088760369 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-07-20 --- time 46800
2023-04-20 17:12:04,428 INFO Negative OS: -0.21449653976660388 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-05 --- time 39600
2023-04-20 17:12:05,553 INFO Negative OS: -0.00043477267063285474 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-05 --- time 45000
2023-04-20 17:12:05,926 INFO Negative OS: -0.005485964538817001 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-05 --- time 46800
2023-04-20 17:12:07,069 INFO Negative OS: -0.052701911944844415 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-05 --- time 52200
2023-04-20 17:12:11,150 INFO Negative OS: -0.01589449894123751 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-06 --- time 41400
2023-04-20 17:12:11,894 INFO Negative OS: -0.005513550820892998 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-06 --- time 45000
2023-04-20 17:12:12,266 INFO Negative OS: -0.06093919334186815 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-06 --- time 46800
2023-04-20 17:13:08,847 INFO Negative OS: -0.07695589876295772 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-19 --- time 43200
2023-04-20 17:13:33,627 INFO Negative OS: -0.4451411473691682 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-25 --- time 41400
2023-04-20 17:13:41,033 INFO Negative OS: -0.5703123692210994 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-26 --- time 46800
2023-04-20 17:13:53,067 INFO Negative OS: -2.200948142288458 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-09-28 --- time 43200
2023-04-20 17:14:06,545 INFO Negative OS: -0.042302023340474504 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-10-02 --- time 46800
2023-04-20 17:14:10,656 INFO Negative OS: -0.574215178894425 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-10-03 --- time 36000
2023-04-20 17:14:25,861 INFO Negative OS: -0.01359259520829914 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-10-05 --- time 46800
2023-04-20 17:15:28,099 INFO Negative OS: -0.15524786676557922 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-10-19 --- time 37800
2023-04-20 17:16:45,424 INFO Negative OS: -0.24943246490282145 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-11-06 --- time 36000
2023-04-20 17:16:47,740 INFO Negative OS: -0.20454010782065968 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-11-06 --- time 46800
2023-04-20 17:16:52,248 INFO Negative OS: -0.29459203240499954 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-11-07 --- time 37800
2023-04-20 17:22:17,786 INFO Negative OS: -0.09264279930076658 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-01-18 --- time 37800
2023-04-20 17:22:19,690 INFO Negative OS: -460.80507589902527 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-01-18 --- time 46800
2023-04-20 17:22:39,213 INFO Negative OS: -0.40754494893492854 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-01-24 --- time 48600
2023-04-20 17:23:17,664 INFO Negative OS: -0.12397470419728918 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-02-01 --- time 48600
2023-04-20 17:23:24,784 INFO Negative OS: -0.18950989664822226 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-02-04 --- time 52200
2023-04-20 17:24:45,032 INFO Negative OS: -0.006529274364279081 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-02-22 --- time 36000
