2023-05-09 07:22:52,796 INFO Starting...
2023-05-09 07:22:52,796 INFO Tickers: ['CME']
2023-05-09 07:24:10,304 INFO used_ofi_4_1: 0.005694829456430035 , std 0.07524890945317554 
2023-05-09 07:24:10,304 INFO used_ofi_5_1: 0.005473866056004178 , std 0.07378280861017084 
2023-05-09 07:24:10,304 INFO used_ofi_6_1: 0.004574946767908079 , std 0.06748345449055558 
2023-05-09 07:24:10,304 INFO used_ofi_7_1: 0.0026364951187176086 , std 0.051279079673942934 
2023-05-09 07:24:10,304 INFO used_ofi_8_1: 0.0021895464224016715 , std 0.046741334050985524 
2023-05-09 07:24:10,304 INFO used_ofi_9_1: 0.002430597404684424 , std 0.04924113728317782 
2023-05-09 07:24:10,304 INFO used_ofi_10_1: 0.0032391225744244907 , std 0.05682104063964636 
2023-05-09 07:24:10,304 INFO used_ofi_1_2: 0.024572134506448115 , std 0.1548171331353385 
2023-05-09 07:24:10,304 INFO used_ofi_2_2: 0.012625045197059178 , std 0.11164969068847162 
2023-05-09 07:24:10,304 INFO used_ofi_3_2: 0.00991322164637821 , std 0.09907042789333244 
2023-05-09 07:24:10,304 INFO used_ofi_4_2: 0.007929572938009723 , std 0.08869438996368659 
2023-05-09 07:24:10,304 INFO used_ofi_5_2: 0.008487003334538588 , std 0.09173316798703793 
2023-05-09 07:24:10,304 INFO used_ofi_6_2: 0.00666405528102527 , std 0.08136120481062645 
2023-05-09 07:24:10,304 INFO used_ofi_7_2: 0.0036006990478486198 , std 0.05989769623462524 
2023-05-09 07:24:10,304 INFO used_ofi_8_2: 0.0031738379333895784 , std 0.056247352703590915 
2023-05-09 07:24:10,304 INFO used_ofi_9_2: 0.0034550640793861234 , std 0.05867816128333828 
2023-05-09 07:24:10,304 INFO used_ofi_10_2: 0.004670362781728336 , std 0.06818027935712336 
2023-05-09 07:24:10,304 INFO used_ofi_1_3: 0.03363163392390824 , std 0.18027908121442282 
