2023-05-09 06:57:05,568 INFO Starting...
2023-05-09 06:57:05,568 INFO Tickers: ['DHR']
2023-05-09 06:58:24,458 INFO used_ofi_9_10: 0.010018681451126913 , std 0.09959069973199186 
2023-05-09 06:58:24,459 INFO used_ofi_10_10: 0.009586798441203647 , std 0.09744173508744279 
2023-05-09 06:58:24,459 INFO used_ofi_1_20: 0.044252942830742034 , std 0.20565655808060468 
2023-05-09 06:58:24,459 INFO used_ofi_2_20: 0.042841790205295084 , std 0.20250029930175553 
2023-05-09 06:58:24,459 INFO used_ofi_3_20: 0.05343798963480776 , std 0.2249052487128701 
2023-05-09 06:58:24,459 INFO used_ofi_4_20: 0.05767144751114861 , std 0.23312110941121877 
2023-05-09 06:58:24,459 INFO used_ofi_5_20: 0.04653790526696396 , std 0.21064692886516773 
2023-05-09 06:58:24,459 INFO used_ofi_6_20: 0.03224056888031819 , std 0.17663837238434812 
2023-05-09 06:58:24,459 INFO used_ofi_7_20: 0.021483668795950345 , std 0.14499007128426505 
2023-05-09 06:58:24,459 INFO used_ofi_8_20: 0.015060664497207827 , std 0.12179425635928143 
2023-05-09 06:58:24,459 INFO used_ofi_9_20: 0.011987264473102728 , std 0.10882816714231026 
2023-05-09 06:58:24,459 INFO used_ofi_10_20: 0.011655819372463943 , std 0.10733108239098513 
2023-05-09 06:58:24,459 INFO used_ofi_1_30: 0.04982724679603069 , std 0.21758789551066057 
2023-05-09 06:58:24,459 INFO used_ofi_2_30: 0.04805451769715961 , std 0.21388146489598622 
2023-05-09 06:58:24,459 INFO used_ofi_3_30: 0.06375798481378811 , std 0.2443213134097655 
2023-05-09 06:58:24,459 INFO used_ofi_4_30: 0.06703226065646217 , std 0.2500778612507438 
2023-05-09 06:58:24,459 INFO used_ofi_5_30: 0.0560393314852758 , std 0.22999766262281704 
2023-05-09 06:58:24,459 INFO used_ofi_6_30: 0.041967980394520106 , std 0.20051600688255608 
2023-05-09 06:58:24,459 INFO used_ofi_7_30: 0.025285243662367923 , std 0.15699012744533525 
2023-05-09 06:58:24,459 INFO used_ofi_8_30: 0.0178779478526375 , std 0.1325078368747142 
2023-05-09 06:58:24,459 INFO used_ofi_9_30: 0.013945803704150094 , std 0.11726601495401559 
2023-05-09 06:58:24,459 INFO used_ofi_10_30: 0.013935759913221647 , std 0.11722437676892421 
2023-05-09 06:58:25,078 INFO Grouping by horizont:
2023-05-09 06:58:25,078 INFO 1: 0.0635671527861476
2023-05-09 06:58:25,078 INFO 2: 0.08503073400024104
2023-05-09 06:58:25,078 INFO 3: 0.11421799043831103
2023-05-09 06:58:25,078 INFO 5: 0.1746565023502471
2023-05-09 06:58:25,078 INFO 10: 0.2548310634365835
2023-05-09 06:58:25,078 INFO 20: 0.3371700614680005
2023-05-09 06:58:25,078 INFO 30: 0.3977240769756137
2023-05-09 06:58:25,078 INFO Grouping by level:
2023-05-09 06:58:25,078 INFO 1: 0.18653830701860108
2023-05-09 06:58:25,078 INFO 2: 0.17748885139206944
2023-05-09 06:58:25,078 INFO 3: 0.22417239162749586
2023-05-09 06:58:25,078 INFO 4: 0.23299586195813748
2023-05-09 06:58:25,078 INFO 5: 0.19705415612068622
2023-05-09 06:58:25,078 INFO 6: 0.14558474950785424
2023-05-09 06:58:25,078 INFO 7: 0.09111224940741634
2023-05-09 06:58:25,078 INFO 8: 0.06583704953597685
2023-05-09 06:58:25,078 INFO 9: 0.05372423767626853
2023-05-09 06:58:25,078 INFO 10: 0.05268972721063839
2023-05-09 06:58:25,078 INFO Grouping by level and horizont:
2023-05-09 06:58:25,078 INFO 1_1: 0.008572375557430397
2023-05-09 06:58:25,078 INFO 2_1: 0.007748784701297658
2023-05-09 06:58:25,078 INFO 3_1: 0.009747499096058817
2023-05-09 06:58:25,078 INFO 4_1: 0.008984170985496765
2023-05-09 06:58:25,078 INFO 5_1: 0.009295528504278654
2023-05-09 06:58:25,078 INFO 6_1: 0.006749427503917079
2023-05-09 06:58:25,078 INFO 7_1: 0.0040175163713792135
2023-05-09 06:58:25,079 INFO 8_1: 0.0030583343377124264
2023-05-09 06:58:25,079 INFO 9_1: 0.002792173878108553
2023-05-09 06:58:25,079 INFO 10_1: 0.0026013418504680407
2023-05-09 06:58:25,079 INFO 1_2: 0.012173074605279017
2023-05-09 06:58:25,079 INFO 2_2: 0.010571089952191555
2023-05-09 06:58:25,079 INFO 3_2: 0.012142943232493672
2023-05-09 06:58:25,079 INFO 4_2: 0.012750592583664778
2023-05-09 06:58:25,079 INFO 5_2: 0.011158651721505765
2023-05-09 06:58:25,079 INFO 6_2: 0.009009280462817886
2023-05-09 06:58:25,079 INFO 7_2: 0.005584347756217106
2023-05-09 06:58:25,079 INFO 8_2: 0.0043740709493391185
2023-05-09 06:58:25,079 INFO 9_2: 0.0036408742115624122
2023-05-09 06:58:25,079 INFO 10_2: 0.00362580852516974
2023-05-09 06:58:25,079 INFO 1_3: 0.015537744566309108
2023-05-09 06:58:25,079 INFO 2_3: 0.013920694226828975
2023-05-09 06:58:25,079 INFO 3_3: 0.01779257562974569
2023-05-09 06:58:25,079 INFO 4_3: 0.017330561247037083
2023-05-09 06:58:25,079 INFO 5_3: 0.015472459925274195
2023-05-09 06:58:25,079 INFO 6_3: 0.011605600417821703
2023-05-09 06:58:25,079 INFO 7_3: 0.007733719014904986
2023-05-09 06:58:25,079 INFO 8_3: 0.005940902334177012
2023-05-09 06:58:25,079 INFO 9_3: 0.004359005262946447
2023-05-09 06:58:25,079 INFO 10_3: 0.004524727813265839
2023-05-09 06:58:25,079 INFO 1_5: 0.024185448555702864
2023-05-09 06:58:25,079 INFO 2_5: 0.022086296251657225
2023-05-09 06:58:25,079 INFO 3_5: 0.02739443975734201
2023-05-09 06:58:25,079 INFO 4_5: 0.027540074725804508
2023-05-09 06:58:25,079 INFO 5_5: 0.022257040697440843
2023-05-09 06:58:25,079 INFO 6_5: 0.01821441484874051
2023-05-09 06:58:25,079 INFO 7_5: 0.011259089630790246
2023-05-09 06:58:25,079 INFO 8_5: 0.007979791892651963
2023-05-09 06:58:25,079 INFO 9_5: 0.006980434695271384
2023-05-09 06:58:25,079 INFO 10_5: 0.006759471294845527
2023-05-09 06:58:25,079 INFO 1_10: 0.03198947410710699
2023-05-09 06:58:25,079 INFO 2_10: 0.032265678357639306
2023-05-09 06:58:25,079 INFO 3_10: 0.03989895946325981
2023-05-09 06:58:25,079 INFO 4_10: 0.04168675424852356
2023-05-09 06:58:25,079 INFO 5_10: 0.036293238519946966
2023-05-09 06:58:25,079 INFO 6_10: 0.025797476999718773
2023-05-09 06:58:25,079 INFO 7_10: 0.015748664175806518
2023-05-09 06:58:25,079 INFO 8_10: 0.011545337672251015
2023-05-09 06:58:25,079 INFO 9_10: 0.010018681451126913
2023-05-09 06:58:25,079 INFO 10_10: 0.009586798441203647
2023-05-09 06:58:25,079 INFO 1_20: 0.044252942830742034
2023-05-09 06:58:25,079 INFO 2_20: 0.042841790205295084
2023-05-09 06:58:25,079 INFO 3_20: 0.05343798963480776
2023-05-09 06:58:25,079 INFO 4_20: 0.05767144751114861
2023-05-09 06:58:25,079 INFO 5_20: 0.04653790526696396
2023-05-09 06:58:25,079 INFO 6_20: 0.03224056888031819
2023-05-09 06:58:25,079 INFO 7_20: 0.021483668795950345
2023-05-09 06:58:25,080 INFO 8_20: 0.015060664497207827
2023-05-09 06:58:25,080 INFO 9_20: 0.011987264473102728
2023-05-09 06:58:25,080 INFO 10_20: 0.011655819372463943
2023-05-09 06:58:25,080 INFO 1_30: 0.04982724679603069
2023-05-09 06:58:25,080 INFO 2_30: 0.04805451769715961
2023-05-09 06:58:25,080 INFO 3_30: 0.06375798481378811
2023-05-09 06:58:25,080 INFO 4_30: 0.06703226065646217
2023-05-09 06:58:25,080 INFO 5_30: 0.0560393314852758
2023-05-09 06:58:25,080 INFO 6_30: 0.041967980394520106
2023-05-09 06:58:25,080 INFO 7_30: 0.025285243662367923
2023-05-09 06:58:25,080 INFO 8_30: 0.0178779478526375
2023-05-09 06:58:25,080 INFO 9_30: 0.013945803704150094
2023-05-09 06:58:25,080 INFO 10_30: 0.013935759913221647
2023-05-09 06:58:25,089 INFO Non empty regressions: 0.47808947008959063 --- 95201 / 199128
