2023-05-09 06:24:40,579 INFO Starting...
2023-05-09 06:24:40,579 INFO Tickers: ['CRM']
2023-05-09 06:26:01,449 INFO ofi_8_30: -5.636583975531632e-07 , std 8.105181733295872e-06 
2023-05-09 06:26:01,449 INFO ofi_9_30: -5.385730581131948e-07 , std 8.662407426077504e-06 
2023-05-09 06:26:01,449 INFO ofi_10_30: -5.749983896050026e-07 , std 1.0800741325348352e-05 
2023-05-09 06:26:01,449 INFO used_intercept: 0.990518661363545 , std 0.09690945699009879 
2023-05-09 06:26:01,449 INFO used_ofi_1_1: 0.008040054638222651 , std 0.08930516311858484 
2023-05-09 06:26:01,450 INFO used_ofi_2_1: 0.006633923908239926 , std 0.08117829119795272 
2023-05-09 06:26:01,450 INFO used_ofi_3_1: 0.0066489895946325985 , std 0.08126980086110135 
2023-05-09 06:26:01,450 INFO used_ofi_4_1: 0.007768872283154554 , std 0.08779816004109986 
2023-05-09 06:26:01,450 INFO used_ofi_5_1: 0.007804025551404122 , std 0.08799501540767608 
2023-05-09 06:26:01,450 INFO used_ofi_6_1: 0.006578683058133462 , std 0.08084184552169804 
2023-05-09 06:26:01,450 INFO used_ofi_7_1: 0.00538849383311237 , std 0.07320831897621254 
2023-05-09 06:26:01,450 INFO used_ofi_8_1: 0.0040627134305572295 , std 0.06360980891449369 
2023-05-09 06:26:01,450 INFO used_ofi_9_1: 0.003585633361455948 , std 0.05977270777581657 
2023-05-09 06:26:01,450 INFO used_ofi_10_1: 0.004529749708730063 , std 0.06715080845608876 
2023-05-09 06:26:01,450 INFO used_ofi_1_2: 0.011957133100317385 , std 0.10869296236803319 
2023-05-09 06:26:01,450 INFO used_ofi_2_2: 0.009466272950062271 , std 0.09683316904086732 
2023-05-09 06:26:01,450 INFO used_ofi_3_2: 0.009496404322847615 , std 0.09698568259173423 
2023-05-09 06:26:01,450 INFO used_ofi_4_2: 0.010319995178980355 , std 0.10106182700944098 
2023-05-09 06:26:01,450 INFO used_ofi_5_2: 0.01016431641958941 , std 0.10030455169787598 
2023-05-09 06:26:01,450 INFO used_ofi_6_2: 0.009335703667992447 , std 0.09616937300937278 
2023-05-09 06:26:01,450 INFO used_ofi_7_2: 0.0076383030010847295 , std 0.08706296186294347 
2023-05-09 06:26:01,450 INFO used_ofi_8_2: 0.005473866056004178 , std 0.07378280861017086 
2023-05-09 06:26:01,450 INFO used_ofi_9_2: 0.005594391547145554 , std 0.07458615374426261 
2023-05-09 06:26:01,450 INFO used_ofi_10_2: 0.006161865734602869 , std 0.07825533301489167 
2023-05-09 06:26:01,450 INFO used_ofi_1_3: 0.015261540315776787 , std 0.12259129538008277 
2023-05-09 06:26:01,450 INFO used_ofi_2_3: 0.012815877224699691 , std 0.11247946708471336 
2023-05-09 06:26:01,450 INFO used_ofi_3_3: 0.013805190631151822 , std 0.11668164955462954 
2023-05-09 06:26:01,450 INFO used_ofi_4_3: 0.013810212526616046 , std 0.11670257305040771 
2023-05-09 06:26:01,450 INFO used_ofi_5_3: 0.014442971355108272 , std 0.11930788713888028 
2023-05-09 06:26:01,450 INFO used_ofi_6_3: 0.013297979189265197 , std 0.11454755754160394 
2023-05-09 06:26:01,450 INFO used_ofi_7_3: 0.010319995178980355 , std 0.10106182700944098 
2023-05-09 06:26:01,450 INFO used_ofi_8_3: 0.007783937969547226 , std 0.0878825823427684 
2023-05-09 06:26:01,450 INFO used_ofi_9_3: 0.007723675223976538 , std 0.0875443891121017 
2023-05-09 06:26:01,450 INFO used_ofi_10_3: 0.007628259210156281 , std 0.08700614272325227 
2023-05-09 06:26:01,450 INFO used_ofi_1_5: 0.024858382547908883 , std 0.15569342749458212 
2023-05-09 06:26:01,450 INFO used_ofi_2_5: 0.02147864690048612 , std 0.14497349629435843 
2023-05-09 06:26:01,450 INFO used_ofi_3_5: 0.02100156683138484 , std 0.14338933371074608 
2023-05-09 06:26:01,450 INFO used_ofi_4_5: 0.021594150496163273 , std 0.1453541989779185 
2023-05-09 06:26:01,450 INFO used_ofi_5_5: 0.02089108513117191 , std 0.143019745815793 
2023-05-09 06:26:01,450 INFO used_ofi_6_5: 0.01921879394158531 , std 0.13729323326739815 
2023-05-09 06:26:01,450 INFO used_ofi_7_5: 0.014910007633281106 , std 0.12119281870497363 
2023-05-09 06:26:01,450 INFO used_ofi_8_5: 0.011254067735326022 , std 0.10548655693847778 
2023-05-09 06:26:01,450 INFO used_ofi_9_5: 0.010013659555662689 , std 0.0995659890623599 
2023-05-09 06:26:01,450 INFO used_ofi_10_5: 0.011495118717608775 , std 0.10659728403330387 
2023-05-09 06:26:01,450 INFO used_ofi_1_10: 0.0372825519263991 , std 0.18945332736126452 
2023-05-09 06:26:01,450 INFO used_ofi_2_10: 0.02800711100397734 , std 0.16499306875498812 
2023-05-09 06:26:01,450 INFO used_ofi_3_10: 0.03036740187216263 , std 0.17159610361455532 
2023-05-09 06:26:01,450 INFO used_ofi_4_10: 0.03392792575629746 , std 0.18104370082986213 
2023-05-09 06:26:01,450 INFO used_ofi_5_10: 0.033953035233618575 , std 0.1811083284447273 
2023-05-09 06:26:01,450 INFO used_ofi_6_10: 0.02969446787995661 , std 0.16974306011523074 
2023-05-09 06:26:01,450 INFO used_ofi_7_10: 0.021945683178658953 , std 0.14650621204741077 
2023-05-09 06:26:01,450 INFO used_ofi_8_10: 0.017295407978787515 , std 0.13036976966166203 
2023-05-09 06:26:01,450 INFO used_ofi_9_10: 0.015125949138242738 , std 0.12205390121135018 
2023-05-09 06:26:01,450 INFO used_ofi_10_10: 0.017184926278574587 , std 0.12996001149343803 
2023-05-09 06:26:01,450 INFO used_ofi_1_20: 0.048702342212044517 , std 0.21524503263746972 
2023-05-09 06:26:01,450 INFO used_ofi_2_20: 0.03865855128359648 , std 0.19277984255686595 
2023-05-09 06:26:01,450 INFO used_ofi_3_20: 0.044393555903740306 , std 0.20596788122899592 
2023-05-09 06:26:01,450 INFO used_ofi_4_20: 0.04821521835201478 , std 0.21422070644847174 
2023-05-09 06:26:01,450 INFO used_ofi_5_20: 0.04348459282471576 , std 0.2039452941638626 
2023-05-09 06:26:01,450 INFO used_ofi_6_20: 0.04001446305893697 , std 0.19599312693317059 
2023-05-09 06:26:01,450 INFO used_ofi_7_20: 0.029724599252741953 , std 0.1698265216390121 
2023-05-09 06:26:01,450 INFO used_ofi_8_20: 0.021910529910409385 , std 0.14639145668191997 
2023-05-09 06:26:01,451 INFO used_ofi_9_20: 0.019027961913944798 , std 0.13662319927210848 
2023-05-09 06:26:01,451 INFO used_ofi_10_20: 0.020494355389498214 , std 0.14168393270469012 
2023-05-09 06:26:01,451 INFO used_ofi_1_30: 0.055662689325459 , std 0.2292691744271707 
2023-05-09 06:26:01,451 INFO used_ofi_2_30: 0.04370555622514162 , std 0.2044391855300558 
2023-05-09 06:26:01,451 INFO used_ofi_3_30: 0.049661524245711304 , std 0.2172446944238315 
2023-05-09 06:26:01,451 INFO used_ofi_4_30: 0.05575810533927926 , std 0.22945400198787796 
2023-05-09 06:26:01,451 INFO used_ofi_5_30: 0.05303121610220562 , std 0.22409575234913934 
2023-05-09 06:26:01,451 INFO used_ofi_6_30: 0.04785866377405488 , std 0.2134671217677721 
2023-05-09 06:26:01,451 INFO used_ofi_7_30: 0.0354847133502069 , std 0.18500148234179242 
2023-05-09 06:26:01,451 INFO used_ofi_8_30: 0.02583263026796834 , std 0.1586357635636012 
2023-05-09 06:26:01,451 INFO used_ofi_9_30: 0.024275842674058898 , std 0.15390427588771938 
2023-05-09 06:26:01,451 INFO used_ofi_10_30: 0.025084367843798965 , std 0.15638140021650895 
2023-05-09 06:26:02,095 INFO Grouping by horizont:
2023-05-09 06:26:02,096 INFO 1: 0.06104113936764292
2023-05-09 06:26:02,096 INFO 2: 0.08560825197862683
2023-05-09 06:26:02,096 INFO 3: 0.11688963882527822
2023-05-09 06:26:02,096 INFO 5: 0.17671547949057892
2023-05-09 06:26:02,096 INFO 10: 0.2647844602466755
2023-05-09 06:26:02,096 INFO 20: 0.35462617010164316
2023-05-09 06:26:02,096 INFO 30: 0.4163553091478848
2023-05-09 06:26:02,096 INFO Grouping by level:
2023-05-09 06:26:02,096 INFO 1: 0.20176469406612832
2023-05-09 06:26:02,096 INFO 2: 0.16076593949620344
2023-05-09 06:26:02,096 INFO 3: 0.17537463340163112
2023-05-09 06:26:02,096 INFO 4: 0.19139447993250575
2023-05-09 06:26:02,096 INFO 5: 0.18377124261781366
2023-05-09 06:26:02,096 INFO 6: 0.16599875456992488
2023-05-09 06:26:02,096 INFO 7: 0.12541179542806638
2023-05-09 06:26:02,096 INFO 8: 0.09361315334859989
2023-05-09 06:26:02,096 INFO 9: 0.08534711341448717
2023-05-09 06:26:02,096 INFO 10: 0.09257864288296977
2023-05-09 06:26:02,096 INFO Grouping by level and horizont:
2023-05-09 06:26:02,096 INFO 1_1: 0.008040054638222651
2023-05-09 06:26:02,096 INFO 2_1: 0.006633923908239926
2023-05-09 06:26:02,096 INFO 3_1: 0.0066489895946325985
2023-05-09 06:26:02,096 INFO 4_1: 0.007768872283154554
2023-05-09 06:26:02,096 INFO 5_1: 0.007804025551404122
2023-05-09 06:26:02,096 INFO 6_1: 0.006578683058133462
2023-05-09 06:26:02,096 INFO 7_1: 0.00538849383311237
2023-05-09 06:26:02,096 INFO 8_1: 0.0040627134305572295
2023-05-09 06:26:02,096 INFO 9_1: 0.003585633361455948
2023-05-09 06:26:02,096 INFO 10_1: 0.004529749708730063
2023-05-09 06:26:02,096 INFO 1_2: 0.011957133100317385
2023-05-09 06:26:02,096 INFO 2_2: 0.009466272950062271
2023-05-09 06:26:02,096 INFO 3_2: 0.009496404322847615
2023-05-09 06:26:02,096 INFO 4_2: 0.010319995178980355
2023-05-09 06:26:02,096 INFO 5_2: 0.01016431641958941
2023-05-09 06:26:02,096 INFO 6_2: 0.009335703667992447
2023-05-09 06:26:02,097 INFO 7_2: 0.0076383030010847295
2023-05-09 06:26:02,097 INFO 8_2: 0.005473866056004178
2023-05-09 06:26:02,097 INFO 9_2: 0.005594391547145554
2023-05-09 06:26:02,097 INFO 10_2: 0.006161865734602869
2023-05-09 06:26:02,097 INFO 1_3: 0.015261540315776787
2023-05-09 06:26:02,097 INFO 2_3: 0.012815877224699691
2023-05-09 06:26:02,097 INFO 3_3: 0.013805190631151822
2023-05-09 06:26:02,097 INFO 4_3: 0.013810212526616046
2023-05-09 06:26:02,097 INFO 5_3: 0.014442971355108272
2023-05-09 06:26:02,097 INFO 6_3: 0.013297979189265197
2023-05-09 06:26:02,097 INFO 7_3: 0.010319995178980355
2023-05-09 06:26:02,097 INFO 8_3: 0.007783937969547226
2023-05-09 06:26:02,097 INFO 9_3: 0.007723675223976538
2023-05-09 06:26:02,097 INFO 10_3: 0.007628259210156281
2023-05-09 06:26:02,097 INFO 1_5: 0.024858382547908883
2023-05-09 06:26:02,097 INFO 2_5: 0.02147864690048612
2023-05-09 06:26:02,097 INFO 3_5: 0.02100156683138484
2023-05-09 06:26:02,097 INFO 4_5: 0.021594150496163273
2023-05-09 06:26:02,097 INFO 5_5: 0.02089108513117191
2023-05-09 06:26:02,097 INFO 6_5: 0.01921879394158531
2023-05-09 06:26:02,097 INFO 7_5: 0.014910007633281106
2023-05-09 06:26:02,097 INFO 8_5: 0.011254067735326022
2023-05-09 06:26:02,097 INFO 9_5: 0.010013659555662689
2023-05-09 06:26:02,097 INFO 10_5: 0.011495118717608775
2023-05-09 06:26:02,097 INFO 1_10: 0.0372825519263991
2023-05-09 06:26:02,097 INFO 2_10: 0.02800711100397734
2023-05-09 06:26:02,097 INFO 3_10: 0.03036740187216263
2023-05-09 06:26:02,097 INFO 4_10: 0.03392792575629746
2023-05-09 06:26:02,097 INFO 5_10: 0.033953035233618575
2023-05-09 06:26:02,097 INFO 6_10: 0.02969446787995661
2023-05-09 06:26:02,097 INFO 7_10: 0.021945683178658953
2023-05-09 06:26:02,097 INFO 8_10: 0.017295407978787515
2023-05-09 06:26:02,097 INFO 9_10: 0.015125949138242738
2023-05-09 06:26:02,097 INFO 10_10: 0.017184926278574587
2023-05-09 06:26:02,097 INFO 1_20: 0.048702342212044517
2023-05-09 06:26:02,097 INFO 2_20: 0.03865855128359648
2023-05-09 06:26:02,097 INFO 3_20: 0.044393555903740306
2023-05-09 06:26:02,097 INFO 4_20: 0.04821521835201478
2023-05-09 06:26:02,097 INFO 5_20: 0.04348459282471576
2023-05-09 06:26:02,097 INFO 6_20: 0.04001446305893697
2023-05-09 06:26:02,097 INFO 7_20: 0.029724599252741953
2023-05-09 06:26:02,097 INFO 8_20: 0.021910529910409385
2023-05-09 06:26:02,097 INFO 9_20: 0.019027961913944798
2023-05-09 06:26:02,097 INFO 10_20: 0.020494355389498214
2023-05-09 06:26:02,097 INFO 1_30: 0.055662689325459
2023-05-09 06:26:02,097 INFO 2_30: 0.04370555622514162
2023-05-09 06:26:02,097 INFO 3_30: 0.049661524245711304
2023-05-09 06:26:02,097 INFO 4_30: 0.05575810533927926
2023-05-09 06:26:02,097 INFO 5_30: 0.05303121610220562
2023-05-09 06:26:02,097 INFO 6_30: 0.04785866377405488
2023-05-09 06:26:02,098 INFO 7_30: 0.0354847133502069
2023-05-09 06:26:02,098 INFO 8_30: 0.02583263026796834
2023-05-09 06:26:02,098 INFO 9_30: 0.024275842674058898
2023-05-09 06:26:02,098 INFO 10_30: 0.025084367843798965
2023-05-09 06:26:02,112 INFO Non empty regressions: 0.4885299907597123 --- 97280 / 199128
