2023-05-09 07:27:44,014 INFO Starting...
2023-05-09 07:27:44,014 INFO Tickers: ['INTU']
2023-05-09 07:29:02,871 INFO 30: 0.38044875657868316
2023-05-09 07:29:02,871 INFO Grouping by level:
2023-05-09 07:29:02,871 INFO 1: 0.46699108111365556
2023-05-09 07:29:02,871 INFO 2: 0.2036679924470692
2023-05-09 07:29:02,871 INFO 3: 0.15615081756458157
2023-05-09 07:29:02,871 INFO 4: 0.13968402233739102
2023-05-09 07:29:02,871 INFO 5: 0.12480916797235947
2023-05-09 07:29:02,871 INFO 6: 0.1180145434092644
2023-05-09 07:29:02,871 INFO 7: 0.060338074002651565
2023-05-09 07:29:02,871 INFO 8: 0.044473906231167884
2023-05-09 07:29:02,871 INFO 9: 0.03845767546502752
2023-05-09 07:29:02,871 INFO 10: 0.04171186372584468
2023-05-09 07:29:02,871 INFO Grouping by level and horizont:
2023-05-09 07:29:02,871 INFO 1_1: 0.01999216584307581
2023-05-09 07:29:02,871 INFO 2_1: 0.008793338957856254
2023-05-09 07:29:02,871 INFO 3_1: 0.006478245148848981
2023-05-09 07:29:02,871 INFO 4_1: 0.005237836969185649
2023-05-09 07:29:02,871 INFO 5_1: 0.004640231408942991
2023-05-09 07:29:02,871 INFO 6_1: 0.004720581736370575
2023-05-09 07:29:02,871 INFO 7_1: 0.0025059258366477845
2023-05-09 07:29:02,871 INFO 8_1: 0.0018982764854766783
2023-05-09 07:29:02,871 INFO 9_1: 0.002139327467759431
2023-05-09 07:29:02,871 INFO 10_1: 0.0026415170141818327
2023-05-09 07:29:02,872 INFO 1_2: 0.029538789120565668
2023-05-09 07:29:02,872 INFO 2_2: 0.013087059579767787
2023-05-09 07:29:02,872 INFO 3_2: 0.00990317785544976
2023-05-09 07:29:02,872 INFO 4_2: 0.0076383030010847295
2023-05-09 07:29:02,872 INFO 5_2: 0.007261660841267928
2023-05-09 07:29:02,872 INFO 6_2: 0.006046362138925716
2023-05-09 07:29:02,872 INFO 7_2: 0.003620786629705516
2023-05-09 07:29:02,872 INFO 8_2: 0.002706801655216745
2023-05-09 07:29:02,872 INFO 9_2: 0.002892611787393034
2023-05-09 07:29:02,872 INFO 10_2: 0.0032290787834960426
2023-05-09 07:29:02,872 INFO 1_3: 0.03885440520670122
2023-05-09 07:29:02,872 INFO 2_3: 0.01821943674420473
2023-05-09 07:29:02,872 INFO 3_3: 0.012569804346952713
2023-05-09 07:29:02,872 INFO 4_3: 0.010977863484793701
2023-05-09 07:29:02,872 INFO 5_3: 0.009079586999317022
2023-05-09 07:29:02,872 INFO 6_3: 0.008522156602788156
2023-05-09 07:29:02,872 INFO 7_3: 0.005709895142822707
2023-05-09 07:29:02,872 INFO 8_3: 0.004308786308304206
2023-05-09 07:29:02,872 INFO 9_3: 0.003580611465991724
