2023-05-09 05:40:21,653 INFO Starting...
2023-05-09 05:40:21,653 INFO Tickers: ['FB']
2023-05-09 05:41:48,460 INFO used_ofi_9_1: 0.005589369651681331 , std 0.07455285774923855 
2023-05-09 05:41:48,460 INFO used_ofi_10_1: 0.0067293399220601825 , std 0.08175607565357788 
2023-05-09 05:41:48,460 INFO used_ofi_1_2: 0.007733719014904986 , std 0.08760084819853906 
2023-05-09 05:41:48,460 INFO used_ofi_2_2: 0.006819734040416215 , std 0.08229960673073841 
2023-05-09 05:41:48,460 INFO used_ofi_3_2: 0.005770157888393395 , std 0.07574208319247899 
2023-05-09 05:41:48,460 INFO used_ofi_4_2: 0.006834799726808886 , std 0.08238983699160532 
2023-05-09 05:41:48,460 INFO used_ofi_5_2: 0.007216463782089912 , std 0.08464269863710451 
2023-05-09 05:41:48,460 INFO used_ofi_6_2: 0.008230886665863163 , std 0.09035009225538665 
2023-05-09 05:41:48,460 INFO used_ofi_7_2: 0.007573018360049817 , std 0.08669295099930655 
2023-05-09 05:41:48,460 INFO used_ofi_8_2: 0.00806516411554377 , std 0.08944337450774717 
2023-05-09 05:41:48,460 INFO used_ofi_9_2: 0.006874974890522679 , std 0.08262995589238421 
2023-05-09 05:41:48,460 INFO used_ofi_10_2: 0.008406653007111005 , std 0.09130159468667036 
2023-05-09 05:41:48,460 INFO used_ofi_1_3: 0.012193162187135913 , std 0.10974738713524851 
2023-05-09 05:41:48,460 INFO used_ofi_2_3: 0.010385279820015266 , std 0.10137763946292717 
2023-05-09 05:41:48,460 INFO used_ofi_3_3: 0.009416053995420032 , std 0.0965784236906741 
2023-05-09 05:41:48,460 INFO used_ofi_4_3: 0.010731790607046723 , std 0.10303698014505872 
2023-05-09 05:41:48,460 INFO used_ofi_5_3: 0.010596199429512676 , std 0.10239101516814195 
2023-05-09 05:41:48,460 INFO used_ofi_6_3: 0.011921979832067815 , std 0.10853500001820421 
2023-05-09 05:41:48,460 INFO used_ofi_7_3: 0.0108523160981881 , std 0.10360764128911105 
2023-05-09 05:41:48,460 INFO used_ofi_8_3: 0.01154031577678679 , std 0.10680419883393553 
2023-05-09 05:41:48,460 INFO used_ofi_9_3: 0.010535936683941987 , std 0.10210255002757743 
2023-05-09 05:41:48,460 INFO used_ofi_10_3: 0.011836607609176007 , std 0.10815036906771242 
2023-05-09 05:41:48,460 INFO used_ofi_1_5: 0.018450443935559037 , std 0.13457349313345415 
2023-05-09 05:41:48,460 INFO used_ofi_2_5: 0.01586918966694789 , std 0.12496943020700035 
2023-05-09 05:41:48,460 INFO used_ofi_3_5: 0.014036197822506126 , std 0.11764005683946945 
2023-05-09 05:41:48,460 INFO used_ofi_4_5: 0.015557832148166004 , std 0.12375696346879031 
2023-05-09 05:41:48,460 INFO used_ofi_5_5: 0.016928809609899162 , std 0.1290047480331284 
2023-05-09 05:41:48,460 INFO used_ofi_6_5: 0.019846530874613313 , std 0.1394727431681772 
2023-05-09 05:41:48,460 INFO used_ofi_7_5: 0.01746615242457113 , std 0.13100032803032508 
2023-05-09 05:41:48,461 INFO used_ofi_8_5: 0.015688401430235827 , std 0.12426695252881838 
2023-05-09 05:41:48,461 INFO used_ofi_9_5: 0.0157034671166285 , std 0.12432565397835425 
2023-05-09 05:41:48,461 INFO used_ofi_10_5: 0.01644168574986943 , std 0.12716664939980124 
2023-05-09 05:41:48,461 INFO used_ofi_1_10: 0.027836366558193725 , std 0.164503809241706 
2023-05-09 05:41:48,461 INFO used_ofi_2_10: 0.02399461652806235 , std 0.15303226753117655 
2023-05-09 05:41:48,461 INFO used_ofi_3_10: 0.021985858342372745 , std 0.14663724075186993 
2023-05-09 05:41:48,461 INFO used_ofi_4_10: 0.021609216182555943 , std 0.14540377559929973 
2023-05-09 05:41:48,461 INFO used_ofi_5_10: 0.024270820778594673 , std 0.15388875214689346 
2023-05-09 05:41:48,461 INFO used_ofi_6_10: 0.02867000120525491 , std 0.16687729694642586 
2023-05-09 05:41:48,461 INFO used_ofi_7_10: 0.02633984170985497 , std 0.16014385548173476 
2023-05-09 05:41:48,461 INFO used_ofi_8_10: 0.02382889397774296 , std 0.1525158279967704 
2023-05-09 05:41:48,461 INFO used_ofi_9_10: 0.02156904101884215 , std 0.14527153020592046 
2023-05-09 05:41:48,461 INFO used_ofi_10_10: 0.024762966534088625 , std 0.15540193699732394 
2023-05-09 05:41:48,461 INFO used_ofi_1_20: 0.03698123819854566 , std 0.1887157285968716 
2023-05-09 05:41:48,461 INFO used_ofi_2_20: 0.036740187216262904 , std 0.18812321988414096 
2023-05-09 05:41:48,461 INFO used_ofi_3_20: 0.0307591097183721 , std 0.17266437642926014 
2023-05-09 05:41:48,461 INFO used_ofi_4_20: 0.030764131613836326 , std 0.17267802355795858 
2023-05-09 05:41:48,461 INFO used_ofi_5_20: 0.032853240126953516 , std 0.1782523625092084 
2023-05-09 05:41:48,461 INFO used_ofi_6_20: 0.03902514965248483 , std 0.19365481493390763 
2023-05-09 05:41:48,461 INFO used_ofi_7_20: 0.03512313687678277 , std 0.1840910158935453 
2023-05-09 05:41:48,461 INFO used_ofi_8_20: 0.03186392672050139 , std 0.1756377433652912 
2023-05-09 05:41:48,461 INFO used_ofi_9_20: 0.03009621951709453 , std 0.17085209125987716 
2023-05-09 05:41:48,461 INFO used_ofi_10_20: 0.031924189466072075 , std 0.17579828097284228 
2023-05-09 05:41:48,461 INFO used_ofi_1_30: 0.045066489895946325 , std 0.2074499973111711 
2023-05-09 05:41:48,461 INFO used_ofi_2_30: 0.044318227471776946 , std 0.2058011714872799 
2023-05-09 05:41:48,461 INFO used_ofi_3_30: 0.037533646699610304 , std 0.19006544153274976 
2023-05-09 05:41:48,461 INFO used_ofi_4_30: 0.03624804146076895 , std 0.18690671724426422 
2023-05-09 05:41:48,461 INFO used_ofi_5_30: 0.03595677152384396 , std 0.18618238935362827 
2023-05-09 05:41:48,461 INFO used_ofi_6_30: 0.04221907516773131 , std 0.2010885995269567 
2023-05-09 05:41:48,461 INFO used_ofi_7_30: 0.03932144148487405 , std 0.1943586008501442 
2023-05-09 05:41:48,461 INFO used_ofi_8_30: 0.03524366236792415 , std 0.18439508298981266 
2023-05-09 05:41:48,461 INFO used_ofi_9_30: 0.03609236270137801 , std 0.18651998299380734 
2023-05-09 05:41:48,461 INFO used_ofi_10_30: 0.041485878429954604 , std 0.19941113389389678 
2023-05-09 05:41:49,089 INFO Grouping by horizont:
2023-05-09 05:41:49,089 INFO 1: 0.05367401872162629
2023-05-09 05:41:49,089 INFO 2: 0.07352557149170383
2023-05-09 05:41:49,089 INFO 3: 0.11000964203929131
2023-05-09 05:41:49,089 INFO 5: 0.16598871077899643
2023-05-09 05:41:49,089 INFO 10: 0.2448676228355631
2023-05-09 05:41:49,089 INFO 20: 0.33613052910690605
2023-05-09 05:41:49,089 INFO 30: 0.3934855972038086
2023-05-09 05:41:49,089 INFO Grouping by level:
2023-05-09 05:41:49,089 INFO 1: 0.15447852637499498
2023-05-09 05:41:49,089 INFO 2: 0.14324454622152585
2023-05-09 05:41:49,089 INFO 3: 0.12340303724237676
2023-05-09 05:41:49,089 INFO 4: 0.12670242256237194
2023-05-09 05:41:49,089 INFO 5: 0.1326935438511912
2023-05-09 05:41:49,089 INFO 6: 0.15537744566309108
2023-05-09 05:41:49,089 INFO 7: 0.14211964163753968
2023-05-09 05:41:49,089 INFO 8: 0.13161383632638302
2023-05-09 05:41:49,089 INFO 9: 0.1264613715800892
2023-05-09 05:41:49,089 INFO 10: 0.1415873207183319
2023-05-09 05:41:49,089 INFO Grouping by level and horizont:
2023-05-09 05:41:49,089 INFO 1_1: 0.006217106584709333
2023-05-09 05:41:49,089 INFO 2_1: 0.005117311478044273
2023-05-09 05:41:49,089 INFO 3_1: 0.003902012775702061
2023-05-09 05:41:49,089 INFO 4_1: 0.004956610823189105
2023-05-09 05:41:49,089 INFO 5_1: 0.004871238600297296
2023-05-09 05:41:49,089 INFO 6_1: 0.005463822265075731
2023-05-09 05:41:49,089 INFO 7_1: 0.005443734683218834
2023-05-09 05:41:49,089 INFO 8_1: 0.005383471937648146
2023-05-09 05:41:49,089 INFO 9_1: 0.005589369651681331
2023-05-09 05:41:49,089 INFO 10_1: 0.0067293399220601825
2023-05-09 05:41:49,089 INFO 1_2: 0.007733719014904986
2023-05-09 05:41:49,089 INFO 2_2: 0.006819734040416215
2023-05-09 05:41:49,089 INFO 3_2: 0.005770157888393395
2023-05-09 05:41:49,090 INFO 4_2: 0.006834799726808886
2023-05-09 05:41:49,090 INFO 5_2: 0.007216463782089912
2023-05-09 05:41:49,090 INFO 6_2: 0.008230886665863163
2023-05-09 05:41:49,090 INFO 7_2: 0.007573018360049817
2023-05-09 05:41:49,090 INFO 8_2: 0.00806516411554377
2023-05-09 05:41:49,090 INFO 9_2: 0.006874974890522679
2023-05-09 05:41:49,090 INFO 10_2: 0.008406653007111005
2023-05-09 05:41:49,090 INFO 1_3: 0.012193162187135913
2023-05-09 05:41:49,090 INFO 2_3: 0.010385279820015266
2023-05-09 05:41:49,090 INFO 3_3: 0.009416053995420032
2023-05-09 05:41:49,090 INFO 4_3: 0.010731790607046723
2023-05-09 05:41:49,090 INFO 5_3: 0.010596199429512676
2023-05-09 05:41:49,090 INFO 6_3: 0.011921979832067815
2023-05-09 05:41:49,090 INFO 7_3: 0.0108523160981881
2023-05-09 05:41:49,090 INFO 8_3: 0.01154031577678679
2023-05-09 05:41:49,090 INFO 9_3: 0.010535936683941987
2023-05-09 05:41:49,090 INFO 10_3: 0.011836607609176007
2023-05-09 05:41:49,090 INFO 1_5: 0.018450443935559037
2023-05-09 05:41:49,090 INFO 2_5: 0.01586918966694789
2023-05-09 05:41:49,090 INFO 3_5: 0.014036197822506126
2023-05-09 05:41:49,090 INFO 4_5: 0.015557832148166004
2023-05-09 05:41:49,090 INFO 5_5: 0.016928809609899162
2023-05-09 05:41:49,090 INFO 6_5: 0.019846530874613313
2023-05-09 05:41:49,090 INFO 7_5: 0.01746615242457113
2023-05-09 05:41:49,090 INFO 8_5: 0.015688401430235827
2023-05-09 05:41:49,090 INFO 9_5: 0.0157034671166285
2023-05-09 05:41:49,090 INFO 10_5: 0.01644168574986943
2023-05-09 05:41:49,090 INFO 1_10: 0.027836366558193725
2023-05-09 05:41:49,090 INFO 2_10: 0.02399461652806235
2023-05-09 05:41:49,090 INFO 3_10: 0.021985858342372745
2023-05-09 05:41:49,090 INFO 4_10: 0.021609216182555943
2023-05-09 05:41:49,090 INFO 5_10: 0.024270820778594673
2023-05-09 05:41:49,090 INFO 6_10: 0.02867000120525491
2023-05-09 05:41:49,090 INFO 7_10: 0.02633984170985497
2023-05-09 05:41:49,090 INFO 8_10: 0.02382889397774296
2023-05-09 05:41:49,090 INFO 9_10: 0.02156904101884215
2023-05-09 05:41:49,090 INFO 10_10: 0.024762966534088625
2023-05-09 05:41:49,090 INFO 1_20: 0.03698123819854566
