2023-05-09 05:58:59,287 INFO Starting...
2023-05-09 05:58:59,287 INFO Tickers: ['INTC']
2023-05-09 06:00:15,903 INFO used_ofi_7_1: 0.0015971392122788866 , std 0.03993229718680717 
2023-05-09 06:00:15,903 INFO used_ofi_8_1: 0.0014615330527457736 , std 0.03820205457670445 
2023-05-09 06:00:15,903 INFO used_ofi_9_1: 0.001682520868281217 , std 0.04098402117666122 
2023-05-09 06:00:15,903 INFO used_ofi_10_1: 0.001506735105923478 , std 0.03878743166599274 
2023-05-09 06:00:15,903 INFO used_ofi_1_2: 0.03934085361566201 , std 0.19440460604742124 
2023-05-09 06:00:15,903 INFO used_ofi_2_2: 0.009597902624732554 , std 0.09749760453436127 
2023-05-09 06:00:15,903 INFO used_ofi_3_2: 0.013008146414472692 , std 0.11330902232978772 
2023-05-09 06:00:15,903 INFO used_ofi_4_2: 0.010326157925928902 , std 0.10109168308232717 
2023-05-09 06:00:15,903 INFO used_ofi_5_2: 0.004058139885287234 , std 0.0635741408589898 
2023-05-09 06:00:15,903 INFO used_ofi_6_2: 0.0024861129247737384 , std 0.04979891733059075 
2023-05-09 06:00:15,903 INFO used_ofi_7_2: 0.0018683515313451127 , std 0.043184034016062384 
2023-05-09 06:00:15,903 INFO used_ofi_8_2: 0.0018030596767550952 , std 0.04242415176001938 
2023-05-09 06:00:15,903 INFO used_ofi_9_2: 0.0016574086165158258 , std 0.040677532044037845 
2023-05-09 06:00:15,903 INFO used_ofi_10_2: 0.002491135375126817 , std 0.04984906839319676 
2023-05-09 06:00:15,903 INFO used_ofi_1_3: 0.05167096923246914 , std 0.22136187605603264 
2023-05-09 06:00:15,903 INFO used_ofi_2_3: 0.014208512048858398 , std 0.11834961019883353 
2023-05-09 06:00:15,903 INFO used_ofi_3_3: 0.01763884564001085 , std 0.13163478554127978 
2023-05-09 06:00:15,903 INFO used_ofi_4_3: 0.013314515886010467 , std 0.1146177977136694 
2023-05-09 06:00:15,903 INFO used_ofi_5_3: 0.0048868441935451465 , std 0.06973494781939084 
2023-05-09 06:00:15,903 INFO used_ofi_6_3: 0.002722168091368417 , std 0.05210333859025497 
2023-05-09 06:00:15,903 INFO used_ofi_7_3: 0.002029069942643617 , std 0.04499947575040711 
2023-05-09 06:00:15,903 INFO used_ofi_8_3: 0.0024258435205367994 , std 0.04919307678678645 
2023-05-09 06:00:15,903 INFO used_ofi_9_3: 0.0022299679567667472 , std 0.04716985477694987 
2023-05-09 06:00:15,903 INFO used_ofi_10_3: 0.002762347694193043 , std 0.05248539920215363 
2023-05-09 06:00:15,903 INFO used_ofi_1_5: 0.07534680019688006 , std 0.26395010872695523 
2023-05-09 06:00:15,903 INFO used_ofi_2_5: 0.021028999628338672 , std 0.1434809422988642 
2023-05-09 06:00:15,903 INFO used_ofi_3_5: 0.02799513826805822 , std 0.16495881456112166 
2023-05-09 06:00:15,903 INFO used_ofi_4_5: 0.020536799493737004 , std 0.14182749860408259 
2023-05-09 06:00:15,903 INFO used_ofi_5_5: 0.006453848703705564 , std 0.08007619209612331 
2023-05-09 06:00:15,903 INFO used_ofi_6_5: 0.004158588892348799 , std 0.06435289450190437 
2023-05-09 06:00:15,903 INFO used_ofi_7_5: 0.0025262925275983646 , std 0.05019870888442615 
2023-05-09 06:00:15,903 INFO used_ofi_8_5: 0.002551404779363756 , std 0.05044695345623555 
2023-05-09 06:00:15,903 INFO used_ofi_9_5: 0.003184233523851617 , std 0.05633909992817773 
2023-05-09 06:00:15,903 INFO used_ofi_10_5: 0.0034504233925647643 , std 0.058638877640834884 
2023-05-09 06:00:15,903 INFO used_ofi_1_10: 0.10993139332817695 , std 0.31280422325969737 
2023-05-09 06:00:15,903 INFO used_ofi_2_10: 0.030948339075668237 , std 0.17317776815782593 
2023-05-09 06:00:15,903 INFO used_ofi_3_10: 0.040244894679216096 , std 0.19653305862239792 
2023-05-09 06:00:15,903 INFO used_ofi_4_10: 0.03068214920695509 , std 0.17245508089643874 
2023-05-09 06:00:15,903 INFO used_ofi_5_10: 0.008337267586109911 , std 0.09092721020303829 
2023-05-09 06:00:15,903 INFO used_ofi_6_10: 0.005097787108374434 , std 0.07121656882335828 
2023-05-09 06:00:15,903 INFO used_ofi_7_10: 0.003560917300332486 , std 0.05956708124721807 
2023-05-09 06:00:15,903 INFO used_ofi_8_10: 0.003013470211846956 , std 0.0548123089198883 
2023-05-09 06:00:15,903 INFO used_ofi_9_10: 0.0038723092222233382 , std 0.062107281726950674 
2023-05-09 06:00:15,903 INFO used_ofi_10_10: 0.00401293783210953 , std 0.06322052010277322 
2023-05-09 06:00:15,903 INFO used_ofi_1_20: 0.14158287545327614 , std 0.34862180773964535 
2023-05-09 06:00:15,903 INFO used_ofi_2_20: 0.04346428535553926 , std 0.20389983142237153 
2023-05-09 06:00:15,904 INFO used_ofi_3_20: 0.053052143079565656 , std 0.22413748725777877 
2023-05-09 06:00:15,904 INFO used_ofi_4_20: 0.04297208522093759 , std 0.2027941939817363 
2023-05-09 06:00:15,904 INFO used_ofi_5_20: 0.011074503028537562 , std 0.10465112713778327 
2023-05-09 06:00:15,904 INFO used_ofi_6_20: 0.006242905788876277 , std 0.07876504247562806 
2023-05-09 06:00:15,904 INFO used_ofi_7_20: 0.00395266842787259 , std 0.06274587508491605 
2023-05-09 06:00:15,904 INFO used_ofi_8_20: 0.00476128293471819 , std 0.06883758507918294 
2023-05-09 06:00:15,904 INFO used_ofi_9_20: 0.004570429821301216 , std 0.06745028534075875 
2023-05-09 06:00:15,904 INFO used_ofi_10_20: 0.004389621608590399 , std 0.06610864414525378 
2023-05-09 06:00:15,904 INFO used_ofi_1_30: 0.1674886743744538 , std 0.3734115937283442 
2023-05-09 06:00:15,904 INFO used_ofi_2_30: 0.04990306670818559 , std 0.21774469141934089 
2023-05-09 06:00:15,904 INFO used_ofi_3_30: 0.06496037286671422 , std 0.24645592470811425 
2023-05-09 06:00:15,904 INFO used_ofi_4_30: 0.049943246311010214 , std 0.21782772656144578 
2023-05-09 06:00:15,904 INFO used_ofi_5_30: 0.01442949986439384 , std 0.11925304775164995 
2023-05-09 06:00:15,904 INFO used_ofi_6_30: 0.008829467720711581 , std 0.09354949609955412 
2023-05-09 06:00:15,904 INFO used_ofi_7_30: 0.005700481150743825 , std 0.07528602569795964 
2023-05-09 06:00:15,904 INFO used_ofi_8_30: 0.005549807640151477 , std 0.07429002137103471 
2023-05-09 06:00:15,904 INFO used_ofi_9_30: 0.005574919891916869 , std 0.07445696851279655 
2023-05-09 06:00:15,904 INFO used_ofi_10_30: 0.005690436250037669 , std 0.07522004510316332 
2023-05-09 06:00:16,527 INFO Grouping by horizont:
2023-05-09 06:00:16,528 INFO 1: 0.06534207909354815
2023-05-09 06:00:16,528 INFO 2: 0.08663726859059998
2023-05-09 06:00:16,528 INFO 3: 0.11388908420640263
2023-05-09 06:00:16,528 INFO 5: 0.16723252940644684
2023-05-09 06:00:16,528 INFO 10: 0.23970146555101304
2023-05-09 06:00:16,528 INFO 20: 0.31606280071921483
2023-05-09 06:00:16,528 INFO 30: 0.3780699727783191
2023-05-09 06:00:16,528 INFO Grouping by level:
2023-05-09 06:00:16,528 INFO 1: 0.616485691038944
2023-05-09 06:00:16,528 INFO 2: 0.17564011129749982
2023-05-09 06:00:16,528 INFO 3: 0.22650246602312335
2023-05-09 06:00:16,528 INFO 4: 0.17475113758500496
2023-05-09 06:00:16,528 INFO 5: 0.051891957048004575
2023-05-09 06:00:16,528 INFO 6: 0.03178708828463231
2023-05-09 06:00:16,528 INFO 7: 0.02123492009281488
2023-05-09 06:00:16,528 INFO 8: 0.021566401816118047
2023-05-09 06:00:16,528 INFO 9: 0.022771789900856827
2023-05-09 06:00:16,528 INFO 10: 0.024303637258545698
2023-05-09 06:00:16,528 INFO Grouping by level and horizont:
2023-05-09 06:00:16,528 INFO 1_1: 0.031124124838025975
2023-05-09 06:00:16,528 INFO 2_1: 0.006489005856177112
2023-05-09 06:00:16,528 INFO 3_1: 0.009602925075085632
2023-05-09 06:00:16,528 INFO 4_1: 0.006976183540425703
2023-05-09 06:00:16,528 INFO 5_1: 0.002651853786425321
2023-05-09 06:00:16,528 INFO 6_1: 0.0022500577581790605
2023-05-09 06:00:16,528 INFO 7_1: 0.0015971392122788866
2023-05-09 06:00:16,528 INFO 8_1: 0.0014615330527457736
2023-05-09 06:00:16,528 INFO 9_1: 0.001682520868281217
2023-05-09 06:00:16,528 INFO 10_1: 0.001506735105923478
2023-05-09 06:00:16,528 INFO 1_2: 0.03934085361566201
2023-05-09 06:00:16,528 INFO 2_2: 0.009597902624732554
2023-05-09 06:00:16,528 INFO 3_2: 0.013008146414472692
2023-05-09 06:00:16,528 INFO 4_2: 0.010326157925928902
2023-05-09 06:00:16,528 INFO 5_2: 0.004058139885287234
2023-05-09 06:00:16,528 INFO 6_2: 0.0024861129247737384
2023-05-09 06:00:16,528 INFO 7_2: 0.0018683515313451127
2023-05-09 06:00:16,528 INFO 8_2: 0.0018030596767550952
2023-05-09 06:00:16,528 INFO 9_2: 0.0016574086165158258
2023-05-09 06:00:16,528 INFO 10_2: 0.002491135375126817
2023-05-09 06:00:16,528 INFO 1_3: 0.05167096923246914
2023-05-09 06:00:16,528 INFO 2_3: 0.014208512048858398
2023-05-09 06:00:16,528 INFO 3_3: 0.01763884564001085
