2023-05-09 07:42:07,071 INFO Starting...
2023-05-09 07:42:07,071 INFO Tickers: ['AGN']
2023-05-09 07:43:00,817 INFO 8_2: 0.0068439562776777645
2023-05-09 07:43:00,817 INFO 9_2: 0.00585648200897842
2023-05-09 07:43:00,817 INFO 10_2: 0.007618743780811096
2023-05-09 07:43:00,817 INFO 1_3: 0.021830777294168584
2023-05-09 07:43:00,817 INFO 2_3: 0.01380944784996468
2023-05-09 07:43:00,817 INFO 3_3: 0.013596761084398666
2023-05-09 07:43:00,817 INFO 4_3: 0.013953771012313045
2023-05-09 07:43:00,817 INFO 5_3: 0.012761205933960759
2023-05-09 07:43:00,817 INFO 6_3: 0.01187247909213135
2023-05-09 07:43:00,817 INFO 7_3: 0.010930580558910436
2023-05-09 07:43:00,817 INFO 8_3: 0.008606218049510441
2023-05-09 07:43:00,817 INFO 9_3: 0.008537854446292794
2023-05-09 07:43:00,817 INFO 10_3: 0.010231752614907823
2023-05-09 07:43:00,817 INFO 1_5: 0.030042005636199288
2023-05-09 07:43:00,818 INFO 2_5: 0.020486293097554863
2023-05-09 07:43:00,818 INFO 3_5: 0.020653404127642442
2023-05-09 07:43:00,818 INFO 4_5: 0.02041033353842414
2023-05-09 07:43:00,818 INFO 5_5: 0.019529202652507804
2023-05-09 07:43:00,818 INFO 6_5: 0.018108758896763364
2023-05-09 07:43:00,818 INFO 7_5: 0.016665527273279707
2023-05-09 07:43:00,818 INFO 8_5: 0.013581569172572522
2023-05-09 07:43:00,818 INFO 9_5: 0.01163700445882612
2023-05-09 07:43:00,818 INFO 10_5: 0.012624478727525465
2023-05-09 07:43:00,818 INFO 1_10: 0.04527949319782148
2023-05-09 07:43:00,818 INFO 2_10: 0.031728307848901245
2023-05-09 07:43:00,818 INFO 3_10: 0.030026813724373144
2023-05-09 07:43:00,818 INFO 4_10: 0.028689925483672492
2023-05-09 07:43:00,818 INFO 5_10: 0.029844510782459418
2023-05-09 07:43:00,818 INFO 6_10: 0.02846964276219341
2023-05-09 07:43:00,818 INFO 7_10: 0.024018412597133287
2023-05-09 07:43:00,818 INFO 8_10: 0.018883546399896697
2023-05-09 07:43:00,818 INFO 9_10: 0.017212436099020883
2023-05-09 07:43:00,818 INFO 10_10: 0.019278536107376433
2023-05-09 07:43:00,818 INFO 1_20: 0.057790032586650865
2023-05-09 07:43:00,818 INFO 2_20: 0.03965088986623522
2023-05-09 07:43:00,818 INFO 3_20: 0.0402509703833679
2023-05-09 07:43:00,818 INFO 4_20: 0.03983319280814894
2023-05-09 07:43:00,818 INFO 5_20: 0.040167414868324106
2023-05-09 07:43:00,818 INFO 6_20: 0.03740248691596594
2023-05-09 07:43:00,818 INFO 7_20: 0.031325722185508435
2023-05-09 07:43:00,818 INFO 8_20: 0.02475522032070126
2023-05-09 07:43:00,818 INFO 9_20: 0.0218535651619078
2023-05-09 07:43:00,818 INFO 10_20: 0.023714574360610412
2023-05-09 07:43:00,818 INFO 1_30: 0.06544675614702733
2023-05-09 07:43:00,818 INFO 2_30: 0.045826402023562654
2023-05-09 07:43:00,818 INFO 3_30: 0.042719656055116254
2023-05-09 07:43:00,818 INFO 4_30: 0.04465662481294959
2023-05-09 07:43:00,818 INFO 5_30: 0.04675310864495742
2023-05-09 07:43:00,818 INFO 6_30: 0.04174737369824306
2023-05-09 07:43:00,818 INFO 7_30: 0.03579974021830777
2023-05-09 07:43:00,818 INFO 8_30: 0.02843166298262805
2023-05-09 07:43:00,818 INFO 9_30: 0.025864229884009753
2023-05-09 07:43:00,818 INFO 10_30: 0.02770245121497315
2023-05-09 07:43:00,824 INFO Non empty regressions: 0.4782717681106579 --- 62964 / 131649
