2023-05-09 05:43:11,495 INFO Starting...
2023-05-09 05:43:11,495 INFO Tickers: ['JPM']
2023-05-09 05:44:35,558 INFO used_ofi_10_30: 0.00495158892772488 , std 0.0701930957774033 
2023-05-09 05:44:36,179 INFO Grouping by horizont:
2023-05-09 05:44:36,179 INFO 1: 0.05319693865252501
2023-05-09 05:44:36,179 INFO 2: 0.07506729339922061
2023-05-09 05:44:36,179 INFO 3: 0.1034811779358001
2023-05-09 05:44:36,179 INFO 5: 0.16243823068579008
2023-05-09 05:44:36,179 INFO 10: 0.2499296934635009
2023-05-09 05:44:36,180 INFO 20: 0.32445462215258525
2023-05-09 05:44:36,180 INFO 30: 0.39680507010566074
2023-05-09 05:44:36,180 INFO Grouping by level:
2023-05-09 05:44:36,180 INFO 1: 0.1881854887308666
2023-05-09 05:44:36,180 INFO 2: 0.17776505564260175
2023-05-09 05:44:36,180 INFO 3: 0.22140532722670844
2023-05-09 05:44:36,180 INFO 4: 0.25360572094331285
2023-05-09 05:44:36,180 INFO 5: 0.20628942187939414
2023-05-09 05:44:36,180 INFO 6: 0.1549857378168816
2023-05-09 05:44:36,180 INFO 7: 0.08478466112249408
2023-05-09 05:44:36,180 INFO 8: 0.0340836045156884
2023-05-09 05:44:36,180 INFO 9: 0.02550620706279378
2023-05-09 05:44:36,180 INFO 10: 0.018761801454340928
2023-05-09 05:44:36,180 INFO Grouping by level and horizont:
2023-05-09 05:44:36,180 INFO 1_1: 0.00819071150214937
2023-05-09 05:44:36,180 INFO 2_1: 0.005584347756217106
2023-05-09 05:44:36,180 INFO 3_1: 0.008261018038648508
2023-05-09 05:44:36,180 INFO 4_1: 0.008984170985496765
2023-05-09 05:44:36,180 INFO 5_1: 0.007748784701297658
2023-05-09 05:44:36,180 INFO 6_1: 0.0062020408983166605
2023-05-09 05:44:36,180 INFO 7_1: 0.003249166365352939
2023-05-09 05:44:36,180 INFO 8_1: 0.0019886706038327105
2023-05-09 05:44:36,180 INFO 9_1: 0.0015517656984452212
2023-05-09 05:44:36,180 INFO 10_1: 0.0014362621027680688
2023-05-09 05:44:36,180 INFO 1_2: 0.010932666425615684
2023-05-09 05:44:36,180 INFO 2_2: 0.008627616407536861
2023-05-09 05:44:36,180 INFO 3_2: 0.011796432445462215
2023-05-09 05:44:36,180 INFO 4_2: 0.013006709252340203
2023-05-09 05:44:36,180 INFO 5_2: 0.011555381463179462
2023-05-09 05:44:36,180 INFO 6_2: 0.008622594512072637
2023-05-09 05:44:36,180 INFO 7_2: 0.004549837290586959
