2023-05-09 07:18:55,799 INFO Starting...
2023-05-09 07:18:55,799 INFO Tickers: ['TJX']
2023-05-09 07:20:15,831 INFO used_ofi_9_1: 0.0013006709252340203 , std 0.03604135375340764 
2023-05-09 07:20:15,831 INFO used_ofi_10_1: 0.001516612430195653 , std 0.03891416601871648 
2023-05-09 07:20:15,831 INFO used_ofi_1_2: 0.02290486521232574 , std 0.14960024185117793 
2023-05-09 07:20:15,831 INFO used_ofi_2_2: 0.009857980796271745 , std 0.09879676619653138 
2023-05-09 07:20:15,831 INFO used_ofi_3_2: 0.012765658270057451 , std 0.11226173096380425 
2023-05-09 07:20:15,831 INFO used_ofi_4_2: 0.0122534249327066 , std 0.11001490130943684 
2023-05-09 07:20:15,831 INFO used_ofi_5_2: 0.01006387851030493 , std 0.09981280909600104 
2023-05-09 07:20:15,831 INFO used_ofi_6_2: 0.007261660841267928 , std 0.08490541280209596 
2023-05-09 07:20:15,831 INFO used_ofi_7_2: 0.003289341529066731 , std 0.057258377215669384 
2023-05-09 07:20:15,831 INFO used_ofi_8_2: 0.0022447872725081357 , std 0.04732597809458692 
2023-05-09 07:20:15,831 INFO used_ofi_9_2: 0.0018731670081555583 , std 0.04323954501975148 
2023-05-09 07:20:15,831 INFO used_ofi_10_2: 0.001767707203406854 , std 0.04200693293552718 
2023-05-09 07:20:15,831 INFO used_ofi_1_3: 0.02769073158973123 , std 0.16408520644395916 
2023-05-09 07:20:15,832 INFO used_ofi_2_3: 0.015171146197420755 , std 0.1222333118281479 
2023-05-09 07:20:15,832 INFO used_ofi_3_3: 0.0186312321722711 , std 0.13521874633353922 
2023-05-09 07:20:15,832 INFO used_ofi_4_3: 0.01673797758225865 , std 0.12828802628739153 
2023-05-09 07:20:15,832 INFO used_ofi_5_3: 0.013292957293800972 , std 0.11452621787252977 
2023-05-09 07:20:15,832 INFO used_ofi_6_3: 0.009953396810092002 , std 0.09926896142316011 
2023-05-09 07:20:15,832 INFO used_ofi_7_3: 0.004384114740267567 , std 0.06606734653527213 
2023-05-09 07:20:15,832 INFO used_ofi_8_3: 0.0028423928327507932 , std 0.0532382722835285 
2023-05-09 07:20:15,832 INFO used_ofi_9_3: 0.0023150938090072716 , std 0.04805969360766636 
2023-05-09 07:20:15,832 INFO used_ofi_10_3: 0.0019434735446546944 , std 0.04404198514186119 
2023-05-09 07:20:15,832 INFO used_ofi_1_5: 0.04137539672974167 , std 0.19915690616997983 
