2023-05-09 06:20:42,206 INFO Starting...
2023-05-09 06:20:42,206 INFO Tickers: ['MCD']
2023-05-09 06:22:01,825 INFO used_ofi_10_10: 0.009979097158017446 , std 0.09939574828899017 
2023-05-09 06:22:01,825 INFO used_ofi_1_20: 0.0244804437834144 , std 0.154535276411509 
2023-05-09 06:22:01,825 INFO used_ofi_2_20: 0.02172689632994332 , std 0.14579039167863983 
2023-05-09 06:22:01,825 INFO used_ofi_3_20: 0.03313301443100052 , std 0.17898384783470167 
2023-05-09 06:22:01,825 INFO used_ofi_4_20: 0.049965831892913135 , std 0.2178743847637034 
2023-05-09 06:22:01,825 INFO used_ofi_5_20: 0.06317582505929172 , std 0.24327893494375846 
2023-05-09 06:22:01,825 INFO used_ofi_6_20: 0.05398058447562005 , std 0.2259793817481819 
2023-05-09 06:22:01,825 INFO used_ofi_7_20: 0.03336415162599992 , std 0.17958559244070002 
2023-05-09 06:22:01,825 INFO used_ofi_8_20: 0.02451059211319693 , std 0.1546280148855873 
2023-05-09 06:22:01,825 INFO used_ofi_9_20: 0.016154480041805683 , std 0.12606947614860856 
2023-05-09 06:22:01,825 INFO used_ofi_10_20: 0.012094504964424971 , std 0.10930794991257713 
2023-05-09 06:22:01,825 INFO used_ofi_1_30: 0.028098243357318003 , std 0.16525353877466875 
2023-05-09 06:22:01,825 INFO used_ofi_2_30: 0.0251537564818909 , std 0.15659196983479276 
2023-05-09 06:22:01,825 INFO used_ofi_3_30: 0.03868533183261647 , std 0.19284391858084826 
2023-05-09 06:22:01,825 INFO used_ofi_4_30: 0.06205028741407726 , std 0.24124686370170215 
2023-05-09 06:22:01,825 INFO used_ofi_5_30: 0.07741086143827632 , std 0.2672422495969908 
2023-05-09 06:22:01,825 INFO used_ofi_6_30: 0.06665293242754351 , std 0.24941996517190204 
2023-05-09 06:22:01,825 INFO used_ofi_7_30: 0.03928327370663665 , std 0.19426810884323276 
2023-05-09 06:22:01,826 INFO used_ofi_8_30: 0.027821883667644813 , std 0.16446223413546598 
2023-05-09 06:22:01,826 INFO used_ofi_9_30: 0.018320135064517427 , std 0.13410632988690452 
2023-05-09 06:22:01,826 INFO used_ofi_10_30: 0.014968645737026168 , std 0.12142728433851092 
2023-05-09 06:22:02,462 INFO Grouping by horizont:
2023-05-09 06:22:02,462 INFO 1: 0.06245728986614141
2023-05-09 06:22:02,462 INFO 2: 0.0879979499135748
2023-05-09 06:22:02,462 INFO 3: 0.11961349841218798
2023-05-09 06:22:02,462 INFO 5: 0.17359408288780803
2023-05-09 06:22:02,462 INFO 10: 0.2611649314627969
2023-05-09 06:22:02,462 INFO 20: 0.3325863247176107
2023-05-09 06:22:02,462 INFO 30: 0.3984453511275475
2023-05-09 06:22:02,462 INFO Grouping by level:
2023-05-09 06:22:02,462 INFO 1: 0.10181593439723438
2023-05-09 06:22:02,462 INFO 2: 0.09169112031193472
2023-05-09 06:22:02,462 INFO 3: 0.13832556176387828
2023-05-09 06:22:02,462 INFO 4: 0.21547011295574225
2023-05-09 06:22:02,462 INFO 5: 0.26821461591027856
2023-05-09 06:22:02,462 INFO 6: 0.23536801061221208
2023-05-09 06:22:02,462 INFO 7: 0.14797302729428788
2023-05-09 06:22:02,462 INFO 8: 0.10813703420830487
2023-05-09 06:22:02,462 INFO 9: 0.07189371708807332
2023-05-09 06:22:02,462 INFO 10: 0.05697029384572094
2023-05-09 06:22:02,462 INFO Grouping by level and horizont:
2023-05-09 06:22:02,462 INFO 1_1: 0.003904208706837641
2023-05-09 06:22:02,463 INFO 2_1: 0.004029826747598183
2023-05-09 06:22:02,463 INFO 3_1: 0.006250753708244563
2023-05-09 06:22:02,463 INFO 4_1: 0.008225469309000281
2023-05-09 06:22:02,463 INFO 5_1: 0.010134863528560517
2023-05-09 06:22:02,463 INFO 6_1: 0.010029344374321663
2023-05-09 06:22:02,463 INFO 7_1: 0.0071401294368292
2023-05-09 06:22:02,463 INFO 8_1: 0.0053463038147686616
2023-05-09 06:22:02,463 INFO 9_1: 0.004095148128793665
2023-05-09 06:22:02,463 INFO 10_1: 0.0033012421111870403
2023-05-09 06:22:02,463 INFO 1_2: 0.006084937894440648
2023-05-09 06:22:02,463 INFO 2_2: 0.005150339671182217
2023-05-09 06:22:02,463 INFO 3_2: 0.008687743698999075
2023-05-09 06:22:02,463 INFO 4_2: 0.012797965992684006
2023-05-09 06:22:02,463 INFO 5_2: 0.014903324355830687
2023-05-09 06:22:02,463 INFO 6_2: 0.013978775575833099
2023-05-09 06:22:02,463 INFO 7_2: 0.0091801664187804
2023-05-09 06:22:02,463 INFO 8_2: 0.007516983559110825
2023-05-09 06:22:02,463 INFO 9_2: 0.005210636330747276
2023-05-09 06:22:02,463 INFO 10_2: 0.004487076415966555
