2023-05-09 06:42:06,133 INFO Starting...
2023-05-09 06:42:06,133 INFO Tickers: ['UTX']
2023-05-09 06:43:27,827 INFO used_ofi_8_2: 0.005709895142822707 , std 0.07534780846368842 
2023-05-09 06:43:27,827 INFO used_ofi_9_2: 0.004499618335944719 , std 0.06692810897355124 
2023-05-09 06:43:27,827 INFO used_ofi_10_2: 0.005097223896187377 , std 0.07121265480755168 
2023-05-09 06:43:27,827 INFO used_ofi_1_3: 0.00952653569563296 , std 0.09713794733919794 
2023-05-09 06:43:27,827 INFO used_ofi_2_3: 0.009722389618737696 , std 0.0981216834284816 
2023-05-09 06:43:27,827 INFO used_ofi_3_3: 0.014232051745610864 , std 0.11844619220861902 
2023-05-09 06:43:27,827 INFO used_ofi_4_3: 0.019027961913944798 , std 0.13662319927210848 
2023-05-09 06:43:27,827 INFO used_ofi_5_3: 0.017410911574464664 , std 0.13079668089294486 
2023-05-09 06:43:27,827 INFO used_ofi_6_3: 0.01695391908722028 , std 0.12909873630211982 
2023-05-09 06:43:27,827 INFO used_ofi_7_3: 0.010068900405769153 , std 0.09983745614942248 
2023-05-09 06:43:27,827 INFO used_ofi_8_3: 0.007904463460688602 , std 0.08855497116530073 
2023-05-09 06:43:27,827 INFO used_ofi_9_3: 0.005227793178257201 , std 0.07211423823866249 
2023-05-09 06:43:27,827 INFO used_ofi_10_3: 0.00518761801454341 , std 0.07183805839440953 
2023-05-09 06:43:27,827 INFO used_ofi_1_5: 0.0134034389940139 , std 0.11499472517097314 
2023-05-09 06:43:27,827 INFO used_ofi_2_5: 0.014930095215138002 , std 0.12127319354253399 
2023-05-09 06:43:27,827 INFO used_ofi_3_5: 0.02216664657908481 , std 0.14722529116467303 
2023-05-09 06:43:27,827 INFO used_ofi_4_5: 0.029734643043670402 , std 0.16985433184566093 
2023-05-09 06:43:27,827 INFO used_ofi_5_5: 0.028423928327507935 , std 0.16618065057623474 
2023-05-09 06:43:27,827 INFO used_ofi_6_5: 0.025134586798441202 , std 0.15653382811684136 
2023-05-09 06:43:27,827 INFO used_ofi_7_5: 0.014001044554256558 , std 0.11749474586400144 
2023-05-09 06:43:27,827 INFO used_ofi_8_5: 0.01018942589691053 , std 0.10042709543147156 
2023-05-09 06:43:27,828 INFO used_ofi_9_5: 0.007216463782089912 , std 0.08464269863710451 
2023-05-09 06:43:27,828 INFO used_ofi_10_5: 0.007804025551404122 , std 0.0879950154076761 
2023-05-09 06:43:27,828 INFO used_ofi_1_10: 0.020444136434855972 , std 0.1415138640568088 
2023-05-09 06:43:27,828 INFO used_ofi_2_10: 0.02182013579205335 , std 0.14609591871804528 
2023-05-09 06:43:27,828 INFO used_ofi_3_10: 0.032436422803422925 , std 0.17715614942513427 
2023-05-09 06:43:27,828 INFO used_ofi_4_10: 0.044242899039813585 , std 0.20563429899792118 
2023-05-09 06:43:27,828 INFO used_ofi_5_10: 0.041114258165602026 , std 0.19855446593087314 
2023-05-09 06:43:27,828 INFO used_ofi_6_10: 0.03654433329315817 , std 0.18764020090939132 
2023-05-09 06:43:27,828 INFO used_ofi_7_10: 0.02155397533244948 , std 0.14522190427004336 
2023-05-09 06:43:27,828 INFO used_ofi_8_10: 0.014432927564179824 , std 0.11926700367707307 
2023-05-09 06:43:27,828 INFO used_ofi_9_10: 0.010711703025189827 , std 0.10294154867442966 
2023-05-09 06:43:27,828 INFO used_ofi_10_10: 0.010556024265798884 , std 0.10219879949147519 
2023-05-09 06:43:27,828 INFO used_ofi_1_20: 0.026902294001848057 , std 0.16179790041680447 
2023-05-09 06:43:27,828 INFO used_ofi_2_20: 0.029413241733960066 , std 0.1689618387230078 
2023-05-09 06:43:27,828 INFO used_ofi_3_20: 0.044212767667028245 , std 0.20556750434407098 
2023-05-09 06:43:27,828 INFO used_ofi_4_20: 0.05749568116990077 , std 0.2327873016655115 
2023-05-09 06:43:27,828 INFO used_ofi_5_20: 0.05484914226025471 , std 0.2276855591678336 
2023-05-09 06:43:27,828 INFO used_ofi_6_20: 0.046136153629826045 , std 0.2097799059921401 
2023-05-09 06:43:27,828 INFO used_ofi_7_20: 0.02739443975734201 , std 0.1632298515214768 
2023-05-09 06:43:27,828 INFO used_ofi_8_20: 0.0196556988469728 , std 0.13881409276370288 
2023-05-09 06:43:27,828 INFO used_ofi_9_20: 0.013754971676509582 , std 0.11647219595546399 
2023-05-09 06:43:27,828 INFO used_ofi_10_20: 0.013388373307621229 , std 0.11493095652519822 
2023-05-09 06:43:27,828 INFO used_ofi_1_30: 0.032953678036238 , std 0.17851535827519704 
2023-05-09 06:43:27,828 INFO used_ofi_2_30: 0.03406351693383151 , std 0.18139237510967787 
2023-05-09 06:43:27,828 INFO used_ofi_3_30: 0.05109778634847937 , std 0.22019719021541692 
2023-05-09 06:43:27,828 INFO used_ofi_4_30: 0.06688160379253545 , std 0.24981684264011056 
2023-05-09 06:43:27,828 INFO used_ofi_5_30: 0.06609316620465229 , std 0.24844488238983006 
2023-05-09 06:43:27,828 INFO used_ofi_6_30: 0.055677755011851675 , std 0.2292983702704664 
2023-05-09 06:43:27,828 INFO used_ofi_7_30: 0.033912860069904786 , std 0.18100491151287534 
2023-05-09 06:43:27,828 INFO used_ofi_8_30: 0.021900486119480936 , std 0.1463586513575858 
2023-05-09 06:43:27,828 INFO used_ofi_9_30: 0.01682837170061468 , std 0.12862805917264175 
2023-05-09 06:43:27,828 INFO used_ofi_10_30: 0.01624080993130047 , std 0.12640034028465208 
2023-05-09 06:43:28,447 INFO Grouping by horizont:
2023-05-09 06:43:28,447 INFO 1: 0.06215600016070065
2023-05-09 06:43:28,447 INFO 2: 0.08724036800449961
2023-05-09 06:43:28,447 INFO 3: 0.11526254469486961
2023-05-09 06:43:28,447 INFO 5: 0.17300429874251735
2023-05-09 06:43:28,447 INFO 10: 0.2538568157165241
2023-05-09 06:43:28,447 INFO 20: 0.33320276405126353
2023-05-09 06:43:28,447 INFO 30: 0.3956500341488891
2023-05-09 06:43:28,447 INFO Grouping by level:
2023-05-09 06:43:28,447 INFO 1: 0.11505664698083645
2023-05-09 06:43:28,447 INFO 2: 0.12249909605881643
2023-05-09 06:43:28,447 INFO 3: 0.18122011972198787
2023-05-09 06:43:28,447 INFO 4: 0.2409103692097545
2023-05-09 06:43:28,447 INFO 5: 0.23046482664416856
2023-05-09 06:43:28,447 INFO 6: 0.20223173034430117
2023-05-09 06:43:28,447 INFO 7: 0.11989775420834839
2023-05-09 06:43:28,447 INFO 8: 0.08433771242617813
2023-05-09 06:43:28,447 INFO 9: 0.06183962074645454
2023-05-09 06:43:28,447 INFO 10: 0.0619149491784179
2023-05-09 06:43:28,447 INFO Grouping by level and horizont:
2023-05-09 06:43:28,447 INFO 1_1: 0.004755735004620144
2023-05-09 06:43:28,447 INFO 2_1: 0.0048561729139046245
2023-05-09 06:43:28,447 INFO 3_1: 0.007000522277128279
2023-05-09 06:43:28,447 INFO 4_1: 0.009807761841629504
2023-05-09 06:43:28,447 INFO 5_1: 0.009591820336667872
2023-05-09 06:43:28,447 INFO 6_1: 0.008587441243823069
2023-05-09 06:43:28,447 INFO 7_1: 0.005770157888393395
2023-05-09 06:43:28,447 INFO 8_1: 0.0045448153951227355
2023-05-09 06:43:28,447 INFO 9_1: 0.0036006990478486198
2023-05-09 06:43:28,447 INFO 10_1: 0.0036408742115624122
2023-05-09 06:43:28,447 INFO 1_2: 0.007070828813627416
2023-05-09 06:43:28,448 INFO 2_2: 0.007693543851191194
2023-05-09 06:43:28,448 INFO 3_2: 0.010073922301233378
2023-05-09 06:43:28,448 INFO 4_2: 0.013719818408260014
2023-05-09 06:43:28,448 INFO 5_2: 0.012981599775019084
2023-05-09 06:43:28,448 INFO 6_2: 0.013197541279980716
2023-05-09 06:43:28,448 INFO 7_2: 0.007196376200233016
2023-05-09 06:43:28,448 INFO 8_2: 0.005709895142822707
2023-05-09 06:43:28,448 INFO 9_2: 0.004499618335944719
2023-05-09 06:43:28,448 INFO 10_2: 0.005097223896187377
2023-05-09 06:43:28,448 INFO 1_3: 0.00952653569563296
2023-05-09 06:43:28,448 INFO 2_3: 0.009722389618737696
2023-05-09 06:43:28,448 INFO 3_3: 0.014232051745610864
2023-05-09 06:43:28,448 INFO 4_3: 0.019027961913944798
2023-05-09 06:43:28,448 INFO 5_3: 0.017410911574464664
2023-05-09 06:43:28,448 INFO 6_3: 0.01695391908722028
2023-05-09 06:43:28,448 INFO 7_3: 0.010068900405769153
2023-05-09 06:43:28,448 INFO 8_3: 0.007904463460688602
2023-05-09 06:43:28,448 INFO 9_3: 0.005227793178257201
2023-05-09 06:43:28,448 INFO 10_3: 0.00518761801454341
2023-05-09 06:43:28,448 INFO 1_5: 0.0134034389940139
2023-05-09 06:43:28,448 INFO 2_5: 0.014930095215138002
2023-05-09 06:43:28,448 INFO 3_5: 0.02216664657908481
2023-05-09 06:43:28,448 INFO 4_5: 0.029734643043670402
2023-05-09 06:43:28,448 INFO 5_5: 0.028423928327507935
2023-05-09 06:43:28,448 INFO 6_5: 0.025134586798441202
2023-05-09 06:43:28,448 INFO 7_5: 0.014001044554256558
2023-05-09 06:43:28,448 INFO 8_5: 0.01018942589691053
2023-05-09 06:43:28,448 INFO 9_5: 0.007216463782089912
2023-05-09 06:43:28,448 INFO 10_5: 0.007804025551404122
2023-05-09 06:43:28,448 INFO 1_10: 0.020444136434855972
