2023-05-09 06:04:11,300 INFO Starting...
2023-05-09 06:04:11,301 INFO Tickers: ['CVX']
2023-05-09 06:05:33,480 INFO ofi_9_30: -2.290689282668875e-07 , std 7.413941916792489e-06 
2023-05-09 06:05:33,480 INFO ofi_10_30: -2.1580403412297077e-07 , std 7.531860524743145e-06 
2023-05-09 06:05:33,480 INFO used_intercept: 0.9884747499096059 , std 0.10673527392923106 
2023-05-09 06:05:33,480 INFO used_ofi_1_1: 0.004981720300510225 , std 0.07040527511030484 
2023-05-09 06:05:33,480 INFO used_ofi_2_1: 0.004574946767908079 , std 0.06748345449055557 
2023-05-09 06:05:33,480 INFO used_ofi_3_1: 0.007919529147081274 , std 0.08863864961273837 
2023-05-09 06:05:33,480 INFO used_ofi_4_1: 0.010696637338797155 , std 0.10286991439891163 
2023-05-09 06:05:33,480 INFO used_ofi_5_1: 0.009511470009240288 , std 0.0970618459926639 
2023-05-09 06:05:33,480 INFO used_ofi_6_1: 0.007427383391587321 , std 0.08586161754556977 
2023-05-09 06:05:33,480 INFO used_ofi_7_1: 0.004574946767908079 , std 0.06748345449055558 
2023-05-09 06:05:33,480 INFO used_ofi_8_1: 0.0028122614599654493 , std 0.05295613888347829 
2023-05-09 06:05:33,480 INFO used_ofi_9_1: 0.002079064722188743 , std 0.045549338217691956 
2023-05-09 06:05:33,481 INFO used_ofi_10_1: 0.0017124663533003898 , std 0.0413465090701646 
2023-05-09 06:05:33,481 INFO used_ofi_1_2: 0.00666405528102527 , std 0.08136120481062646 
2023-05-09 06:05:33,481 INFO used_ofi_2_2: 0.006186975211923989 , std 0.0784136247705144 
2023-05-09 06:05:33,481 INFO used_ofi_3_2: 0.010897513157366116 , std 0.10382079446985151 
2023-05-09 06:05:33,481 INFO used_ofi_4_2: 0.015146036720099634 , std 0.12213367386504438 
2023-05-09 06:05:33,481 INFO used_ofi_5_2: 0.012851030492949259 , std 0.11263161859894649 
2023-05-09 06:05:33,481 INFO used_ofi_6_2: 0.010380257924551042 , std 0.10135338262717647 
2023-05-09 06:05:33,481 INFO used_ofi_7_2: 0.006423004298742517 , std 0.07988585177940367 
2023-05-09 06:05:33,481 INFO used_ofi_8_2: 0.0037764653890964605 , std 0.06133680541291189 
2023-05-09 06:05:33,481 INFO used_ofi_9_2: 0.00247579446386244 , std 0.04969572321271871 
2023-05-09 06:05:33,481 INFO used_ofi_10_2: 0.0023000281226146 , std 0.04790342360677137 
2023-05-09 06:05:33,481 INFO used_ofi_1_3: 0.009631995500381664 , std 0.09766893141148975 
2023-05-09 06:05:33,481 INFO used_ofi_2_3: 0.009426097786348479 , std 0.0966294285757226 
