2023-05-09 07:03:30,820 INFO Starting...
2023-05-09 07:03:30,820 INFO Tickers: ['USB']
2023-05-09 07:04:50,375 INFO used_ofi_8_10: 0.0017375758306215098 , std 0.04164800908632188 
2023-05-09 07:04:50,375 INFO used_ofi_9_10: 0.0015216343256598771 , std 0.03897844217819448 
2023-05-09 07:04:50,375 INFO used_ofi_10_10: 0.0009993571973805793 , std 0.03159681127222529 
2023-05-09 07:04:50,375 INFO used_ofi_1_20: 0.13532501707444458 , std 0.34207039747432966 
2023-05-09 07:04:50,375 INFO used_ofi_2_20: 0.053272267084488366 , std 0.22457589506482503 
2023-05-09 07:04:50,375 INFO used_ofi_3_20: 0.040064682013579205 , std 0.19611094632561943 
2023-05-09 07:04:50,375 INFO used_ofi_4_20: 0.03387268490619099 , std 0.18090142653787142 
2023-05-09 07:04:50,375 INFO used_ofi_5_20: 0.016833393596078904 , std 0.12864692167369723 
2023-05-09 07:04:50,375 INFO used_ofi_6_20: 0.011550359567715239 , std 0.10685012288982979 
2023-05-09 07:04:50,375 INFO used_ofi_7_20: 0.003490217347635692 , std 0.05897487372179746 
2023-05-09 07:04:50,375 INFO used_ofi_8_20: 0.0021343055722952073 , std 0.046149217891739806 
2023-05-09 07:04:50,375 INFO used_ofi_9_20: 0.00178779478526375 , std 0.04224450940737191 
2023-05-09 07:04:50,375 INFO used_ofi_10_20: 0.001782772889799526 , std 0.04218524162100914 
2023-05-09 07:04:50,375 INFO used_ofi_1_30: 0.15653750351532683 , std 0.36336416101277225 
2023-05-09 07:04:50,375 INFO used_ofi_2_30: 0.06562110803101523 , std 0.24761861442911973 
2023-05-09 07:04:50,375 INFO used_ofi_3_30: 0.048476356916154435 , std 0.21477057465186436 
2023-05-09 07:04:50,375 INFO used_ofi_4_30: 0.039487164035193444 , std 0.19475093815345582 
2023-05-09 07:04:50,375 INFO used_ofi_5_30: 0.020675143626210278 , std 0.14229435007141306 
2023-05-09 07:04:50,375 INFO used_ofi_6_30: 0.014563496846249649 , std 0.11979733471934557 
2023-05-09 07:04:50,375 INFO used_ofi_7_30: 0.004499618335944719 , std 0.06692810897355124 
2023-05-09 07:04:50,375 INFO used_ofi_8_30: 0.0028725242055361376 , std 0.053518901429539315 
2023-05-09 07:04:50,375 INFO used_ofi_9_30: 0.0023251375999357197 , std 0.048163589308492 
2023-05-09 07:04:50,375 INFO used_ofi_10_30: 0.0016070065485516854 , std 0.04005526280658508 
2023-05-09 07:04:51,018 INFO Grouping by horizont:
2023-05-09 07:04:51,019 INFO 1: 0.06258788317062393
2023-05-09 07:04:51,019 INFO 2: 0.08032521795026315
2023-05-09 07:04:51,019 INFO 3: 0.10786529267606768
2023-05-09 07:04:51,019 INFO 5: 0.15798883130448754
2023-05-09 07:04:51,019 INFO 10: 0.23633040054638224
2023-05-09 07:04:51,019 INFO 20: 0.30011349483749145
2023-05-09 07:04:51,019 INFO 30: 0.3566650596601181
2023-05-09 07:04:51,019 INFO Grouping by level:
2023-05-09 07:04:51,019 INFO 1: 0.5964555461813507
2023-05-09 07:04:51,019 INFO 2: 0.2264071351090756
2023-05-09 07:04:51,019 INFO 3: 0.16771122092322527
2023-05-09 07:04:51,019 INFO 4: 0.1404724599252742
2023-05-09 07:04:51,019 INFO 5: 0.07496685548993612
2023-05-09 07:04:51,019 INFO 6: 0.04994275039170785
2023-05-09 07:04:51,019 INFO 7: 0.0177524004660319
2023-05-09 07:04:51,019 INFO 8: 0.011244023944397573
2023-05-09 07:04:51,019 INFO 9: 0.009491382427383392
2023-05-09 07:04:51,019 INFO 10: 0.007432405287051544
2023-05-09 07:04:51,019 INFO Grouping by level and horizont:
2023-05-09 07:04:51,019 INFO 1_1: 0.029654292716242817
2023-05-09 07:04:51,019 INFO 2_1: 0.008592463139287293
2023-05-09 07:04:51,019 INFO 3_1: 0.007502711823550681
2023-05-09 07:04:51,019 INFO 4_1: 0.006513398417098549
2023-05-09 07:04:51,019 INFO 5_1: 0.003997428789522317
2023-05-09 07:04:51,019 INFO 6_1: 0.0028172833554296734
