2023-05-09 07:31:38,741 INFO Starting...
2023-05-09 07:31:38,741 INFO Tickers: ['SPGI']
2023-05-09 07:32:54,408 INFO used_ofi_7_30: 0.018023582821099997 , std 0.13303658625878428 
2023-05-09 07:32:54,408 INFO used_ofi_8_30: 0.013925716122293198 , std 0.11718272292780406 
2023-05-09 07:32:54,408 INFO used_ofi_9_30: 0.011595556626893254 , std 0.10705652569276553 
2023-05-09 07:32:54,408 INFO used_ofi_10_30: 0.014935117110602227 , std 0.12129327841020217 
2023-05-09 07:32:55,029 INFO Grouping by horizont:
2023-05-09 07:32:55,029 INFO 1: 0.07288276887228315
2023-05-09 07:32:55,029 INFO 2: 0.09264392752400466
2023-05-09 07:32:55,029 INFO 3: 0.12061086336426818
2023-05-09 07:32:55,029 INFO 5: 0.16969989152705797
2023-05-09 07:32:55,029 INFO 10: 0.24988951829978706
2023-05-09 07:32:55,029 INFO 20: 0.3130298099714756
2023-05-09 07:32:55,030 INFO 30: 0.3630428668996827
2023-05-09 07:32:55,030 INFO Grouping by level:
2023-05-09 07:32:55,030 INFO 1: 0.3824474709734442
2023-05-09 07:32:55,030 INFO 2: 0.23139387730505
2023-05-09 07:32:55,030 INFO 3: 0.16662146960748864
2023-05-09 07:32:55,030 INFO 4: 0.1433550279217388
2023-05-09 07:32:55,030 INFO 5: 0.11568438391386446
2023-05-09 07:32:55,030 INFO 6: 0.08954541802257844
2023-05-09 07:32:55,030 INFO 7: 0.0654905387489454
2023-05-09 07:32:55,030 INFO 8: 0.054266602386404725
2023-05-09 07:32:55,030 INFO 9: 0.05598911253063356
2023-05-09 07:32:55,030 INFO 10: 0.07700574504841107
2023-05-09 07:32:55,030 INFO Grouping by level and horizont:
2023-05-09 07:32:55,030 INFO 1_1: 0.01798842955285043
2023-05-09 07:32:55,030 INFO 2_1: 0.011354505644610501
2023-05-09 07:32:55,030 INFO 3_1: 0.007954682415330842
2023-05-09 07:32:55,030 INFO 4_1: 0.006317544493993813
2023-05-09 07:32:55,030 INFO 5_1: 0.004595034349764975
2023-05-09 07:32:55,030 INFO 6_1: 0.004464465067695151
2023-05-09 07:32:55,030 INFO 7_1: 0.003615764734241292
2023-05-09 07:32:55,030 INFO 8_1: 0.0039823631031296455
2023-05-09 07:32:55,030 INFO 9_1: 0.005011851673295569
2023-05-09 07:32:55,030 INFO 10_1: 0.007598127837370937
2023-05-09 07:32:55,030 INFO 1_2: 0.02508938973926319
2023-05-09 07:32:55,030 INFO 2_2: 0.01504057691535093
2023-05-09 07:32:55,030 INFO 3_2: 0.010008637660198466
2023-05-09 07:32:55,030 INFO 4_2: 0.008050098429151099
2023-05-09 07:32:55,030 INFO 5_2: 0.006513398417098549
2023-05-09 07:32:55,030 INFO 6_2: 0.005619501024466675
2023-05-09 07:32:55,030 INFO 7_2: 0.005087180105258929
2023-05-09 07:32:55,030 INFO 8_2: 0.004042625848700333
2023-05-09 07:32:55,030 INFO 9_2: 0.005262946446506769
2023-05-09 07:32:55,030 INFO 10_2: 0.007929572938009723
2023-05-09 07:32:55,030 INFO 1_3: 0.03209995580731991
2023-05-09 07:32:55,030 INFO 2_3: 0.020398939375677955
2023-05-09 07:32:55,030 INFO 3_3: 0.01409143867261259
2023-05-09 07:32:55,030 INFO 4_3: 0.011701016431641958
2023-05-09 07:32:55,030 INFO 5_3: 0.009265397131493311
2023-05-09 07:32:55,030 INFO 6_3: 0.00773874091036921
2023-05-09 07:32:55,030 INFO 7_3: 0.005443734683218834
2023-05-09 07:32:55,030 INFO 8_3: 0.005237836969185649
2023-05-09 07:32:55,030 INFO 9_3: 0.006031296452533044
2023-05-09 07:32:55,030 INFO 10_3: 0.00860250693021574
2023-05-09 07:32:55,030 INFO 1_5: 0.04683419709935318
2023-05-09 07:32:55,030 INFO 2_5: 0.028383753163794143
2023-05-09 07:32:55,031 INFO 3_5: 0.021046763890562856
2023-05-09 07:32:55,031 INFO 4_5: 0.017345626933429753
2023-05-09 07:32:55,031 INFO 5_5: 0.013920694226828975
2023-05-09 07:32:55,031 INFO 6_5: 0.009370856936242015
2023-05-09 07:32:55,031 INFO 7_5: 0.007487646137158009
2023-05-09 07:32:55,031 INFO 8_5: 0.006528464103491222
2023-05-09 07:32:55,031 INFO 9_5: 0.007643324896548953
2023-05-09 07:32:55,031 INFO 10_5: 0.011138564139648869
2023-05-09 07:32:55,031 INFO 1_10: 0.07195371821140172
2023-05-09 07:32:55,031 INFO 2_10: 0.041626491502952875
2023-05-09 07:32:55,031 INFO 3_10: 0.029498613956851875
2023-05-09 07:32:55,031 INFO 4_10: 0.025747258045076535
2023-05-09 07:32:55,031 INFO 5_10: 0.0201779759752521
2023-05-09 07:32:55,031 INFO 6_10: 0.016532079868225462
2023-05-09 07:32:55,031 INFO 7_10: 0.01228857820095617
2023-05-09 07:32:55,031 INFO 8_10: 0.009692258245952353
2023-05-09 07:32:55,031 INFO 9_10: 0.009305572295207103
2023-05-09 07:32:55,031 INFO 10_10: 0.013066971997910891
2023-05-09 07:32:55,031 INFO 1_20: 0.08681350689004058
2023-05-09 07:32:55,031 INFO 2_20: 0.054588003696115064
2023-05-09 07:32:55,031 INFO 3_20: 0.03874894540195251
2023-05-09 07:32:55,031 INFO 4_20: 0.03455566268932546
2023-05-09 07:32:55,031 INFO 5_20: 0.028032220481298463
2023-05-09 07:32:55,031 INFO 6_20: 0.02101663251777751
2023-05-09 07:32:55,031 INFO 7_20: 0.013544052067012173
2023-05-09 07:32:55,031 INFO 8_20: 0.010857337993652324
2023-05-09 07:32:55,031 INFO 9_20: 0.011138564139648869
2023-05-09 07:32:55,031 INFO 10_20: 0.013734884094652686
2023-05-09 07:32:55,031 INFO 1_30: 0.10166827367321522
2023-05-09 07:32:55,031 INFO 2_30: 0.06000160700654855
2023-05-09 07:32:55,031 INFO 3_30: 0.04527238760997951
2023-05-09 07:32:55,031 INFO 4_30: 0.039637820899120164
2023-05-09 07:32:55,031 INFO 5_30: 0.03317966333212808
2023-05-09 07:32:55,031 INFO 6_30: 0.024803141697802417
2023-05-09 07:32:55,031 INFO 7_30: 0.018023582821099997
2023-05-09 07:32:55,031 INFO 8_30: 0.013925716122293198
2023-05-09 07:32:55,031 INFO 9_30: 0.011595556626893254
2023-05-09 07:32:55,031 INFO 10_30: 0.014935117110602227
2023-05-09 07:32:55,039 INFO Non empty regressions: 0.4489825639789482 --- 89405 / 199128
