2023-05-09 06:19:26,824 INFO Starting...
2023-05-09 06:19:26,824 INFO Tickers: ['ABT']
2023-05-09 06:20:41,569 INFO used_ofi_9_20: 0.002164436945080551 , std 0.04647313372036925 
2023-05-09 06:20:41,569 INFO used_ofi_10_20: 0.001536700012052549 , std 0.03917063396379367 
2023-05-09 06:20:41,569 INFO used_ofi_1_30: 0.07812060584146881 , std 0.2683612803375902 
2023-05-09 06:20:41,569 INFO used_ofi_2_30: 0.05563757984813788 , std 0.22922050422416398 
2023-05-09 06:20:41,569 INFO used_ofi_3_30: 0.08311236993290748 , std 0.2760519949158909 
2023-05-09 06:20:41,569 INFO used_ofi_4_30: 0.08007914507251616 , std 0.2714156878239927 
2023-05-09 06:20:41,569 INFO used_ofi_5_30: 0.04669860592181913 , std 0.21099252623440898 
2023-05-09 06:20:41,570 INFO used_ofi_6_30: 0.02072034068538829 , std 0.1424465098458707 
2023-05-09 06:20:41,570 INFO used_ofi_7_30: 0.009672170664095456 , std 0.09787042341146823 
2023-05-09 06:20:41,570 INFO used_ofi_8_30: 0.004122976176127917 , std 0.06407789980624365 
2023-05-09 06:20:41,570 INFO used_ofi_9_30: 0.0028022176690370012 , std 0.052861755978895926 
2023-05-09 06:20:41,570 INFO used_ofi_10_30: 0.0019032983809409024 , std 0.04358527086314836 
2023-05-09 06:20:42,192 INFO Grouping by horizont:
2023-05-09 06:20:42,193 INFO 1: 0.05957976778755373
2023-05-09 06:20:42,193 INFO 2: 0.08091780161504158
2023-05-09 06:20:42,193 INFO 3: 0.11112952472781326
2023-05-09 06:20:42,193 INFO 5: 0.1652504921457555
2023-05-09 06:20:42,193 INFO 10: 0.2487344823430156
2023-05-09 06:20:42,193 INFO 20: 0.3230685790044595
2023-05-09 06:20:42,193 INFO 30: 0.382869310192439
2023-05-09 06:20:42,193 INFO Grouping by level:
2023-05-09 06:20:42,193 INFO 1: 0.29210357157205413
2023-05-09 06:20:42,193 INFO 2: 0.19401590936483068
2023-05-09 06:20:42,193 INFO 3: 0.28859828853802577
2023-05-09 06:20:42,193 INFO 4: 0.29230946928608736
2023-05-09 06:20:42,193 INFO 5: 0.16522036077297014
2023-05-09 06:20:42,193 INFO 6: 0.07420854927483829
2023-05-09 06:20:42,193 INFO 7: 0.03175846691575268
2023-05-09 06:20:42,193 INFO 8: 0.014940139006066448
2023-05-09 06:20:42,193 INFO 9: 0.01027982001526656
2023-05-09 06:20:42,193 INFO 10: 0.00811538307018601
2023-05-09 06:20:42,193 INFO Grouping by level and horizont:
2023-05-09 06:20:42,193 INFO 1_1: 0.014734241292033264
