2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,156 INFO used_ofi_6_2: 0.009898155959985538 , std 0.09899587096731528 
2023-05-09 06:51:52,156 INFO used_ofi_7_2: 0.006593748744526134 , std 0.08093374587908429 
2023-05-09 06:51:52,156 INFO used_ofi_8_2: 0.004810975854726608 , std 0.0691941497964376 
2023-05-09 06:51:52,156 INFO used_ofi_9_2: 0.0036810493752762042 , std 0.06055988152872314 
2023-05-09 06:51:52,156 INFO used_ofi_10_2: 0.0032792977381382827 , std 0.0571711810660137 
2023-05-09 06:51:52,157 INFO used_ofi_1_3: 0.01681330601422201 , std 0.12857145388885563 
2023-05-09 06:51:52,157 INFO used_ofi_2_3: 0.014171789000040175 , std 0.11819877070671468 
2023-05-09 06:51:52,157 INFO used_ofi_3_3: 0.017536458961070266 , std 0.13125902471135828 
2023-05-09 06:51:52,157 INFO used_ofi_4_3: 0.017757422361496123 , std 0.1320685288498799 
2023-05-09 06:51:52,157 INFO used_ofi_5_3: 0.015110883451850066 , std 0.12199403531793951 
2023-05-09 06:51:52,157 INFO used_ofi_6_3: 0.013147322325338476 , std 0.11390553209134371 
2023-05-09 06:51:52,157 INFO used_ofi_7_3: 0.008959061508175646 , std 0.0942273671767835 
2023-05-09 06:51:52,157 INFO used_ofi_8_3: 0.006021252661604596 , std 0.07736276351055277 
2023-05-09 06:51:52,157 INFO used_ofi_9_3: 0.004173195130770158 , std 0.06446533621389618 
2023-05-09 06:51:52,157 INFO used_ofi_10_3: 0.004228435980876622 , std 0.06488879957305611 
2023-05-09 06:51:52,157 INFO used_ofi_1_5: 0.02240267566590334 , std 0.1479891745666273 
2023-05-09 06:51:52,157 INFO used_ofi_2_5: 0.02133803382748785 , std 0.14450855386400083 
2023-05-09 06:51:52,157 INFO used_ofi_3_5: 0.026560805110280826 , std 0.16079592265407264 
2023-05-09 06:51:52,157 INFO used_ofi_4_5: 0.027339198907235546 , std 0.16306982280712196 
2023-05-09 06:51:52,157 INFO used_ofi_5_5: 0.02501406130729983 , std 0.15616772407963966 
2023-05-09 06:51:52,157 INFO used_ofi_6_5: 0.01871660439516291 , std 0.1355222974830263 
2023-05-09 06:51:52,157 INFO used_ofi_7_5: 0.012494475914989353 , std 0.11107818861774398 
2023-05-09 06:51:52,157 INFO used_ofi_8_5: 0.007758828492226106 , std 0.08774183194266191 
2023-05-09 06:51:52,157 INFO used_ofi_9_5: 0.005755092202000723 , std 0.07564371167352375 
2023-05-09 06:51:52,157 INFO used_ofi_10_5: 0.005182596119079185 , std 0.07180345964189812 
