2023-05-09 07:06:56,640 INFO Starting...
2023-05-09 07:06:56,640 INFO Tickers: ['FIS']
2023-05-09 07:08:12,952 INFO 2_1: 0.009713467768262977
2023-05-09 07:08:12,952 INFO 3_1: 0.008909871675748977
2023-05-09 07:08:12,952 INFO 4_1: 0.008101253107656765
2023-05-09 07:08:12,952 INFO 5_1: 0.007232364832626001
2023-05-09 07:08:12,952 INFO 6_1: 0.006062128022902489
2023-05-09 07:08:12,952 INFO 7_1: 0.004680947238894051
2023-05-09 07:08:12,952 INFO 8_1: 0.0036061374651565757
2023-05-09 07:08:12,952 INFO 9_1: 0.004600587629642651
2023-05-09 07:08:12,952 INFO 10_1: 0.006489038447050551
2023-05-09 07:08:12,952 INFO 1_2: 0.019246126415710305
2023-05-09 07:08:12,952 INFO 2_2: 0.013138796112603903
2023-05-09 07:08:12,952 INFO 3_2: 0.011697345621656915
2023-05-09 07:08:12,952 INFO 4_2: 0.011215187966148515
2023-05-09 07:08:12,952 INFO 5_2: 0.009567815976494814
2023-05-09 07:08:12,952 INFO 6_2: 0.007840084377589714
2023-05-09 07:08:12,952 INFO 7_2: 0.005730644634740463
2023-05-09 07:08:12,952 INFO 8_2: 0.004685969714472263
2023-05-09 07:08:12,952 INFO 9_2: 0.005077722809572838
2023-05-09 07:08:12,952 INFO 10_2: 0.007096757992014264
2023-05-09 07:08:12,952 INFO 1_3: 0.025303231963034578
2023-05-09 07:08:12,952 INFO 2_3: 0.018000552472313604
2023-05-09 07:08:12,953 INFO 3_3: 0.016694708821978353
2023-05-09 07:08:12,953 INFO 4_3: 0.015268325757766004
2023-05-09 07:08:12,953 INFO 5_3: 0.013224178197433515
2023-05-09 07:08:12,953 INFO 6_3: 0.010130333241254614
2023-05-09 07:08:12,953 INFO 7_3: 0.0072876120639863385
2023-05-09 07:08:12,953 INFO 8_3: 0.0060922628763717636
2023-05-09 07:08:12,953 INFO 9_3: 0.005836116621882926
2023-05-09 07:08:12,953 INFO 10_3: 0.007950578840310389
2023-05-09 07:08:12,953 INFO 1_5: 0.035800205921498705
2023-05-09 07:08:12,953 INFO 2_5: 0.02518269254915748
2023-05-09 07:08:12,953 INFO 3_5: 0.024665377564601593
2023-05-09 07:08:12,953 INFO 4_5: 0.02350016323045629
2023-05-09 07:08:12,953 INFO 5_5: 0.01978353130257904
2023-05-09 07:08:12,953 INFO 6_5: 0.01472087591974084
2023-05-09 07:08:12,953 INFO 7_5: 0.008869691871123277
2023-05-09 07:08:12,953 INFO 8_5: 0.00801587102282715
2023-05-09 07:08:12,953 INFO 9_5: 0.00809120815650034
2023-05-09 07:08:12,953 INFO 10_5: 0.010542176238668039
2023-05-09 07:08:12,953 INFO 1_10: 0.051937419954295475
2023-05-09 07:08:12,953 INFO 2_10: 0.03688506064639261
2023-05-09 07:08:12,953 INFO 3_10: 0.03673438637904623
2023-05-09 07:08:12,953 INFO 4_10: 0.035694733934356244
2023-05-09 07:08:12,953 INFO 5_10: 0.028100750860098944
2023-05-09 07:08:12,953 INFO 6_10: 0.01966299188870194
2023-05-09 07:08:12,953 INFO 7_10: 0.013259335526481002
2023-05-09 07:08:12,953 INFO 8_10: 0.010195625423771377
2023-05-09 07:08:12,953 INFO 9_10: 0.009572838452073027
2023-05-09 07:08:12,953 INFO 10_10: 0.012259862886416714
2023-05-09 07:08:12,953 INFO 1_20: 0.06648250922879888
2023-05-09 07:08:12,953 INFO 2_20: 0.0478893046382562
2023-05-09 07:08:12,953 INFO 3_20: 0.050606463926069156
2023-05-09 07:08:12,953 INFO 4_20: 0.04962205871273951
2023-05-09 07:08:12,953 INFO 5_20: 0.03885387107305191
2023-05-09 07:08:12,953 INFO 6_20: 0.026799929685341905
2023-05-09 07:08:12,953 INFO 7_20: 0.017126641721704628
2023-05-09 07:08:12,953 INFO 8_20: 0.012937897089475403
2023-05-09 07:08:12,953 INFO 9_20: 0.011817885035534015
2023-05-09 07:08:12,953 INFO 10_20: 0.014826347906883303
2023-05-09 07:08:12,953 INFO 1_30: 0.0769393033826373
2023-05-09 07:08:12,953 INFO 2_30: 0.051555711810351325
2023-05-09 07:08:12,953 INFO 3_30: 0.0553627482986364
2023-05-09 07:08:12,953 INFO 4_30: 0.05857211019311419
2023-05-09 07:08:12,953 INFO 5_30: 0.048085181185806486
2023-05-09 07:08:12,953 INFO 6_30: 0.03272142839205444
2023-05-09 07:08:12,953 INFO 7_30: 0.019517340096933778
2023-05-09 07:08:12,953 INFO 8_30: 0.014761055724366541
2023-05-09 07:08:12,953 INFO 9_30: 0.013962482107430752
2023-05-09 07:08:12,953 INFO 10_30: 0.01652896712789734
2023-05-09 07:08:12,962 INFO Non empty regressions: 0.46421737274302505 --- 92428 / 199105
