2023-05-09 07:13:31,678 INFO Starting...
2023-05-09 07:13:31,678 INFO Tickers: ['CHTR']
2023-05-09 07:14:50,030 INFO used_ofi_2_2: 0.012630511096268098 , std 0.11167354783347377 
2023-05-09 07:14:50,030 INFO used_ofi_3_2: 0.007824388186077813 , std 0.08810883687571514 
2023-05-09 07:14:50,030 INFO used_ofi_4_2: 0.006267545864072599 , std 0.07891934954695422 
2023-05-09 07:14:50,030 INFO used_ofi_5_2: 0.0052982859668241926 , std 0.07259624048556473 
2023-05-09 07:14:50,030 INFO used_ofi_6_2: 0.004359158501614596 , std 0.06587986216418791 
2023-05-09 07:14:50,030 INFO used_ofi_7_2: 0.00306848599595221 , std 0.055308863572169485 
2023-05-09 07:14:50,030 INFO used_ofi_8_2: 0.0027269850995123566 , std 0.05214929195856253 
2023-05-09 07:14:50,030 INFO used_ofi_9_2: 0.0025361463632665566 , std 0.05029626551634471 
2023-05-09 07:14:50,030 INFO used_ofi_10_2: 0.00306848599595221 , std 0.055308863572169485 
2023-05-09 07:14:50,030 INFO used_ofi_1_3: 0.04362673952019124 , std 0.2042631810166204 
2023-05-09 07:14:50,030 INFO used_ofi_2_3: 0.017813289406943517 , std 0.1322723558701817 
2023-05-09 07:14:50,030 INFO used_ofi_3_3: 0.010777366525881248 , std 0.10325315925746806 
2023-05-09 07:14:50,030 INFO used_ofi_4_3: 0.00927074492394072 , std 0.09583735290843517 
2023-05-09 07:14:50,030 INFO used_ofi_5_3: 0.007086143601126953 , std 0.08388045165586056 
2023-05-09 07:14:50,030 INFO used_ofi_6_3: 0.005695029655335198 , std 0.07525022453494773 
2023-05-09 07:14:50,030 INFO used_ofi_7_3: 0.004514842733815118 , std 0.06704072589780061 
2023-05-09 07:14:50,030 INFO used_ofi_8_3: 0.0038268188689289427 , std 0.061742807891068174 
2023-05-09 07:14:50,030 INFO used_ofi_9_3: 0.003234214372165668 , std 0.056778114001440234 
2023-05-09 07:14:50,030 INFO used_ofi_10_3: 0.0034150089643985317 , std 0.05833820941862726 
2023-05-09 07:14:50,030 INFO used_ofi_1_5: 0.07072081799508842 , std 0.25635792146371056 
2023-05-09 07:14:50,030 INFO used_ofi_2_5: 0.02758121945952461 , std 0.16376964246358403 
2023-05-09 07:14:50,030 INFO used_ofi_3_5: 0.017085088966005593 , std 0.1295885361481843 
2023-05-09 07:14:50,030 INFO used_ofi_4_5: 0.013629903425555315 , std 0.11594882128838288 
2023-05-09 07:14:50,030 INFO used_ofi_5_5: 0.010998337694165859 , std 0.10429465116740626 
2023-05-09 07:14:50,030 INFO used_ofi_6_5: 0.008673118355170976 , std 0.09272483687323571 
2023-05-09 07:14:50,030 INFO used_ofi_7_5: 0.00667935576860301 , std 0.08145392547397232 
2023-05-09 07:14:50,030 INFO used_ofi_8_5: 0.005137579662617202 , std 0.07149255162481938 
2023-05-09 07:14:50,030 INFO used_ofi_9_5: 0.004082944541258833 , std 0.06376734356339331 
2023-05-09 07:14:50,031 INFO used_ofi_10_5: 0.005514235063102335 , std 0.07405287485824696 
2023-05-09 07:14:50,031 INFO used_ofi_1_10: 0.10060716850558203 , std 0.3008078558662846 
2023-05-09 07:14:50,031 INFO used_ofi_2_10: 0.03749981167229976 , std 0.18998309345002728 
2023-05-09 07:14:50,031 INFO used_ofi_3_10: 0.023915106894802658 , std 0.1527847327353516 
2023-05-09 07:14:50,031 INFO used_ofi_4_10: 0.01978194163347914 , std 0.1392501936037748 
2023-05-09 07:14:50,031 INFO used_ofi_5_10: 0.015734151596265587 , std 0.12444512071516234 
2023-05-09 07:14:50,031 INFO used_ofi_6_10: 0.012068039031543635 , std 0.10918974981872967 
2023-05-09 07:14:50,031 INFO used_ofi_7_10: 0.008904133667468525 , std 0.09394067314587634 
2023-05-09 07:14:50,031 INFO used_ofi_8_10: 0.0068902827928746845 , std 0.08272125963686057 
2023-05-09 07:14:50,031 INFO used_ofi_9_10: 0.00546401434303765 , std 0.07371674769207286 
2023-05-09 07:14:50,031 INFO used_ofi_10_10: 0.005956177399671556 , std 0.07694609379595041 
2023-05-09 07:14:50,031 INFO used_ofi_1_20: 0.12804776994892553 , std 0.33414299118795326 
2023-05-09 07:14:50,031 INFO used_ofi_2_20: 0.047935677301741156 , std 0.213630166744691 
2023-05-09 07:14:50,031 INFO used_ofi_3_20: 0.029323878445769155 , std 0.1687127398825202 
2023-05-09 07:14:50,031 INFO used_ofi_4_20: 0.025617589304995456 , std 0.15799154541682295 
2023-05-09 07:14:50,031 INFO used_ofi_5_20: 0.02189623394820235 , std 0.14634476036772867 
2023-05-09 07:14:50,031 INFO used_ofi_6_20: 0.016387020957106483 , std 0.12695860152529181 
2023-05-09 07:14:50,031 INFO used_ofi_7_20: 0.01118917643041166 , std 0.10518544937975392 
2023-05-09 07:14:50,031 INFO used_ofi_8_20: 0.009446517444167114 , std 0.09673303857702474 
2023-05-09 07:14:50,031 INFO used_ofi_9_20: 0.008522456194976923 , std 0.09192292388398893 
2023-05-09 07:14:50,031 INFO used_ofi_10_20: 0.00894933231552674 , std 0.0941766519187904 
2023-05-09 07:14:50,031 INFO used_ofi_1_30: 0.14644361970861938 , std 0.35355040086988543 
2023-05-09 07:14:50,031 INFO used_ofi_2_30: 0.05589063935998714 , std 0.22971041724727895 
