2023-05-09 05:57:39,788 INFO Starting...
2023-05-09 05:57:39,788 INFO Tickers: ['MA']
2023-05-09 05:58:58,657 INFO used_ofi_8_5: 0.013980956972399662 , std 0.11741162555103125 
2023-05-09 05:58:58,657 INFO used_ofi_9_5: 0.012117833755172553 , std 0.10941202795056197 
2023-05-09 05:58:58,657 INFO used_ofi_10_5: 0.012851030492949259 , std 0.11263161859894648 
2023-05-09 05:58:58,657 INFO used_ofi_1_10: 0.03214013097103371 , std 0.1763721717057385 
2023-05-09 05:58:58,657 INFO used_ofi_2_10: 0.023437186131533488 , std 0.1512874232636981 
2023-05-09 05:58:58,657 INFO used_ofi_3_10: 0.027364308384556668 , std 0.16314258491022984 
2023-05-09 05:58:58,657 INFO used_ofi_4_10: 0.03163794142461131 , std 0.17503423118642872 
2023-05-09 05:58:58,657 INFO used_ofi_5_10: 0.034540597002932785 , std 0.18261309964406655 
2023-05-09 05:58:58,657 INFO used_ofi_6_10: 0.033249969868627216 , std 0.1792886203091613 
2023-05-09 05:58:58,657 INFO used_ofi_7_10: 0.024873448234301553 , std 0.15573939709411064 
2023-05-09 05:58:58,657 INFO used_ofi_8_10: 0.020313567152786146 , std 0.14107064238286932 
2023-05-09 05:58:58,657 INFO used_ofi_9_10: 0.017385802097143545 , std 0.13070400140233854 
2023-05-09 05:58:58,657 INFO used_ofi_10_10: 0.01779257562974569 , std 0.13219682251175882 
2023-05-09 05:58:58,657 INFO used_ofi_1_20: 0.04192278333534209 , std 0.20041273306045215 
2023-05-09 05:58:58,657 INFO used_ofi_2_20: 0.03061849664537383 , std 0.17228175849041896 
2023-05-09 05:58:58,657 INFO used_ofi_3_20: 0.03589650877827327 , std 0.18603211936599717 
2023-05-09 05:58:58,657 INFO used_ofi_4_20: 0.043559921256679124 , std 0.20411382735324682 
2023-05-09 05:58:58,657 INFO used_ofi_5_20: 0.04656803663974931 , std 0.21071178088390852 
2023-05-09 05:58:58,657 INFO used_ofi_6_20: 0.04402695753485195 , std 0.2051550256393352 
2023-05-09 05:58:58,657 INFO used_ofi_7_20: 0.03384255353340565 , std 0.1808237680830267 
2023-05-09 05:58:58,657 INFO used_ofi_8_20: 0.025350528303402835 , std 0.15718740095230663 
2023-05-09 05:58:58,657 INFO used_ofi_9_20: 0.021237595918203366 , std 0.14417545019114206 
2023-05-09 05:58:58,657 INFO used_ofi_10_20: 0.02499397372544293 , std 0.15610661421879213 
2023-05-09 05:58:58,657 INFO used_ofi_1_30: 0.04771302880559238 , std 0.21315838169724663 
2023-05-09 05:58:58,657 INFO used_ofi_2_30: 0.03524366236792415 , std 0.1843950829898127 
2023-05-09 05:58:58,657 INFO used_ofi_3_30: 0.041721907516773134 , std 0.19995296934513113 
2023-05-09 05:58:58,657 INFO used_ofi_4_30: 0.05050018078823671 , std 0.21897468467517453 
2023-05-09 05:58:58,657 INFO used_ofi_5_30: 0.05432686513197541 , std 0.22666154693045656 
2023-05-09 05:58:58,657 INFO used_ofi_6_30: 0.05153971314933108 , std 0.2210958414756274 
2023-05-09 05:58:58,657 INFO used_ofi_7_30: 0.039241091157446464 , std 0.19416804042431765 
2023-05-09 05:58:58,657 INFO used_ofi_8_30: 0.029478526374994977 , std 0.16914355695016497 
2023-05-09 05:58:58,657 INFO used_ofi_9_30: 0.023889156723313647 , std 0.15270384708435678 
2023-05-09 05:58:58,657 INFO used_ofi_10_30: 0.027735928648909246 , std 0.1642152456713196 
2023-05-09 05:58:59,274 INFO Grouping by horizont:
2023-05-09 05:58:59,274 INFO 1: 0.06448113776063638
2023-05-09 05:58:59,274 INFO 2: 0.08780784219195693
2023-05-09 05:58:59,274 INFO 3: 0.11799947772287173
2023-05-09 05:58:59,274 INFO 5: 0.1826764694066128
2023-05-09 05:58:59,274 INFO 10: 0.2627355268972721
2023-05-09 05:58:59,274 INFO 20: 0.34801735567072434
2023-05-09 05:58:59,274 INFO 30: 0.4013900606644972
2023-05-09 05:58:59,274 INFO Grouping by level:
2023-05-09 05:58:59,274 INFO 1: 0.17666023864047245
2023-05-09 05:58:59,274 INFO 2: 0.1300369611506167
2023-05-09 05:58:59,274 INFO 3: 0.14785464625768352
2023-05-09 05:58:59,274 INFO 4: 0.17738841348278495
2023-05-09 05:58:59,274 INFO 5: 0.19362922341408542
2023-05-09 05:58:59,274 INFO 6: 0.18834116749025753
2023-05-09 05:58:59,274 INFO 7: 0.14385219557269696
2023-05-09 05:58:59,274 INFO 8: 0.11048672210839258
2023-05-09 05:58:59,275 INFO 9: 0.09323148929331887
2023-05-09 05:58:59,275 INFO 10: 0.1036268129042626
2023-05-09 05:58:59,275 INFO Grouping by level and horizont:
2023-05-09 05:58:59,275 INFO 1_1: 0.007347033064159737
2023-05-09 05:58:59,275 INFO 2_1: 0.005509019324253747
2023-05-09 05:58:59,275 INFO 3_1: 0.006016230766140372
2023-05-09 05:58:59,275 INFO 4_1: 0.006895062472379575
2023-05-09 05:58:59,275 INFO 5_1: 0.007834156924189466
2023-05-09 05:58:59,275 INFO 6_1: 0.008903820658069182
2023-05-09 05:58:59,275 INFO 7_1: 0.007090916395484312
2023-05-09 05:58:59,275 INFO 8_1: 0.004931501345867984
2023-05-09 05:58:59,275 INFO 9_1: 0.00470049415451368
2023-05-09 05:58:59,275 INFO 10_1: 0.005252902655578321
2023-05-09 05:58:59,275 INFO 1_2: 0.010520870997549316
2023-05-09 05:58:59,275 INFO 2_2: 0.00840163111164678
2023-05-09 05:58:59,275 INFO 3_2: 0.007924551042545499
2023-05-09 05:58:59,275 INFO 4_2: 0.010194447792374753
2023-05-09 05:58:59,275 INFO 5_2: 0.011013016753043269
2023-05-09 05:58:59,275 INFO 6_2: 0.011188783094291109
2023-05-09 05:58:59,275 INFO 7_2: 0.008873689285283837
2023-05-09 05:58:59,275 INFO 8_2: 0.007286770318589048
2023-05-09 05:58:59,275 INFO 9_2: 0.005935880438712788
2023-05-09 05:58:59,275 INFO 10_2: 0.006468201357920533
2023-05-09 05:58:59,275 INFO 1_3: 0.0146790004419268
2023-05-09 05:58:59,275 INFO 2_3: 0.010480695833835523
2023-05-09 05:58:59,275 INFO 3_3: 0.011304286689968262
2023-05-09 05:58:59,275 INFO 4_3: 0.01322767265276606
2023-05-09 05:58:59,275 INFO 5_3: 0.015306737374954802
2023-05-09 05:58:59,275 INFO 6_3: 0.01530171547949058
2023-05-09 05:58:59,275 INFO 7_3: 0.012057571009601864
2023-05-09 05:58:59,275 INFO 8_3: 0.009144871640351935
2023-05-09 05:58:59,275 INFO 9_3: 0.007964726206259291
2023-05-09 05:58:59,275 INFO 10_3: 0.008532200393716605
2023-05-09 05:58:59,275 INFO 1_5: 0.022337391024868425
2023-05-09 05:58:59,275 INFO 2_5: 0.016346269736049173
2023-05-09 05:58:59,275 INFO 3_5: 0.0176268530794263
2023-05-09 05:58:59,275 INFO 4_5: 0.021373187095737416
2023-05-09 05:58:59,275 INFO 5_5: 0.024039813587240368
2023-05-09 05:58:59,275 INFO 6_5: 0.0241302077055964
2023-05-09 05:58:59,275 INFO 7_5: 0.017872925957173276
2023-05-09 05:58:59,275 INFO 8_5: 0.013980956972399662
2023-05-09 05:58:59,275 INFO 9_5: 0.012117833755172553
2023-05-09 05:58:59,275 INFO 10_5: 0.012851030492949259
2023-05-09 05:58:59,275 INFO 1_10: 0.03214013097103371
2023-05-09 05:58:59,275 INFO 2_10: 0.023437186131533488
2023-05-09 05:58:59,275 INFO 3_10: 0.027364308384556668
2023-05-09 05:58:59,275 INFO 4_10: 0.03163794142461131
2023-05-09 05:58:59,276 INFO 5_10: 0.034540597002932785
2023-05-09 05:58:59,276 INFO 6_10: 0.033249969868627216
2023-05-09 05:58:59,276 INFO 7_10: 0.024873448234301553
2023-05-09 05:58:59,276 INFO 8_10: 0.020313567152786146
2023-05-09 05:58:59,276 INFO 9_10: 0.017385802097143545
2023-05-09 05:58:59,276 INFO 10_10: 0.01779257562974569
2023-05-09 05:58:59,276 INFO 1_20: 0.04192278333534209
2023-05-09 05:58:59,276 INFO 2_20: 0.03061849664537383
2023-05-09 05:58:59,276 INFO 3_20: 0.03589650877827327
2023-05-09 05:58:59,276 INFO 4_20: 0.043559921256679124
2023-05-09 05:58:59,276 INFO 5_20: 0.04656803663974931
2023-05-09 05:58:59,276 INFO 6_20: 0.04402695753485195
2023-05-09 05:58:59,276 INFO 7_20: 0.03384255353340565
2023-05-09 05:58:59,276 INFO 8_20: 0.025350528303402835
2023-05-09 05:58:59,276 INFO 9_20: 0.021237595918203366
2023-05-09 05:58:59,276 INFO 10_20: 0.02499397372544293
2023-05-09 05:58:59,276 INFO 1_30: 0.04771302880559238
2023-05-09 05:58:59,276 INFO 2_30: 0.03524366236792415
2023-05-09 05:58:59,276 INFO 3_30: 0.041721907516773134
2023-05-09 05:58:59,276 INFO 4_30: 0.05050018078823671
2023-05-09 05:58:59,276 INFO 5_30: 0.05432686513197541
2023-05-09 05:58:59,276 INFO 6_30: 0.05153971314933108
2023-05-09 05:58:59,276 INFO 7_30: 0.039241091157446464
2023-05-09 05:58:59,276 INFO 8_30: 0.029478526374994977
2023-05-09 05:58:59,276 INFO 9_30: 0.023889156723313647
2023-05-09 05:58:59,276 INFO 10_30: 0.027735928648909246
2023-05-09 05:58:59,284 INFO Non empty regressions: 0.4812181109638022 --- 95824 / 199128
