2023-05-09 07:36:51,354 INFO Starting...
2023-05-09 07:36:51,354 INFO Tickers: ['SO']
2023-05-09 07:38:09,304 INFO used_ofi_10_30: 0.0029126993692499296 , std 0.05389077427198742 
2023-05-09 07:38:09,913 INFO Grouping by horizont:
2023-05-09 07:38:09,913 INFO 1: 0.07240568880318188
2023-05-09 07:38:09,913 INFO 2: 0.09209151902294001
2023-05-09 07:38:09,913 INFO 3: 0.11747217869912821
2023-05-09 07:38:09,913 INFO 5: 0.16901691374392352
2023-05-09 07:38:09,913 INFO 10: 0.24619340323811817
2023-05-09 07:38:09,913 INFO 20: 0.3102275923024387
2023-05-09 07:38:09,913 INFO 30: 0.36637238359246316
2023-05-09 07:38:09,913 INFO Grouping by level:
2023-05-09 07:38:09,914 INFO 1: 0.6064089429914428
2023-05-09 07:38:09,914 INFO 2: 0.2605309147884778
2023-05-09 07:38:09,914 INFO 3: 0.1868998834920252
2023-05-09 07:38:09,914 INFO 4: 0.12038487806837814
2023-05-09 07:38:09,914 INFO 5: 0.07524808163593266
2023-05-09 07:38:09,914 INFO 6: 0.051368968703547464
2023-05-09 07:38:09,914 INFO 7: 0.024270820778594673
2023-05-09 07:38:09,914 INFO 8: 0.017702181511389657
2023-05-09 07:38:09,914 INFO 9: 0.015542766461773333
2023-05-09 07:38:09,914 INFO 10: 0.015422240970631957
2023-05-09 07:38:09,914 INFO Grouping by level and horizont:
2023-05-09 07:38:09,914 INFO 1_1: 0.032160218552890606
2023-05-09 07:38:09,914 INFO 2_1: 0.011294242899039814
2023-05-09 07:38:09,914 INFO 3_1: 0.008291149411433852
2023-05-09 07:38:09,914 INFO 4_1: 0.006583704953597686
2023-05-09 07:38:09,914 INFO 5_1: 0.004976698405046001
2023-05-09 07:38:09,914 INFO 6_1: 0.002983005905749066
2023-05-09 07:38:09,914 INFO 7_1: 0.0019484954401189185
2023-05-09 07:38:09,914 INFO 8_1: 0.0015668313848378932
2023-05-09 07:38:09,914 INFO 9_1: 0.001170101643164196
2023-05-09 07:38:09,914 INFO 10_1: 0.0014312402073038447
2023-05-09 07:38:09,914 INFO 1_2: 0.04226929412237355
2023-05-09 07:38:09,914 INFO 2_2: 0.0145534530553212
2023-05-09 07:38:09,914 INFO 3_2: 0.010792053352617412
2023-05-09 07:38:09,914 INFO 4_2: 0.007693543851191194
2023-05-09 07:38:09,914 INFO 5_2: 0.006362741553171829
2023-05-09 07:38:09,914 INFO 6_2: 0.003389779438351211
2023-05-09 07:38:09,914 INFO 7_2: 0.0021795026314732234
2023-05-09 07:38:09,914 INFO 8_2: 0.0016923787714434935
2023-05-09 07:38:09,914 INFO 9_2: 0.0015718532803021172
2023-05-09 07:38:09,914 INFO 10_2: 0.0015869189666947892
2023-05-09 07:38:09,914 INFO 1_3: 0.05321200433891768
2023-05-09 07:38:09,914 INFO 2_3: 0.019690852115222368
2023-05-09 07:38:09,914 INFO 3_3: 0.014282270700253103
2023-05-09 07:38:09,914 INFO 4_3: 0.01006387851030493
2023-05-09 07:38:09,914 INFO 5_3: 0.007070828813627416
2023-05-09 07:38:09,914 INFO 6_3: 0.0050168735687597926
2023-05-09 07:38:09,914 INFO 7_3: 0.0025260134185046803
2023-05-09 07:38:09,914 INFO 8_3: 0.0017275320396930617
2023-05-09 07:38:09,914 INFO 9_3: 0.001827969948977542
2023-05-09 07:38:09,914 INFO 10_3: 0.002053955244867623
