2023-05-09 07:09:35,197 INFO Starting...
2023-05-09 07:09:35,197 INFO Tickers: ['UPS']
2023-05-09 07:10:52,524 INFO ofi_9_30: -4.252887582379396e-07 , std 8.324955607634212e-06 
2023-05-09 07:10:52,524 INFO ofi_10_30: -4.145162291435556e-07 , std 9.395658424259161e-06 
2023-05-09 07:10:52,524 INFO used_intercept: 0.9873598891165482 , std 0.11171543528226476 
2023-05-09 07:10:52,524 INFO used_ofi_1_1: 0.0055341288015748665 , std 0.07418559307562653 
2023-05-09 07:10:52,524 INFO used_ofi_2_1: 0.00553915069703909 , std 0.07421905757010515 
2023-05-09 07:10:52,524 INFO used_ofi_3_1: 0.00761319352376361 , std 0.08692084219641069 
2023-05-09 07:10:52,524 INFO used_ofi_4_1: 0.00975252099152304 , std 0.09827211876128929 
2023-05-09 07:10:52,524 INFO used_ofi_5_1: 0.010078944196697602 , std 0.099886731253843 
2023-05-09 07:10:52,524 INFO used_ofi_6_1: 0.00972741151420192 , std 0.09814677263891715 
2023-05-09 07:10:52,524 INFO used_ofi_7_1: 0.005940902334177012 , std 0.07684795386757401 
2023-05-09 07:10:52,524 INFO used_ofi_8_1: 0.004670362781728336 , std 0.06818027935712336 
2023-05-09 07:10:52,524 INFO used_ofi_9_1: 0.004067735326021453 , std 0.06364895015111319 
2023-05-09 07:10:52,524 INFO used_ofi_10_1: 0.0035605238841348277 , std 0.05956380237867066 
2023-05-09 07:10:52,524 INFO used_ofi_1_2: 0.008542244184645052 , std 0.0920286599323002 
2023-05-09 07:10:52,524 INFO used_ofi_2_2: 0.007447470973444217 , std 0.08597677680364577 
2023-05-09 07:10:52,524 INFO used_ofi_3_2: 0.009863002691735968 , std 0.09882167712419568 
2023-05-09 07:10:52,524 INFO used_ofi_4_2: 0.012333775260134185 , std 0.11037052708022502 
2023-05-09 07:10:52,524 INFO used_ofi_5_2: 0.013011731147804427 , std 0.11332442808301166 
2023-05-09 07:10:52,524 INFO used_ofi_6_2: 0.012434213169418666 , std 0.11081337244338395 
2023-05-09 07:10:52,524 INFO used_ofi_7_2: 0.008733076212285565 , std 0.09304197758085313 
2023-05-09 07:10:52,524 INFO used_ofi_8_2: 0.005795267365714515 , std 0.07590574577641931 
2023-05-09 07:10:52,524 INFO used_ofi_9_2: 0.004459443172230927 , std 0.06662999728969356 
2023-05-09 07:10:52,524 INFO used_ofi_10_2: 0.0049013699730826405 , std 0.0698380021583493 
2023-05-09 07:10:52,524 INFO used_ofi_1_3: 0.01115362982604154 , std 0.10502012363230762 
2023-05-09 07:10:52,524 INFO used_ofi_2_3: 0.010947732112008356 , std 0.10405709621939323 
2023-05-09 07:10:52,524 INFO used_ofi_3_3: 0.01399100076332811 , std 0.11745319348986924 
2023-05-09 07:10:52,524 INFO used_ofi_4_3: 0.019906793620184004 , std 0.13968003861664488 
2023-05-09 07:10:52,524 INFO used_ofi_5_3: 0.019103290345908158 , std 0.1368881099433698 
2023-05-09 07:10:52,524 INFO used_ofi_6_3: 0.015507613193523763 , std 0.1235602166013147 
2023-05-09 07:10:52,524 INFO used_ofi_7_3: 0.010681571652404484 , std 0.10279822799756341 
2023-05-09 07:10:52,524 INFO used_ofi_8_3: 0.00815053633843558 , std 0.08991165161329995 
2023-05-09 07:10:52,524 INFO used_ofi_9_3: 0.006292435016672693 , std 0.07907490296063376 
2023-05-09 07:10:52,524 INFO used_ofi_10_3: 0.006428026194206742 , std 0.0799168735215119 
2023-05-09 07:10:52,524 INFO used_ofi_1_5: 0.015884255353340565 , std 0.12502778005391618 
2023-05-09 07:10:52,524 INFO used_ofi_2_5: 0.016175525290265558 , std 0.12615021867539328 
2023-05-09 07:10:52,524 INFO used_ofi_3_5: 0.02160419428709172 , std 0.14538725211068992 
2023-05-09 07:10:52,524 INFO used_ofi_4_5: 0.028328512313687677 , std 0.16590963716367085 
2023-05-09 07:10:52,524 INFO used_ofi_5_5: 0.028288337149973888 , std 0.16579537729159785 
2023-05-09 07:10:52,524 INFO used_ofi_6_5: 0.023939375677955888 , std 0.15286033484885994 
