2023-05-09 06:15:48,714 INFO Starting...
2023-05-09 06:15:48,714 INFO Tickers: ['WMT']
2023-05-09 06:17:06,084 INFO used_ofi_5_10: 0.04520208107348037 , std 0.20774708888479496 
2023-05-09 06:17:06,084 INFO used_ofi_6_10: 0.02802719858583424 , std 0.1650505217358141 
2023-05-09 06:17:06,084 INFO used_ofi_7_10: 0.012378972319312202 , std 0.11057003827271611 
2023-05-09 06:17:06,084 INFO used_ofi_8_10: 0.004986742195974448 , std 0.07044057494260915 
2023-05-09 06:17:06,084 INFO used_ofi_9_10: 0.0033244947973162992 , std 0.057562509775538055 
2023-05-09 06:17:06,084 INFO used_ofi_10_10: 0.0029076774737857056 , std 0.053844432260858166 
2023-05-09 06:17:06,084 INFO used_ofi_1_20: 0.04719577357277731 , std 0.21205738027629328 
2023-05-09 06:17:06,084 INFO used_ofi_2_20: 0.03857317906070467 , std 0.19257541098970943 
2023-05-09 06:17:06,084 INFO used_ofi_3_20: 0.05531115664296332 , std 0.22858659758126873 
2023-05-09 06:17:06,084 INFO used_ofi_4_20: 0.0718683459885099 , std 0.2582697946593557 
2023-05-09 06:17:06,084 INFO used_ofi_5_20: 0.05752079064722189 , std 0.23283502591006439 
2023-05-09 06:17:06,084 INFO used_ofi_6_20: 0.038261821541922786 , std 0.19182766889637382 
2023-05-09 06:17:06,084 INFO used_ofi_7_20: 0.015608051102808244 , std 0.12395337770137758 
2023-05-09 06:17:06,084 INFO used_ofi_8_20: 0.006859909204130007 , std 0.08253999545578553 
2023-05-09 06:17:06,084 INFO used_ofi_9_20: 0.004308786308304206 , std 0.06549977609773622 
2023-05-09 06:17:06,084 INFO used_ofi_10_20: 0.0034500421839218994 , std 0.058635649504811156 
2023-05-09 06:17:06,084 INFO used_ofi_1_30: 0.054437346832188344 , std 0.22687865060877893 
2023-05-09 06:17:06,084 INFO used_ofi_2_30: 0.05072114418866257 , std 0.2194276867691392 
2023-05-09 06:17:06,084 INFO used_ofi_3_30: 0.06277871519826443 , std 0.24256452361448005 
2023-05-09 06:17:06,084 INFO used_ofi_4_30: 0.08409666144389538 , std 0.27753272415678515 
2023-05-09 06:17:06,084 INFO used_ofi_5_30: 0.06913141296050782 , std 0.2536774737784014 
2023-05-09 06:17:06,084 INFO used_ofi_6_30: 0.044373468321883415 , std 0.20592344118863745 
2023-05-09 06:17:06,084 INFO used_ofi_7_30: 0.019032983809409022 , std 0.13664087725391622 
2023-05-09 06:17:06,084 INFO used_ofi_8_30: 0.007487646137158009 , std 0.0862066197718175 
2023-05-09 06:17:06,085 INFO used_ofi_9_30: 0.005735004620143827 , std 0.0755123456273923 
2023-05-09 06:17:06,085 INFO used_ofi_10_30: 0.004474508858623599 , std 0.06674194804691946 
2023-05-09 06:17:06,716 INFO Grouping by horizont:
2023-05-09 06:17:06,716 INFO 1: 0.06362741553171829
2023-05-09 06:17:06,716 INFO 2: 0.08772246996906512
2023-05-09 06:17:06,716 INFO 3: 0.11562412116829375
2023-05-09 06:17:06,716 INFO 5: 0.1712868104937528
2023-05-09 06:17:06,716 INFO 10: 0.25734201116869554
2023-05-09 06:17:06,716 INFO 20: 0.3389578562532642
2023-05-09 06:17:06,717 INFO 30: 0.4022688923707365
2023-05-09 06:17:06,717 INFO Grouping by level:
2023-05-09 06:17:06,717 INFO 1: 0.2024326061628701
2023-05-09 06:17:06,717 INFO 2: 0.16220220159897153
2023-05-09 06:17:06,717 INFO 3: 0.22533747137519589
2023-05-09 06:17:06,717 INFO 4: 0.30138403438994016
2023-05-09 06:17:06,717 INFO 5: 0.24585693624201518
2023-05-09 06:17:06,717 INFO 6: 0.1616598368888353
2023-05-09 06:17:06,717 INFO 7: 0.06891044956008197
2023-05-09 06:17:06,717 INFO 8: 0.030141416576272548
2023-05-09 06:17:06,717 INFO 9: 0.021257683500060263
2023-05-09 06:17:06,717 INFO 10: 0.017646940661283195
2023-05-09 06:17:06,717 INFO Grouping by level and horizont:
2023-05-09 06:17:06,717 INFO 1_1: 0.010330038969908802
2023-05-09 06:17:06,717 INFO 2_1: 0.006257281748423125
2023-05-09 06:17:06,717 INFO 3_1: 0.008798360853320477
2023-05-09 06:17:06,717 INFO 4_1: 0.012233337350849706
2023-05-09 06:17:06,717 INFO 5_1: 0.010480695833835523
2023-05-09 06:17:06,717 INFO 6_1: 0.007517777509943353
2023-05-09 06:17:06,717 INFO 7_1: 0.0035052830340283636
2023-05-09 06:17:06,717 INFO 8_1: 0.0016873568759792697
2023-05-09 06:17:06,717 INFO 9_1: 0.0014011088345185006
2023-05-09 06:17:06,717 INFO 10_1: 0.0014161745209111728
2023-05-09 06:17:06,717 INFO 1_2: 0.013528986380619501
2023-05-09 06:17:06,717 INFO 2_2: 0.00865272588485798
2023-05-09 06:17:06,717 INFO 3_2: 0.012660198465308746
2023-05-09 06:17:06,717 INFO 4_2: 0.016547145554618135
2023-05-09 06:17:06,717 INFO 5_2: 0.015648226266522035
2023-05-09 06:17:06,717 INFO 6_2: 0.010641396488690691
2023-05-09 06:17:06,717 INFO 7_2: 0.004494596440480495
