2023-05-09 06:22:02,475 INFO Starting...
2023-05-09 06:22:02,475 INFO Tickers: ['BMY']
2023-05-09 06:23:19,483 INFO used_ofi_6_10: 0.010465630147442851 , std 0.1017649287970064 
2023-05-09 06:23:19,483 INFO used_ofi_7_10: 0.0050520268370093605 , std 0.07089784102388097 
2023-05-09 06:23:19,483 INFO used_ofi_8_10: 0.0031889036197822506 , std 0.05638026705759729 
2023-05-09 06:23:19,483 INFO used_ofi_9_10: 0.0026364951187176086 , std 0.051279079673942934 
2023-05-09 06:23:19,483 INFO used_ofi_10_10: 0.0021744807360089993 , std 0.046580600785495724 
2023-05-09 06:23:19,483 INFO used_ofi_1_20: 0.11440882246595155 , std 0.3183071532465237 
2023-05-09 06:23:19,483 INFO used_ofi_2_20: 0.05511028082439436 , std 0.2281953938445094 
2023-05-09 06:23:19,483 INFO used_ofi_3_20: 0.05288558113374312 , std 0.22380504114494248 
2023-05-09 06:23:19,483 INFO used_ofi_4_20: 0.03966795227190551 , std 0.19517788254425586 
2023-05-09 06:23:19,483 INFO used_ofi_5_20: 0.02372845606845848 , std 0.1522018936842302 
2023-05-09 06:23:19,483 INFO used_ofi_6_20: 0.014694066128319474 , std 0.12032518667733719 
2023-05-09 06:23:19,483 INFO used_ofi_7_20: 0.00671427423566751 , std 0.08166512570954484 
2023-05-09 06:23:19,483 INFO used_ofi_8_20: 0.0037814872845606845 , std 0.06137741961403551 
2023-05-09 06:23:19,483 INFO used_ofi_9_20: 0.003535414406813708 , std 0.05935415109144264 
2023-05-09 06:23:19,483 INFO used_ofi_10_20: 0.0032039693061749227 , std 0.05651286479077141 
2023-05-09 06:23:19,483 INFO used_ofi_1_30: 0.14050259129805953 , std 0.3475077166576161 
2023-05-09 06:23:19,483 INFO used_ofi_2_30: 0.06440078743320879 , std 0.24546552917098452 
2023-05-09 06:23:19,483 INFO used_ofi_3_30: 0.06009702302036881 , std 0.2376665118279352 
2023-05-09 06:23:19,483 INFO used_ofi_4_30: 0.04861696998915271 , std 0.21506594388286243 
