2023-05-09 07:04:51,033 INFO Starting...
2023-05-09 07:04:51,033 INFO Tickers: ['BKNG']
2023-05-09 07:05:34,750 INFO used_ofi_4_2: 0.0048569308155355815 , std 0.06952223413116616 
2023-05-09 07:05:34,750 INFO used_ofi_5_2: 0.004106539127566587 , std 0.0639505704740806 
2023-05-09 07:05:34,750 INFO used_ofi_6_2: 0.0037354663148346664 , std 0.06100420154583946 
2023-05-09 07:05:34,750 INFO used_ofi_7_2: 0.003603529314752206 , std 0.05992114727898596 
2023-05-09 07:05:34,750 INFO used_ofi_8_2: 0.0038591572524119735 , std 0.062002130267541034 
2023-05-09 07:05:34,750 INFO used_ofi_9_2: 0.004296198565185124 , std 0.06540444360342518 
2023-05-09 07:05:34,750 INFO used_ofi_10_2: 0.005698029191061269 , std 0.07526992529821643 
2023-05-09 07:05:34,750 INFO used_ofi_1_3: 0.056584480910365303 , std 0.23104691608084665 
2023-05-09 07:05:34,750 INFO used_ofi_2_3: 0.013556526758472829 , std 0.11564059555674917 
2023-05-09 07:05:34,750 INFO used_ofi_3_3: 0.010447761194029851 , std 0.10167893331493193 
2023-05-09 07:05:34,750 INFO used_ofi_4_3: 0.0071823204419889505 , std 0.08444367776842467 
2023-05-09 07:05:34,751 INFO used_ofi_5_3: 0.005623814628514884 , std 0.07478092896948384 
2023-05-09 07:05:34,751 INFO used_ofi_6_3: 0.004955883565597427 , std 0.07022337775756496 
2023-05-09 07:05:34,751 INFO used_ofi_7_3: 0.004419889502762431 , std 0.06633516472841387 
2023-05-09 07:05:34,751 INFO used_ofi_8_3: 0.0042302300651438935 , std 0.06490250548892428 
2023-05-09 07:05:34,751 INFO used_ofi_9_3: 0.004757978065473736 , std 0.06881380464850206 
2023-05-09 07:05:34,751 INFO used_ofi_10_3: 0.0067782633792364145 , std 0.0820507070341147 
2023-05-09 07:05:34,751 INFO used_ofi_1_5: 0.089972787993733 , std 0.286142771032867 
2023-05-09 07:05:34,751 INFO used_ofi_2_5: 0.019312278387070173 , std 0.13762018126194456 
2023-05-09 07:05:34,751 INFO used_ofi_3_5: 0.01168467056980292 , std 0.10746226799894978 
2023-05-09 07:05:34,751 INFO used_ofi_4_5: 0.009252082130782551 , std 0.09574174171712047 
2023-05-09 07:05:34,751 INFO used_ofi_5_5: 0.007957450317473407 , std 0.08884891277848225 
2023-05-09 07:05:34,751 INFO used_ofi_6_5: 0.005986641378741651 , std 0.07714143830486951 
2023-05-09 07:05:34,751 INFO used_ofi_7_5: 0.006398944503999341 , std 0.07973705545876444 
2023-05-09 07:05:34,751 INFO used_ofi_8_5: 0.0058547043786591904 , std 0.07629172180058397 
2023-05-09 07:05:34,751 INFO used_ofi_9_5: 0.006110332316318958 , std 0.0779294306106692 
