2023-05-09 06:51:52,794 INFO Starting...
2023-05-09 06:51:52,794 INFO Tickers: ['QCOM']
2023-05-09 06:53:12,089 INFO used_ofi_7_2: 0.0034851954521714678 , std 0.05893257897658671 
2023-05-09 06:53:12,089 INFO used_ofi_8_2: 0.0028524366236792414 , std 0.05333198129628351 
2023-05-09 06:53:12,089 INFO used_ofi_9_2: 0.003294363424530955 , std 0.05730192487306223 
2023-05-09 06:53:12,089 INFO used_ofi_10_2: 0.003665983688883532 , std 0.060436282583199746 
2023-05-09 06:53:12,089 INFO used_ofi_1_3: 0.0427815274597244 , std 0.202364197347103 
2023-05-09 06:53:12,089 INFO used_ofi_2_3: 0.012705395524486763 , std 0.11199985914746997 
2023-05-09 06:53:12,089 INFO used_ofi_3_3: 0.011716082118034632 , std 0.10760490480381506 
2023-05-09 06:53:12,089 INFO used_ofi_4_3: 0.012363906632919528 , std 0.11050357661945596 
2023-05-09 06:53:12,089 INFO used_ofi_5_3: 0.008567353661966173 , std 0.0921626503156076 
2023-05-09 06:53:12,089 INFO used_ofi_6_3: 0.007472580450765337 , std 0.0861205027398945 
2023-05-09 06:53:12,089 INFO used_ofi_7_3: 0.004996785986902896 , std 0.07051112051800046 
2023-05-09 06:53:12,089 INFO used_ofi_8_3: 0.004082801012414126 , std 0.06376622733318285 
2023-05-09 06:53:12,089 INFO used_ofi_9_3: 0.0038015748664175807 , std 0.061539604280110564 
2023-05-09 06:53:12,089 INFO used_ofi_10_3: 0.004534771604194287 , std 0.06718785195771687 
2023-05-09 06:53:12,089 INFO used_ofi_1_5: 0.06281889036197823 , std 0.24263692500455905 
2023-05-09 06:53:12,089 INFO used_ofi_2_5: 0.019434735446546943 , std 0.13804718941242403 
2023-05-09 06:53:12,089 INFO used_ofi_3_5: 0.01965067695150858 , std 0.13879671410684052 
2023-05-09 06:53:12,089 INFO used_ofi_4_5: 0.018621188381342656 , std 0.13518298607668497 
2023-05-09 06:53:12,089 INFO used_ofi_5_5: 0.012805833433771242 , std 0.11243595538722365 
2023-05-09 06:53:12,089 INFO used_ofi_6_5: 0.010199469687838978 , std 0.1004760693196436 
2023-05-09 06:53:12,089 INFO used_ofi_7_5: 0.006819734040416215 , std 0.08229960673073841 
2023-05-09 06:53:12,089 INFO used_ofi_8_5: 0.005785223574786068 , std 0.07584032412230189 
2023-05-09 06:53:12,089 INFO used_ofi_9_5: 0.005664698083644691 , std 0.0750507113841424 
2023-05-09 06:53:12,089 INFO used_ofi_10_5: 0.006267325539351573 , std 0.07891797114685198 
2023-05-09 06:53:12,089 INFO used_ofi_1_10: 0.09203627817283355 , std 0.28907715522490934 
2023-05-09 06:53:12,089 INFO used_ofi_2_10: 0.03056827769073159 , std 0.17214487529332353 
2023-05-09 06:53:12,089 INFO used_ofi_3_10: 0.0305080149451609 , std 0.17198045228823747 
2023-05-09 06:53:12,089 INFO used_ofi_4_10: 0.027339198907235546 , std 0.16306982280712198 
2023-05-09 06:53:12,089 INFO used_ofi_5_10: 0.019987143947611585 , std 0.13995591457465825 
2023-05-09 06:53:12,089 INFO used_ofi_6_10: 0.014910007633281106 , std 0.12119281870497361 
2023-05-09 06:53:12,089 INFO used_ofi_7_10: 0.010169338315053634 , std 0.10032907292149978 
2023-05-09 06:53:12,089 INFO used_ofi_8_10: 0.007778916074083002 , std 0.08785445087640907 
2023-05-09 06:53:12,089 INFO used_ofi_9_10: 0.00794966051986662 , std 0.08880576229888178 
2023-05-09 06:53:12,089 INFO used_ofi_10_10: 0.007728697119440762 , std 0.08757262334929054 
2023-05-09 06:53:12,089 INFO used_ofi_1_20: 0.11854184243300792 , std 0.32324862571339086 
2023-05-09 06:53:12,089 INFO used_ofi_2_20: 0.03985878429954602 , std 0.1956273539505871 
2023-05-09 06:53:12,089 INFO used_ofi_3_20: 0.04011490096822144 , std 0.19622868212504316 
2023-05-09 06:53:12,089 INFO used_ofi_4_20: 0.035620304527740954 , std 0.1853415723282069 
2023-05-09 06:53:12,089 INFO used_ofi_5_20: 0.024597243983769234 , std 0.1548942205899631 
2023-05-09 06:53:12,089 INFO used_ofi_6_20: 0.022548310634365836 , std 0.14845835888188302 
2023-05-09 06:53:12,089 INFO used_ofi_7_20: 0.012283556305491945 , std 0.11014840239414164 
2023-05-09 06:53:12,089 INFO used_ofi_8_20: 0.010319995178980355 , std 0.101061827009441 
2023-05-09 06:53:12,089 INFO used_ofi_9_20: 0.011259089630790246 , std 0.10550982196684854 
2023-05-09 06:53:12,089 INFO used_ofi_10_20: 0.010535936683941987 , std 0.10210255002757743 
2023-05-09 06:53:12,089 INFO used_ofi_1_30: 0.13892069422682898 , std 0.3458637519925511 
2023-05-09 06:53:12,089 INFO used_ofi_2_30: 0.04751215298702342 , std 0.2127316344730165 
2023-05-09 06:53:12,089 INFO used_ofi_3_30: 0.04609597846611225 , std 0.20969296420090958 
2023-05-09 06:53:12,089 INFO used_ofi_4_30: 0.04371560001607006 , std 0.2044616011169458 
2023-05-09 06:53:12,089 INFO used_ofi_5_30: 0.030990116909726407 , std 0.1732908813632382 
2023-05-09 06:53:12,089 INFO used_ofi_6_30: 0.02645534530553212 , std 0.16048507721996202 
2023-05-09 06:53:12,089 INFO used_ofi_7_30: 0.01654212365915391 , std 0.12754795883901543 
2023-05-09 06:53:12,090 INFO used_ofi_8_30: 0.013729862199188462 , std 0.1163673196528121 
2023-05-09 06:53:12,090 INFO used_ofi_9_30: 0.013770037362902254 , std 0.11653507383584794 
2023-05-09 06:53:12,090 INFO used_ofi_10_30: 0.012675264151701417 , std 0.11186868118640718 
2023-05-09 06:53:12,718 INFO Grouping by horizont:
2023-05-09 06:53:12,718 INFO 1: 0.06356213089068337
2023-05-09 06:53:12,718 INFO 2: 0.08609537583865655
2023-05-09 06:53:12,718 INFO 3: 0.11302277931782571
2023-05-09 06:53:12,718 INFO 5: 0.16806777550118518
2023-05-09 06:53:12,718 INFO 10: 0.2489755333252983
2023-05-09 06:53:12,718 INFO 20: 0.32567996464585597
2023-05-09 06:53:12,718 INFO 30: 0.3904071752842393
2023-05-09 06:53:12,718 INFO Grouping by level:
2023-05-09 06:53:12,718 INFO 1: 0.5114700092402876
2023-05-09 06:53:12,718 INFO 2: 0.16592342613796152
2023-05-09 06:53:12,718 INFO 3: 0.16369370455184606
2023-05-09 06:53:12,718 INFO 4: 0.15417219075167732
2023-05-09 06:53:12,718 INFO 5: 0.10836748222249006
2023-05-09 06:53:12,718 INFO 6: 0.09105700855730987
2023-05-09 06:53:12,718 INFO 7: 0.05702362299626371
2023-05-09 06:53:12,718 INFO 8: 0.04706018239524326
2023-05-09 06:53:12,718 INFO 9: 0.04839098469326263
2023-05-09 06:53:12,718 INFO 10: 0.04865212325740227
2023-05-09 06:53:12,718 INFO Grouping by level and horizont:
2023-05-09 06:53:12,718 INFO 1_1: 0.024095054437346834
2023-05-09 06:53:12,718 INFO 2_1: 0.006779558876702422
2023-05-09 06:53:12,718 INFO 3_1: 0.006297456912136917
2023-05-09 06:53:12,718 INFO 4_1: 0.006744405608452854
2023-05-09 06:53:12,718 INFO 5_1: 0.004605078140693423
