2023-05-09 07:26:48,625 INFO Starting...
2023-05-09 07:26:48,625 INFO Tickers: ['COP']
2023-05-09 07:27:43,579 INFO used_intercept: 0.9922065492331883 , std 0.08793584531894277 
2023-05-09 07:27:43,579 INFO used_ofi_1_1: 0.013300518803788863 , std 0.11455834759343783 
2023-05-09 07:27:43,579 INFO used_ofi_2_1: 0.006859148189503908 , std 0.08253544860009142 
2023-05-09 07:27:43,579 INFO used_ofi_3_1: 0.008948036065598675 , std 0.09416989283294008 
2023-05-09 07:27:43,579 INFO used_ofi_4_1: 0.008704965476380375 , std 0.09289342846744005 
2023-05-09 07:27:43,579 INFO used_ofi_5_1: 0.007147794514200639 , std 0.08424193461562597 
2023-05-09 07:27:43,579 INFO used_ofi_6_1: 0.004398058473668619 , std 0.06617186377404533 
2023-05-09 07:27:43,579 INFO used_ofi_7_1: 0.0026509886136620864 , std 0.05141946006165682 
2023-05-09 07:27:43,579 INFO used_ofi_8_1: 0.0017546658159196043 , std 0.0418519648737553 
2023-05-09 07:27:43,579 INFO used_ofi_9_1: 0.0011317974310477103 , std 0.03362315371321947 
2023-05-09 07:27:43,579 INFO used_ofi_10_1: 0.0011621812546999976 , std 0.034070964022628145 
2023-05-09 07:27:43,579 INFO used_ofi_1_2: 0.01962795007937774 , std 0.13871803651673847 
2023-05-09 07:27:43,579 INFO used_ofi_2_2: 0.010208964747168607 , std 0.100522344709819 
2023-05-09 07:27:43,579 INFO used_ofi_3_2: 0.013520801525267948 , std 0.11549021366064859 
2023-05-09 07:27:43,579 INFO used_ofi_4_2: 0.012654862551177752 , std 0.11177977010617147 
2023-05-09 07:27:43,579 INFO used_ofi_5_2: 0.008416319151683643 , std 0.09135362457845145 
2023-05-09 07:27:43,579 INFO used_ofi_6_2: 0.005263997447758813 , std 0.07236219854750685 
2023-05-09 07:27:43,579 INFO used_ofi_7_2: 0.0032662610426209084 , std 0.05705780035562505 
2023-05-09 07:27:43,579 INFO used_ofi_8_2: 0.002104079787920911 , std 0.04582196674267675 
2023-05-09 07:27:43,579 INFO used_ofi_9_2: 0.0012837165493091477 , std 0.03580598582821282 
2023-05-09 07:27:43,579 INFO used_ofi_10_2: 0.0015115952267013041 , std 0.038849843070106714 
2023-05-09 07:27:43,579 INFO used_ofi_1_3: 0.028370895335323474 , std 0.16603008050710452 
2023-05-09 07:27:43,579 INFO used_ofi_2_3: 0.01364993277579017 , std 0.11603280618431402 
2023-05-09 07:27:43,580 INFO used_ofi_3_3: 0.019172192724593428 , std 0.13712993747072325 
2023-05-09 07:27:43,580 INFO used_ofi_4_3: 0.01894431404720127 , std 0.136328379336374 
2023-05-09 07:27:43,580 INFO used_ofi_5_3: 0.012221893064132655 , std 0.10987501260096204 
2023-05-09 07:27:43,580 INFO used_ofi_6_3: 0.008355551504379069 , std 0.09102601970555857 
2023-05-09 07:27:43,580 INFO used_ofi_7_3: 0.0049145834757575065 , std 0.06993161191490813 
2023-05-09 07:27:43,580 INFO used_ofi_8_3: 0.0025674330986182954 , std 0.050604756554126565 
2023-05-09 07:27:43,580 INFO used_ofi_9_3: 0.0018686051546156826 , std 0.04318695948306416 
2023-05-09 07:27:43,580 INFO used_ofi_10_3: 0.00153438309444052 , std 0.03914113900948739 
2023-05-09 07:27:43,580 INFO used_ofi_1_5: 0.03993953619093195 , std 0.1958171842300496 
2023-05-09 07:27:43,580 INFO used_ofi_2_5: 0.021542130969471853 , std 0.1451828762725342 
2023-05-09 07:27:43,580 INFO used_ofi_3_5: 0.031113035419942422 , std 0.17362319674196716 
2023-05-09 07:27:43,580 INFO used_ofi_4_5: 0.030907944610289482 , std 0.17306832052763663 
2023-05-09 07:27:43,580 INFO used_ofi_5_5: 0.0182606780150248 , std 0.13389258998711018 
2023-05-09 07:27:43,580 INFO used_ofi_6_5: 0.014105690130574482 , std 0.11792675538873566 
2023-05-09 07:27:43,580 INFO used_ofi_7_5: 0.007064238999156849 , std 0.08375162999321052 
2023-05-09 07:27:43,580 INFO used_ofi_8_5: 0.003000402585663393 , std 0.054693694060534405 
2023-05-09 07:27:43,580 INFO used_ofi_9_5: 0.0025066654513137207 , std 0.050003820650315424 
2023-05-09 07:27:43,580 INFO used_ofi_10_5: 0.0017546658159196043 , std 0.0418519648737553 
2023-05-09 07:27:43,580 INFO used_ofi_1_10: 0.05580748809333911 , std 0.2295495858546709 
2023-05-09 07:27:43,580 INFO used_ofi_2_10: 0.03159917659837902 , std 0.17493046800567214 
2023-05-09 07:27:43,580 INFO used_ofi_3_10: 0.043889433265729326 , std 0.20484909302543278 
2023-05-09 07:27:43,580 INFO used_ofi_4_10: 0.0473000174706986 , std 0.2122798290416925 
2023-05-09 07:27:43,580 INFO used_ofi_5_10: 0.027087178786014326 , std 0.16233749884554965 
2023-05-09 07:27:43,580 INFO used_ofi_6_10: 0.019202576548245715 , std 0.13723642957376322 
2023-05-09 07:27:43,580 INFO used_ofi_7_10: 0.00928985408168691 , std 0.09593514837028122 
2023-05-09 07:27:43,580 INFO used_ofi_8_10: 0.005248805535932669 , std 0.0722582561122162 
2023-05-09 07:27:43,580 INFO used_ofi_9_10: 0.0036004831027960714 , std 0.05989590657317536 
2023-05-09 07:27:43,580 INFO used_ofi_10_10: 0.0023395544212261392 , std 0.04831232664999959 
2023-05-09 07:27:43,580 INFO used_ofi_1_20: 0.07640012457367698 , std 0.2656372442614243 
2023-05-09 07:27:43,580 INFO used_ofi_2_20: 0.04338050421955351 , std 0.20371214022048567 
2023-05-09 07:27:43,580 INFO used_ofi_3_20: 0.061489263116316875 , std 0.24022558905688884 
2023-05-09 07:27:43,580 INFO used_ofi_4_20: 0.0602663142143123 , std 0.23797959069074406 
2023-05-09 07:27:43,580 INFO used_ofi_5_20: 0.03450083175717248 , std 0.18251171021399085 
2023-05-09 07:27:43,580 INFO used_ofi_6_20: 0.026874492020448313 , std 0.16171658448993773 
2023-05-09 07:27:43,580 INFO used_ofi_7_20: 0.014234821381096704 , std 0.11845755037710758 
2023-05-09 07:27:43,580 INFO used_ofi_8_20: 0.006000805171326786 , std 0.07723208859420133 
2023-05-09 07:27:43,580 INFO used_ofi_9_20: 0.0048462198725398595 , std 0.06944590719032231 
2023-05-09 07:27:43,580 INFO used_ofi_10_20: 0.0027877158200973803 , std 0.05272517862088054 
2023-05-09 07:27:43,580 INFO used_ofi_1_30: 0.08915373455172466 , std 0.2849655175055489 
2023-05-09 07:27:43,580 INFO used_ofi_2_30: 0.05049031895418879 , std 0.21895443965832956 
2023-05-09 07:27:43,580 INFO used_ofi_3_30: 0.06989798631208745 , std 0.25497501411236884 
2023-05-09 07:27:43,580 INFO used_ofi_4_30: 0.07164505617209398 , std 0.2578992867345536 
2023-05-09 07:27:43,580 INFO used_ofi_5_30: 0.045613715257996644 , std 0.20864588239013743 
2023-05-09 07:27:43,580 INFO used_ofi_6_30: 0.03284491336812281 , std 0.17823053900486113 
2023-05-09 07:27:43,580 INFO used_ofi_7_30: 0.01829865779459016 , std 0.13402916442889076 
2023-05-09 07:27:43,580 INFO used_ofi_8_30: 0.007846622458203252 , std 0.08823294721475461 
2023-05-09 07:27:43,580 INFO used_ofi_9_30: 0.00460314928332156 , std 0.06769017875583591 
2023-05-09 07:27:43,580 INFO used_ofi_10_30: 0.0043448867822771155 , std 0.0657724010594589 
2023-05-09 07:27:44,004 INFO Grouping by horizont:
2023-05-09 07:27:44,004 INFO 1: 0.05605815463847048
2023-05-09 07:27:44,004 INFO 2: 0.07785854810898676
2023-05-09 07:27:44,004 INFO 3: 0.11159978427485208
2023-05-09 07:27:44,004 INFO 5: 0.17019498818828854
2023-05-09 07:27:44,004 INFO 10: 0.2453645679040479
2023-05-09 07:27:44,004 INFO 20: 0.3307810921465412
2023-05-09 07:27:44,004 INFO 30: 0.3947390409346065
2023-05-09 07:27:44,004 INFO Grouping by level:
2023-05-09 07:27:44,004 INFO 1: 0.32260024762816275
2023-05-09 07:27:44,004 INFO 2: 0.17773017645405587
2023-05-09 07:27:44,004 INFO 3: 0.2480307484295361
2023-05-09 07:27:44,004 INFO 4: 0.25042347454215375
2023-05-09 07:27:44,004 INFO 5: 0.1532484105462252
2023-05-09 07:27:44,004 INFO 6: 0.11104527949319781
2023-05-09 07:27:44,004 INFO 7: 0.05971940538857112
2023-05-09 07:27:44,004 INFO 8: 0.028522814453584906
2023-05-09 07:27:44,004 INFO 9: 0.01984063684494375
2023-05-09 07:27:44,004 INFO 10: 0.01543498241536206
2023-05-09 07:27:44,004 INFO Grouping by level and horizont:
2023-05-09 07:27:44,004 INFO 1_1: 0.013300518803788863
2023-05-09 07:27:44,004 INFO 2_1: 0.006859148189503908
2023-05-09 07:27:44,004 INFO 3_1: 0.008948036065598675
2023-05-09 07:27:44,004 INFO 4_1: 0.008704965476380375
2023-05-09 07:27:44,004 INFO 5_1: 0.007147794514200639
2023-05-09 07:27:44,004 INFO 6_1: 0.004398058473668619
2023-05-09 07:27:44,004 INFO 7_1: 0.0026509886136620864
2023-05-09 07:27:44,004 INFO 8_1: 0.0017546658159196043
2023-05-09 07:27:44,004 INFO 9_1: 0.0011317974310477103
2023-05-09 07:27:44,004 INFO 10_1: 0.0011621812546999976
2023-05-09 07:27:44,004 INFO 1_2: 0.01962795007937774
2023-05-09 07:27:44,004 INFO 2_2: 0.010208964747168607
2023-05-09 07:27:44,004 INFO 3_2: 0.013520801525267948
2023-05-09 07:27:44,004 INFO 4_2: 0.012654862551177752
2023-05-09 07:27:44,004 INFO 5_2: 0.008416319151683643
2023-05-09 07:27:44,004 INFO 6_2: 0.005263997447758813
2023-05-09 07:27:44,004 INFO 7_2: 0.0032662610426209084
2023-05-09 07:27:44,005 INFO 8_2: 0.002104079787920911
