2023-05-09 07:17:38,909 INFO Starting...
2023-05-09 07:17:38,909 INFO Tickers: ['CI']
2023-05-09 07:18:55,168 INFO used_ofi_10_2: 0.007444019167595913 , std 0.08595699940219163 
2023-05-09 07:18:55,168 INFO used_ofi_1_3: 0.03542690093728339 , std 0.18485625666247624 
2023-05-09 07:18:55,168 INFO used_ofi_2_3: 0.018906402258320524 , std 0.13619453077112567 
2023-05-09 07:18:55,168 INFO used_ofi_3_3: 0.014149663964316928 , std 0.11810779387497604 
2023-05-09 07:18:55,168 INFO used_ofi_4_3: 0.012492088846026341 , std 0.1110677116100324 
2023-05-09 07:18:55,168 INFO used_ofi_5_3: 0.009980611394070905 , std 0.09940321317880746 
2023-05-09 07:18:55,168 INFO used_ofi_6_3: 0.007343560069517696 , std 0.08537934290578186 
2023-05-09 07:18:55,168 INFO used_ofi_7_3: 0.006655415247681907 , std 0.08130879838961358 
2023-05-09 07:18:55,168 INFO used_ofi_8_3: 0.006163165667098641 , std 0.07826353592867202 
2023-05-09 07:18:55,168 INFO used_ofi_9_3: 0.006047637704308691 , std 0.07753105044113691 
2023-05-09 07:18:55,168 INFO used_ofi_10_3: 0.007931245793275268 , std 0.08870367034932615 
2023-05-09 07:18:55,168 INFO used_ofi_1_5: 0.05362004359924857 , std 0.2252663634981114 
2023-05-09 07:18:55,168 INFO used_ofi_2_5: 0.02824407542469084 , std 0.16566939255063137 
2023-05-09 07:18:55,168 INFO used_ofi_3_5: 0.020704620113920616 , std 0.142393605263224 
2023-05-09 07:18:55,168 INFO used_ofi_4_5: 0.01726891895964558 , std 0.13027165231780385 
2023-05-09 07:18:55,168 INFO used_ofi_5_5: 0.014305375566338166 , std 0.11874650224846282 
2023-05-09 07:18:55,168 INFO used_ofi_6_5: 0.010497975749173724 , std 0.10192040156094109 
2023-05-09 07:18:55,168 INFO used_ofi_7_5: 0.008242668997317742 , std 0.09041419913441916 
2023-05-09 07:18:55,168 INFO used_ofi_8_5: 0.006901540037973539 , std 0.08278833724068739 
2023-05-09 07:18:55,168 INFO used_ofi_9_5: 0.008393357644435068 , std 0.0912299796771197 
2023-05-09 07:18:55,168 INFO used_ofi_10_5: 0.010091116401956944 , std 0.09994641450156729 
2023-05-09 07:18:55,168 INFO used_ofi_1_10: 0.07566579267251339 , std 0.2644626258883353 
2023-05-09 07:18:55,168 INFO used_ofi_2_10: 0.03999276694493837 , std 0.19594219947991348 
2023-05-09 07:18:55,168 INFO used_ofi_3_10: 0.031493927247521175 , std 0.17464838903937538 
2023-05-09 07:18:55,168 INFO used_ofi_4_10: 0.027199300804677376 , std 0.162663760070933 
2023-05-09 07:18:55,168 INFO used_ofi_5_10: 0.021056226957194377 , std 0.14357180177013001 
2023-05-09 07:18:55,168 INFO used_ofi_6_10: 0.016088524557226525 , std 0.1258160718461598 
2023-05-09 07:18:55,168 INFO used_ofi_7_10: 0.012823603869684458 , std 0.11251292838371006 
2023-05-09 07:18:55,168 INFO used_ofi_8_10: 0.010543182343308921 , std 0.10213727845103698 
2023-05-09 07:18:55,168 INFO used_ofi_9_10: 0.010226736184362538 , std 0.10060889648225939 
2023-05-09 07:18:55,168 INFO used_ofi_10_10: 0.01197472449092352 , std 0.10877191946587134 
2023-05-09 07:18:55,168 INFO used_ofi_1_20: 0.09594346161960159 , std 0.29451369033043207 
2023-05-09 07:18:55,168 INFO used_ofi_2_20: 0.05231407532423174 , std 0.22265963452588874 
2023-05-09 07:18:55,168 INFO used_ofi_3_20: 0.04058045266869594 , std 0.19731619175805026 
2023-05-09 07:18:55,168 INFO used_ofi_4_20: 0.03642646896316165 , std 0.18734882257980023 
2023-05-09 07:18:55,168 INFO used_ofi_5_20: 0.028188822920747817 , std 0.16551197292972655 
2023-05-09 07:18:55,168 INFO used_ofi_6_20: 0.020764895572767547 , std 0.14259633475170255 
2023-05-09 07:18:55,168 INFO used_ofi_7_20: 0.016721416875119296 , std 0.12822562572593582 
2023-05-09 07:18:55,168 INFO used_ofi_8_20: 0.014089388505469999 , std 0.1178595674394401 
2023-05-09 07:18:55,168 INFO used_ofi_9_20: 0.013436404367961584 , std 0.11513412789274169 
2023-05-09 07:18:55,168 INFO used_ofi_10_20: 0.01439076579970465 , std 0.11909522097633768 
2023-05-09 07:18:55,168 INFO used_ofi_1_30: 0.11243382256914097 , std 0.3158994430378627 
2023-05-09 07:18:55,168 INFO used_ofi_2_30: 0.056764413369096774 , std 0.23139190725684228 
2023-05-09 07:18:55,168 INFO used_ofi_3_30: 0.04414172769556875 , std 0.20540992082082843 
2023-05-09 07:18:55,168 INFO used_ofi_4_30: 0.04224305074189044 , std 0.20114317141257493 
2023-05-09 07:18:55,168 INFO used_ofi_5_30: 0.035607727313824174 , std 0.18531005657915198 
2023-05-09 07:18:55,168 INFO used_ofi_6_30: 0.02543624363340466 , std 0.15744599437021806 
2023-05-09 07:18:55,168 INFO used_ofi_7_30: 0.02095074490421225 , std 0.1432194511655832 
2023-05-09 07:18:55,168 INFO used_ofi_8_30: 0.016143777061169543 , std 0.1260283917352308 
2023-05-09 07:18:55,168 INFO used_ofi_9_30: 0.014415880574224205 , std 0.11919757951189237 
2023-05-09 07:18:55,168 INFO used_ofi_10_30: 0.01662598073194499 , std 0.12786538818869622 
2023-05-09 07:18:55,786 INFO Grouping by horizont:
2023-05-09 07:18:55,786 INFO 1: 0.072812754287092
2023-05-09 07:18:55,786 INFO 2: 0.097892368122319
2023-05-09 07:18:55,786 INFO 3: 0.12509669188190026
2023-05-09 07:18:55,786 INFO 5: 0.17826969249470082
2023-05-09 07:18:55,786 INFO 10: 0.25706478607235067
2023-05-09 07:18:55,786 INFO 20: 0.3328561526174618
2023-05-09 07:18:55,786 INFO 30: 0.38476336859447674
2023-05-09 07:18:55,786 INFO Grouping by level:
2023-05-09 07:18:55,786 INFO 1: 0.42027063681022275
2023-05-09 07:18:55,786 INFO 2: 0.22158765558602814
2023-05-09 07:18:55,786 INFO 3: 0.16954481982660757
2023-05-09 07:18:55,786 INFO 4: 0.1512110344273329
2023-05-09 07:18:55,786 INFO 5: 0.12113358046271461
2023-05-09 07:18:55,786 INFO 6: 0.09070451965482254
2023-05-09 07:18:55,786 INFO 7: 0.074842028068272
2023-05-09 07:18:55,786 INFO 8: 0.06290246426167587
2023-05-09 07:18:55,786 INFO 9: 0.06243532945561214
2023-05-09 07:18:55,786 INFO 10: 0.07412374551701276
2023-05-09 07:18:55,787 INFO Grouping by level and horizont:
2023-05-09 07:18:55,787 INFO 1_1: 0.020368082135358588
2023-05-09 07:18:55,787 INFO 2_1: 0.010297057553017288
2023-05-09 07:18:55,787 INFO 3_1: 0.00788603919914007
2023-05-09 07:18:55,787 INFO 4_1: 0.006499703645660669
2023-05-09 07:18:55,787 INFO 5_1: 0.004711531699868398
2023-05-09 07:18:55,787 INFO 6_1: 0.004575911917462805
2023-05-09 07:18:55,787 INFO 7_1: 0.0041941673447655784
2023-05-09 07:18:55,787 INFO 8_1: 0.003867675276011372
2023-05-09 07:18:55,787 INFO 9_1: 0.004746692384195774
2023-05-09 07:18:55,787 INFO 10_1: 0.005665893131611465
2023-05-09 07:18:55,787 INFO 1_2: 0.02681253327707624
