2023-05-09 07:32:55,041 INFO Starting...
2023-05-09 07:32:55,042 INFO Tickers: ['FISV']
2023-05-09 07:34:14,371 INFO 7_1: 0.003671005584347756
2023-05-09 07:34:14,371 INFO 8_1: 0.003289341529066731
2023-05-09 07:34:14,371 INFO 9_1: 0.0032792977381382827
2023-05-09 07:34:14,371 INFO 10_1: 0.004143063757984814
2023-05-09 07:34:14,371 INFO 1_2: 0.01802860471656422
2023-05-09 07:34:14,371 INFO 2_2: 0.012594913824273834
2023-05-09 07:34:14,371 INFO 3_2: 0.009245309549636415
2023-05-09 07:34:14,371 INFO 4_2: 0.008994214776425214
2023-05-09 07:34:14,371 INFO 5_2: 0.007653368687477401
2023-05-09 07:34:14,371 INFO 6_2: 0.00827608372504118
2023-05-09 07:34:14,371 INFO 7_2: 0.0052478807601140974
2023-05-09 07:34:14,371 INFO 8_2: 0.004675384677192559
2023-05-09 07:34:14,371 INFO 9_2: 0.004916435659475312
2023-05-09 07:34:14,371 INFO 10_2: 0.0058103330521071875
2023-05-09 07:34:14,371 INFO 1_3: 0.024361214896950704
2023-05-09 07:34:14,371 INFO 2_3: 0.017596721706640953
2023-05-09 07:34:14,371 INFO 3_3: 0.013016753043268652
2023-05-09 07:34:14,371 INFO 4_3: 0.011861717086497128
2023-05-09 07:34:14,371 INFO 5_3: 0.010390301715479491
2023-05-09 07:34:14,371 INFO 6_3: 0.01016431641958941
2023-05-09 07:34:14,371 INFO 7_3: 0.006136756257281748
2023-05-09 07:34:14,371 INFO 8_3: 0.005835442529428307
2023-05-09 07:34:14,371 INFO 9_3: 0.005102245791651601
2023-05-09 07:34:14,371 INFO 10_3: 0.007301836004981721
2023-05-09 07:34:14,371 INFO 1_5: 0.03635350126551766
2023-05-09 07:34:14,371 INFO 2_5: 0.02532039693061749
2023-05-09 07:34:14,371 INFO 3_5: 0.02106685147241975
2023-05-09 07:34:14,371 INFO 4_5: 0.017546502751998715
2023-05-09 07:34:14,371 INFO 5_5: 0.013975935076935439
2023-05-09 07:34:14,371 INFO 6_5: 0.016356313526977622
2023-05-09 07:34:14,371 INFO 7_5: 0.01028986380619501
2023-05-09 07:34:14,371 INFO 8_5: 0.008125426861114459
2023-05-09 07:34:14,371 INFO 9_5: 0.00781406934233257
2023-05-09 07:34:14,371 INFO 10_5: 0.009285484713350207
2023-05-09 07:34:14,371 INFO 1_10: 0.052257844200715116
