2023-05-09 05:56:18,717 INFO Starting...
2023-05-09 05:56:18,717 INFO Tickers: ['DIS']
2023-05-09 05:57:39,147 INFO used_ofi_10_1: 0.002094130408581415 , std 0.045713729080149104 
2023-05-09 05:57:39,147 INFO used_ofi_1_2: 0.00832630267968342 , std 0.09086790062156007 
2023-05-09 05:57:39,147 INFO used_ofi_2_2: 0.0065234422080269975 , std 0.08050395586420292 
2023-05-09 05:57:39,147 INFO used_ofi_3_2: 0.011309308585432486 , std 0.10574217760549455 
2023-05-09 05:57:39,147 INFO used_ofi_4_2: 0.01511590534731429 , std 0.12201399408611016 
2023-05-09 05:57:39,147 INFO used_ofi_5_2: 0.012519585392310474 , std 0.11118833290374994 
2023-05-09 05:57:39,147 INFO used_ofi_6_2: 0.010907556948294565 , std 0.10386809976943966 
2023-05-09 05:57:39,147 INFO used_ofi_7_2: 0.0062472379574946765 , std 0.07879219488881568 
2023-05-09 05:57:39,147 INFO used_ofi_8_2: 0.003595677152384396 , std 0.059856062835774757 
2023-05-09 05:57:39,147 INFO used_ofi_9_2: 0.0024958820457193364 , std 0.04989641889487855 
2023-05-09 05:57:39,147 INFO used_ofi_10_2: 0.003003093487605962 , std 0.05471814065838367 
2023-05-09 05:57:39,147 INFO used_ofi_1_3: 0.012022417741352296 , std 0.108985683523134 
2023-05-09 05:57:39,147 INFO used_ofi_2_3: 0.008933952030854526 , std 0.09409642146205621 
2023-05-09 05:57:39,147 INFO used_ofi_3_3: 0.016250853722228918 , std 0.12643877362394668 
2023-05-09 05:57:39,147 INFO used_ofi_4_3: 0.020188019766180548 , std 0.1406430361735015 
2023-05-09 05:57:39,147 INFO used_ofi_5_3: 0.017375758306215097 , std 0.13066690984904747 
2023-05-09 05:57:39,147 INFO used_ofi_6_3: 0.013785103049294926 , std 0.11659791586137053 
2023-05-09 05:57:39,147 INFO used_ofi_7_3: 0.00773874091036921 , std 0.08762906366891861 
2023-05-09 05:57:39,147 INFO used_ofi_8_3: 0.00413804186252059 , std 0.06419438037760486 
2023-05-09 05:57:39,147 INFO used_ofi_9_3: 0.0030934876059619944 , std 0.05553303467661167 
2023-05-09 05:57:39,147 INFO used_ofi_10_3: 0.0031788598288538025 , std 0.05629169280668598 
2023-05-09 05:57:39,147 INFO used_ofi_1_5: 0.017134707323932345 , std 0.12977329898270878 
2023-05-09 05:57:39,147 INFO used_ofi_2_5: 0.015547788357237555 , std 0.12371764075683024 
2023-05-09 05:57:39,148 INFO used_ofi_3_5: 0.025646820135792052 , std 0.15807928628607348 
2023-05-09 05:57:39,148 INFO used_ofi_4_5: 0.032476597967136714 , std 0.17726214641490068 
2023-05-09 05:57:39,148 INFO used_ofi_5_5: 0.027816278976336827 , std 0.16444614194394294 
2023-05-09 05:57:39,148 INFO used_ofi_6_5: 0.02121750833634647 , std 0.14410872866118674 
2023-05-09 05:57:39,148 INFO used_ofi_7_5: 0.012142943232493672 , std 0.1095239341977182 
2023-05-09 05:57:39,148 INFO used_ofi_8_5: 0.007080872604555864 , std 0.08384947136216132 
2023-05-09 05:57:39,148 INFO used_ofi_9_5: 0.004710537945442127 , std 0.06847151800352229 
2023-05-09 05:57:39,148 INFO used_ofi_10_5: 0.0038266843437387006 , std 0.06174172681964835 
2023-05-09 05:57:39,148 INFO used_ofi_1_10: 0.026380016873568758 , std 0.16026263314734032 
2023-05-09 05:57:39,148 INFO used_ofi_2_10: 0.023226266522036076 , std 0.15062140307898947 
2023-05-09 05:57:39,148 INFO used_ofi_3_10: 0.03938672612590896 , std 0.19451326929284696 
2023-05-09 05:57:39,148 INFO used_ofi_4_10: 0.0469848539632799 , std 0.211606421124996 
2023-05-09 05:57:39,148 INFO used_ofi_5_10: 0.039050259129805955 , std 0.19371457454642116 
2023-05-09 05:57:39,148 INFO used_ofi_6_10: 0.030477883572375557 , std 0.1718981738859499 
2023-05-09 05:57:39,148 INFO used_ofi_7_10: 0.01736571451528665 , std 0.13062980699159057 
2023-05-09 05:57:39,148 INFO used_ofi_8_10: 0.009471294845526496 , std 0.09685860529387981 
2023-05-09 05:57:39,148 INFO used_ofi_9_10: 0.006297456912136917 , std 0.0791062510082275 
2023-05-09 05:57:39,148 INFO used_ofi_10_10: 0.005624522919930899 , std 0.07478561132901215 
2023-05-09 05:57:39,148 INFO used_ofi_1_20: 0.03613755976055603 , std 0.186632356613499 
2023-05-09 05:57:39,148 INFO used_ofi_2_20: 0.033139488168414284 , std 0.17900073321735252 
2023-05-09 05:57:39,148 INFO used_ofi_3_20: 0.05348318669398578 , std 0.22499496757714835 
2023-05-09 05:57:39,148 INFO used_ofi_4_20: 0.06315033546261702 , std 0.24323316096613132 
2023-05-09 05:57:39,148 INFO used_ofi_5_20: 0.05073620987505524 , std 0.21945853112278318 
2023-05-09 05:57:39,148 INFO used_ofi_6_20: 0.03947209834880077 , std 0.1947153096208497 
2023-05-09 05:57:39,148 INFO used_ofi_7_20: 0.024552046924591217 , std 0.1547554325909236 
2023-05-09 05:57:39,148 INFO used_ofi_8_20: 0.012675264151701417 , std 0.11186868118640718 
2023-05-09 05:57:39,148 INFO used_ofi_9_20: 0.009411032099955807 , std 0.09655291075244396 
2023-05-09 05:57:39,148 INFO used_ofi_10_20: 0.0070858945000200875 , std 0.08387898782862532 
2023-05-09 05:57:39,148 INFO used_ofi_1_30: 0.041721907516773134 , std 0.19995296934513113 
2023-05-09 05:57:39,148 INFO used_ofi_2_30: 0.04039110521875377 , std 0.19687474149306539 
2023-05-09 05:57:39,148 INFO used_ofi_3_30: 0.06510887469366437 , std 0.24671787355153071 
2023-05-09 05:57:39,148 INFO used_ofi_4_30: 0.07160218552890603 , std 0.2578280678211551 
2023-05-09 05:57:39,148 INFO used_ofi_5_30: 0.05770157888393395 , std 0.23317827231162666 
2023-05-09 05:57:39,148 INFO used_ofi_6_30: 0.044629584990558836 , std 0.20648918890375184 
2023-05-09 05:57:39,148 INFO used_ofi_7_30: 0.031025270177975975 , std 0.17338599363374071 
2023-05-09 05:57:39,148 INFO used_ofi_8_30: 0.015020489333494034 , std 0.12163418201178658 
2023-05-09 05:57:39,148 INFO used_ofi_9_30: 0.009998593869270017 , std 0.09949181870841146 
2023-05-09 05:57:39,148 INFO used_ofi_10_30: 0.00919006869952995 , std 0.09542332700565345 
2023-05-09 05:57:39,776 INFO Grouping by horizont:
