2023-05-09 06:23:20,147 INFO Starting...
2023-05-09 06:23:20,148 INFO Tickers: ['AMGN']
2023-05-09 06:24:39,935 INFO used_ofi_8_2: 0.005197661805471857 , std 0.07190720490484799 
2023-05-09 06:24:39,935 INFO used_ofi_9_2: 0.0055341288015748665 , std 0.07418559307562654 
2023-05-09 06:24:39,935 INFO used_ofi_10_2: 0.0062020408983166605 , std 0.07850844277536186 
2023-05-09 06:24:39,935 INFO used_ofi_1_3: 0.025270177975975253 , std 0.15694456371928844 
2023-05-09 06:24:39,935 INFO used_ofi_2_3: 0.014011088345185007 , std 0.1175362826899355 
2023-05-09 06:24:39,935 INFO used_ofi_3_3: 0.011821541922783336 , std 0.10808234392976132 
2023-05-09 06:24:39,935 INFO used_ofi_4_3: 0.012921337029448395 , std 0.11293527384665875 
2023-05-09 06:24:39,935 INFO used_ofi_5_3: 0.012484432124060906 , std 0.11103409872017074 
2023-05-09 06:24:39,935 INFO used_ofi_6_3: 0.011610622313285926 , std 0.10712523401507301 
2023-05-09 06:24:39,935 INFO used_ofi_7_3: 0.008456871961753244 , std 0.09157157461994284 
2023-05-09 06:24:39,935 INFO used_ofi_8_3: 0.0075679964645855935 , std 0.08666442115480615 
2023-05-09 06:24:39,935 INFO used_ofi_9_3: 0.006352697762243381 , std 0.07945024224874941 
2023-05-09 06:24:39,935 INFO used_ofi_10_3: 0.007573018360049817 , std 0.08669295099930655 
2023-05-09 06:24:39,935 INFO used_ofi_1_5: 0.03801072676871158 , std 0.19122215200971338 
2023-05-09 06:24:39,935 INFO used_ofi_2_5: 0.021202442649953798 , std 0.14405866539583523 
2023-05-09 06:24:39,935 INFO used_ofi_3_5: 0.016662649150295288 , std 0.12800392678972566 
2023-05-09 06:24:39,935 INFO used_ofi_4_5: 0.019957012574826242 , std 0.13985253027355088 
2023-05-09 06:24:39,935 INFO used_ofi_5_5: 0.01999216584307581 , std 0.1399731372370383 
2023-05-09 06:24:39,935 INFO used_ofi_6_5: 0.01911835603230083 , std 0.13694102560928564 
2023-05-09 06:24:39,935 INFO used_ofi_7_5: 0.011977220682174279 , std 0.10878311848308438 
2023-05-09 06:24:39,935 INFO used_ofi_8_5: 0.009847937005343296 , std 0.09874692472215066 
2023-05-09 06:24:39,935 INFO used_ofi_9_5: 0.00977763046884416 , std 0.09839729880062202 
2023-05-09 06:24:39,935 INFO used_ofi_10_5: 0.011228958258004901 , std 0.10537015115508225 
2023-05-09 06:24:39,935 INFO used_ofi_1_10: 0.05312663211602587 , std 0.22428596272623558 
2023-05-09 06:24:39,935 INFO used_ofi_2_10: 0.028499256759471295 , std 0.16639425808491415 
2023-05-09 06:24:39,935 INFO used_ofi_3_10: 0.026897272106383832 , std 0.16178321563011094 
2023-05-09 06:24:39,936 INFO used_ofi_4_10: 0.030166526053593667 , std 0.17104533539226238 
2023-05-09 06:24:39,936 INFO used_ofi_5_10: 0.03157767867904062 , std 0.17487289352064797 
2023-05-09 06:24:39,936 INFO used_ofi_6_10: 0.03074404403197943 , std 0.17262342769317016 
2023-05-09 06:24:39,936 INFO used_ofi_7_10: 0.018435378249166367 , std 0.1345195713566488 
2023-05-09 06:24:39,936 INFO used_ofi_8_10: 0.015592985416415572 , std 0.12389448826408307 
2023-05-09 06:24:39,936 INFO used_ofi_9_10: 0.012494475914989353 , std 0.11107818861774398 
2023-05-09 06:24:39,936 INFO used_ofi_10_10: 0.014156723313647503 , std 0.11813682956076117 
2023-05-09 06:24:39,936 INFO used_ofi_1_20: 0.07204913422522197 , std 0.25856924891142397 
2023-05-09 06:24:39,936 INFO used_ofi_2_20: 0.03702643525772367 , std 0.1888265827414913 
2023-05-09 06:24:39,936 INFO used_ofi_3_20: 0.033013940781808686 , std 0.17867294281973395 
2023-05-09 06:24:39,936 INFO used_ofi_4_20: 0.03816640552810253 , std 0.19159783667141692 
2023-05-09 06:24:39,936 INFO used_ofi_5_20: 0.03940681370776586 , std 0.19456083043913874 
2023-05-09 06:24:39,936 INFO used_ofi_6_20: 0.04155618496645374 , std 0.19957271471192556 
2023-05-09 06:24:39,936 INFO used_ofi_7_20: 0.023452251817926158 , std 0.1513348727246788 
2023-05-09 06:24:39,936 INFO used_ofi_8_20: 0.018771845245269373 , std 0.13571832253368382 
2023-05-09 06:24:39,936 INFO used_ofi_9_20: 0.01729038608332329 , std 0.13035117426556964 
2023-05-09 06:24:39,936 INFO used_ofi_10_20: 0.018259611907918524 , std 0.13388875412405152 
2023-05-09 06:24:39,936 INFO used_ofi_1_30: 0.08375015065686392 , std 0.277012748662975 
2023-05-09 06:24:39,936 INFO used_ofi_2_30: 0.041591338234703304 , std 0.199653446798571 
2023-05-09 06:24:39,936 INFO used_ofi_3_30: 0.03885440520670122 , std 0.1932478729578535 
2023-05-09 06:24:39,936 INFO used_ofi_4_30: 0.047055160499779036 , std 0.2117568708923493 
2023-05-09 06:24:39,936 INFO used_ofi_5_30: 0.04802438632437427 , std 0.21381778373779278 
2023-05-09 06:24:39,936 INFO used_ofi_6_30: 0.04885299907597124 , std 0.2155606261756873 
2023-05-09 06:24:39,936 INFO used_ofi_7_30: 0.027198585834237274 , std 0.1626616819132733 
2023-05-09 06:24:39,936 INFO used_ofi_8_30: 0.022432807038688683 , std 0.1480863808966025 
2023-05-09 06:24:39,936 INFO used_ofi_9_30: 0.020494355389498214 , std 0.14168393270469012 
2023-05-09 06:24:39,936 INFO used_ofi_10_30: 0.02190550801494516 , std 0.1463750550249336 
2023-05-09 06:24:40,565 INFO Grouping by horizont:
2023-05-09 06:24:40,565 INFO 1: 0.06344662729500623
2023-05-09 06:24:40,566 INFO 2: 0.08762203205978064
2023-05-09 06:24:40,566 INFO 3: 0.11806978425937087
2023-05-09 06:24:40,566 INFO 5: 0.1777750994335302
2023-05-09 06:24:40,566 INFO 10: 0.2616909726407135
2023-05-09 06:24:40,566 INFO 20: 0.3389930095215138
2023-05-09 06:24:40,566 INFO 30: 0.4001596962757623
2023-05-09 06:24:40,566 INFO Grouping by level:
2023-05-09 06:24:40,566 INFO 1: 0.3029207344019927
2023-05-09 06:24:40,566 INFO 2: 0.15990719537182113
2023-05-09 06:24:40,566 INFO 3: 0.14167771483668795
2023-05-09 06:24:40,566 INFO 4: 0.1641205656663051
2023-05-09 06:24:40,566 INFO 5: 0.16771122092322527
2023-05-09 06:24:40,566 INFO 6: 0.16724920654051667
2023-05-09 06:24:40,566 INFO 7: 0.10021694588405448
2023-05-09 06:24:40,566 INFO 8: 0.08344381503354625
2023-05-09 06:24:40,566 INFO 9: 0.07597123458278092
2023-05-09 06:24:40,566 INFO 10: 0.0845385882447471
2023-05-09 06:24:40,566 INFO Grouping by level and horizont:
2023-05-09 06:24:40,566 INFO 1_1: 0.012760636374593227
2023-05-09 06:24:40,566 INFO 2_1: 0.007422361496123096
2023-05-09 06:24:40,566 INFO 3_1: 0.006111646779960628
2023-05-09 06:24:40,566 INFO 4_1: 0.006232172271102005
2023-05-09 06:24:40,566 INFO 5_1: 0.00656361737174079
2023-05-09 06:24:40,566 INFO 6_1: 0.0064079386123498455
2023-05-09 06:24:40,566 INFO 7_1: 0.004675384677192559
2023-05-09 06:24:40,566 INFO 8_1: 0.004032582057771885
2023-05-09 06:24:40,566 INFO 9_1: 0.004027560162307662
2023-05-09 06:24:40,566 INFO 10_1: 0.0052127274918645295
2023-05-09 06:24:40,566 INFO 1_2: 0.01795327628460086
2023-05-09 06:24:40,566 INFO 2_2: 0.010154272628660962
2023-05-09 06:24:40,566 INFO 3_2: 0.008316258888754972
2023-05-09 06:24:40,566 INFO 4_2: 0.009621951709453217
2023-05-09 06:24:40,566 INFO 5_2: 0.009662126873167007
2023-05-09 06:24:40,566 INFO 6_2: 0.008959061508175646
2023-05-09 06:24:40,566 INFO 7_2: 0.006021252661604596
2023-05-09 06:24:40,566 INFO 8_2: 0.005197661805471857
2023-05-09 06:24:40,566 INFO 9_2: 0.0055341288015748665
2023-05-09 06:24:40,566 INFO 10_2: 0.0062020408983166605
2023-05-09 06:24:40,566 INFO 1_3: 0.025270177975975253
2023-05-09 06:24:40,566 INFO 2_3: 0.014011088345185007
2023-05-09 06:24:40,566 INFO 3_3: 0.011821541922783336
2023-05-09 06:24:40,566 INFO 4_3: 0.012921337029448395
2023-05-09 06:24:40,566 INFO 5_3: 0.012484432124060906
2023-05-09 06:24:40,566 INFO 6_3: 0.011610622313285926
2023-05-09 06:24:40,566 INFO 7_3: 0.008456871961753244
2023-05-09 06:24:40,567 INFO 8_3: 0.0075679964645855935
2023-05-09 06:24:40,567 INFO 9_3: 0.006352697762243381
2023-05-09 06:24:40,567 INFO 10_3: 0.007573018360049817
2023-05-09 06:24:40,567 INFO 1_5: 0.03801072676871158
2023-05-09 06:24:40,567 INFO 2_5: 0.021202442649953798
2023-05-09 06:24:40,567 INFO 3_5: 0.016662649150295288
2023-05-09 06:24:40,567 INFO 4_5: 0.019957012574826242
2023-05-09 06:24:40,567 INFO 5_5: 0.01999216584307581
2023-05-09 06:24:40,567 INFO 6_5: 0.01911835603230083
2023-05-09 06:24:40,567 INFO 7_5: 0.011977220682174279
2023-05-09 06:24:40,567 INFO 8_5: 0.009847937005343296
2023-05-09 06:24:40,567 INFO 9_5: 0.00977763046884416
2023-05-09 06:24:40,567 INFO 10_5: 0.011228958258004901
2023-05-09 06:24:40,567 INFO 1_10: 0.05312663211602587
2023-05-09 06:24:40,567 INFO 2_10: 0.028499256759471295
2023-05-09 06:24:40,567 INFO 3_10: 0.026897272106383832
2023-05-09 06:24:40,567 INFO 4_10: 0.030166526053593667
2023-05-09 06:24:40,567 INFO 5_10: 0.03157767867904062
2023-05-09 06:24:40,567 INFO 6_10: 0.03074404403197943
2023-05-09 06:24:40,567 INFO 7_10: 0.018435378249166367
2023-05-09 06:24:40,567 INFO 8_10: 0.015592985416415572
2023-05-09 06:24:40,567 INFO 9_10: 0.012494475914989353
2023-05-09 06:24:40,567 INFO 10_10: 0.014156723313647503
2023-05-09 06:24:40,567 INFO 1_20: 0.07204913422522197
2023-05-09 06:24:40,567 INFO 2_20: 0.03702643525772367
2023-05-09 06:24:40,567 INFO 3_20: 0.033013940781808686
2023-05-09 06:24:40,567 INFO 4_20: 0.03816640552810253
2023-05-09 06:24:40,567 INFO 5_20: 0.03940681370776586
2023-05-09 06:24:40,567 INFO 6_20: 0.04155618496645374
2023-05-09 06:24:40,567 INFO 7_20: 0.023452251817926158
2023-05-09 06:24:40,567 INFO 8_20: 0.018771845245269373
2023-05-09 06:24:40,567 INFO 9_20: 0.01729038608332329
2023-05-09 06:24:40,567 INFO 10_20: 0.018259611907918524
2023-05-09 06:24:40,567 INFO 1_30: 0.08375015065686392
2023-05-09 06:24:40,567 INFO 2_30: 0.041591338234703304
2023-05-09 06:24:40,567 INFO 3_30: 0.03885440520670122
2023-05-09 06:24:40,567 INFO 4_30: 0.047055160499779036
2023-05-09 06:24:40,567 INFO 5_30: 0.04802438632437427
2023-05-09 06:24:40,567 INFO 6_30: 0.04885299907597124
2023-05-09 06:24:40,567 INFO 7_30: 0.027198585834237274
2023-05-09 06:24:40,567 INFO 8_30: 0.022432807038688683
2023-05-09 06:24:40,567 INFO 9_30: 0.020494355389498214
2023-05-09 06:24:40,567 INFO 10_30: 0.02190550801494516
2023-05-09 06:24:40,576 INFO Non empty regressions: 0.4790888272869712 --- 95400 / 199128
