2023-05-09 05:44:36,192 INFO Starting...
2023-05-09 05:44:36,192 INFO Tickers: ['GOOG']
2023-05-09 05:45:51,087 INFO used_ofi_6_1: 0.0025712104776826968 , std 0.05064187352737013 
2023-05-09 05:45:51,087 INFO used_ofi_7_1: 0.002701779759752521 , std 0.05190838223141146 
2023-05-09 05:45:51,087 INFO used_ofi_8_1: 0.0027268892370736412 , std 0.05214837784785229 
2023-05-09 05:45:51,087 INFO used_ofi_9_1: 0.0034048451247438833 , std 0.058251627912191364 
2023-05-09 05:45:51,087 INFO used_ofi_10_1: 0.00426358924912619 , std 0.0651568189512113 
2023-05-09 05:45:51,087 INFO used_ofi_1_2: 0.039788477763046885 , std 0.19546190114788717 
2023-05-09 05:45:51,087 INFO used_ofi_2_2: 0.0092001124904584 , std 0.09547497274480528 
2023-05-09 05:45:51,087 INFO used_ofi_3_2: 0.004821019645655056 , std 0.0692659903215948 
2023-05-09 05:45:51,087 INFO used_ofi_4_2: 0.004630187618014543 , std 0.06788776753316116 
2023-05-09 05:45:51,087 INFO used_ofi_5_2: 0.004474508858623599 , std 0.06674194804691948 
2023-05-09 05:45:51,087 INFO used_ofi_6_2: 0.0037061588525973245 , std 0.06076531279567841 
2023-05-09 05:45:51,087 INFO used_ofi_7_2: 0.00352537061588526 , std 0.059270079955285285 
2023-05-09 05:45:51,087 INFO used_ofi_8_2: 0.004369049053874895 , std 0.06595423007085846 
2023-05-09 05:45:51,087 INFO used_ofi_9_2: 0.004650275199871439 , std 0.06803418361703843 
2023-05-09 05:45:51,087 INFO used_ofi_10_2: 0.006337632075850709 , std 0.07935657814902213 
2023-05-09 05:45:51,087 INFO used_ofi_1_3: 0.05447752199590213 , std 0.22695753257622475 
2023-05-09 05:45:51,087 INFO used_ofi_2_3: 0.012921337029448395 , std 0.11293527384665873 
2023-05-09 05:45:51,087 INFO used_ofi_3_3: 0.006940259531557591 , std 0.08301862639909317 
2023-05-09 05:45:51,087 INFO used_ofi_4_3: 0.0059258366477843395 , std 0.07675103326866758 
2023-05-09 05:45:51,087 INFO used_ofi_5_3: 0.005398537624040818 , std 0.07327614492836419 
2023-05-09 05:45:51,087 INFO used_ofi_6_3: 0.00538849383311237 , std 0.07320831897621254 
2023-05-09 05:45:51,087 INFO used_ofi_7_3: 0.005298099714756338 , std 0.07259497127328335 
2023-05-09 05:45:51,087 INFO used_ofi_8_3: 0.005835442529428307 , std 0.07616685722749789 
2023-05-09 05:45:51,088 INFO used_ofi_9_3: 0.00538849383311237 , std 0.07320831897621254 
2023-05-09 05:45:51,088 INFO used_ofi_10_3: 0.007969748101723514 , std 0.0889169905975151 
2023-05-09 05:45:51,088 INFO used_ofi_1_5: 0.08377526013418504 , std 0.2770504754077038 
2023-05-09 05:45:51,088 INFO used_ofi_2_5: 0.019409625969225824 , std 0.1379597491624299 
2023-05-09 05:45:51,088 INFO used_ofi_3_5: 0.010043790928448034 , std 0.09971415743129787 
2023-05-09 05:45:51,088 INFO used_ofi_4_5: 0.010119119360411395 , std 0.10008357899166646 
2023-05-09 05:45:51,088 INFO used_ofi_5_5: 0.008994214776425214 , std 0.09441037483762442 
2023-05-09 05:45:51,088 INFO used_ofi_6_5: 0.008240930456791612 , std 0.09040474280698958 
2023-05-09 05:45:51,088 INFO used_ofi_7_5: 0.007357076855088185 , std 0.0854573008890201 
2023-05-09 05:45:51,088 INFO used_ofi_8_5: 0.008145514442971355 , std 0.08988417567865155 
2023-05-09 05:45:51,088 INFO used_ofi_9_5: 0.00825097424772006 , std 0.09045935922658041 
2023-05-09 05:45:51,088 INFO used_ofi_10_5: 0.011264111526254469 , std 0.10553308162741468 
2023-05-09 05:45:51,088 INFO used_ofi_1_10: 0.11893857217468161 , std 0.3237162155711846 
2023-05-09 05:45:51,088 INFO used_ofi_2_10: 0.02560664497207826 , std 0.1579586803735464 
2023-05-09 05:45:51,088 INFO used_ofi_3_10: 0.015010445542565585 , std 0.12159412842394678 
2023-05-09 05:45:51,088 INFO used_ofi_4_10: 0.013649511871760877 , std 0.11603104195612285 
2023-05-09 05:45:51,088 INFO used_ofi_5_10: 0.012142943232493672 , std 0.10952393419771819 
2023-05-09 05:45:51,088 INFO used_ofi_6_10: 0.01138965891286007 , std 0.10611283891550906 
2023-05-09 05:45:51,088 INFO used_ofi_7_10: 0.010892491261901891 , std 0.10379713337087537 
2023-05-09 05:45:51,088 INFO used_ofi_8_10: 0.011640753686071271 , std 0.10726251227568505 
2023-05-09 05:45:51,088 INFO used_ofi_9_10: 0.01221324976899281 , std 0.10983663459462424 
2023-05-09 05:45:51,088 INFO used_ofi_10_10: 0.014879876260495762 , std 0.12107215015422869 
2023-05-09 05:45:51,088 INFO used_ofi_1_20: 0.15089791490900326 , std 0.35794934583697513 
2023-05-09 05:45:51,088 INFO used_ofi_2_20: 0.034123779679402194 , std 0.18154709399985947 
2023-05-09 05:45:51,088 INFO used_ofi_3_20: 0.021071873367883975 , std 0.14362398657832834 
2023-05-09 05:45:51,088 INFO used_ofi_4_20: 0.01738078020167932 , std 0.13068545703811205 
2023-05-09 05:45:51,088 INFO used_ofi_5_20: 0.01724016712868105 , std 0.13016506353878599 
2023-05-09 05:45:51,088 INFO used_ofi_6_20: 0.015834036398698324 , std 0.1248331674276633 
2023-05-09 05:45:51,088 INFO used_ofi_7_20: 0.015161102406492306 , std 0.12219346701158847 
2023-05-09 05:45:51,088 INFO used_ofi_8_20: 0.016175525290265558 , std 0.12615021867539328 
2023-05-09 05:45:51,088 INFO used_ofi_9_20: 0.016110240649230646 , std 0.12589956630367924 
2023-05-09 05:45:51,088 INFO used_ofi_10_20: 0.02146860310955767 , std 0.14494034010613457 
2023-05-09 05:45:51,088 INFO used_ofi_1_30: 0.17661504158129446 , std 0.38134258701138024 
2023-05-09 05:45:51,088 INFO used_ofi_2_30: 0.039381704230444736 , std 0.19450137686492222 
2023-05-09 05:45:51,088 INFO used_ofi_3_30: 0.023924309991563215 , std 0.1528134070786684 
2023-05-09 05:45:51,088 INFO used_ofi_4_30: 0.02047928970310554 , std 0.1416329354223862 
2023-05-09 05:45:51,088 INFO used_ofi_5_30: 0.02182013579205335 , std 0.14609591871804528 
2023-05-09 05:45:51,088 INFO used_ofi_6_30: 0.018309830862560765 , std 0.13406931399968144 
