2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,093 INFO used_ofi_5_2: 0.004441206762289935 , std 0.06649422865771527 
2023-05-09 07:30:17,093 INFO used_ofi_6_2: 0.0036976563088748776 , std 0.06069582890690526 
2023-05-09 07:30:17,093 INFO used_ofi_7_2: 0.003285689165766535 , std 0.057226684444169035 
2023-05-09 07:30:17,093 INFO used_ofi_8_2: 0.00277826622120626 , std 0.0526359901399258 
2023-05-09 07:30:17,093 INFO used_ofi_9_2: 0.003371096988118265 , std 0.057963201198820674 
2023-05-09 07:30:17,093 INFO used_ofi_10_2: 0.004360822929488307 , std 0.06589238311721585 
2023-05-09 07:30:17,093 INFO used_ofi_1_3: 0.052460498882162324 , std 0.22295379552543385 
2023-05-09 07:30:17,093 INFO used_ofi_2_3: 0.0173729558642518 , std 0.13065655846068563 
2023-05-09 07:30:17,093 INFO used_ofi_3_3: 0.009741515737647265 , std 0.09821720118584337 
2023-05-09 07:30:17,093 INFO used_ofi_4_3: 0.007505840387851993 , std 0.08631050195615877 
2023-05-09 07:30:17,093 INFO used_ofi_5_3: 0.005953427616870557 , std 0.0769284363319653 
2023-05-09 07:30:17,093 INFO used_ofi_6_3: 0.004571830490592579 , std 0.06746057260769334 
2023-05-09 07:30:17,093 INFO used_ofi_7_3: 0.0037026802984249795 , std 0.06073689535227032 
2023-05-09 07:30:17,093 INFO used_ofi_8_3: 0.003592152528322741 , std 0.05982682482412054 
2023-05-09 07:30:17,093 INFO used_ofi_9_3: 0.003195257353864704 , std 0.056436226701537 
2023-05-09 07:30:17,093 INFO used_ofi_10_3: 0.005295284985807229 , std 0.0725757875790977 
2023-05-09 07:30:17,093 INFO used_ofi_1_5: 0.0798864578361677 , std 0.2711173393395522 
2023-05-09 07:30:17,093 INFO used_ofi_2_5: 0.02709437564369866 , std 0.16235846282894162 
2023-05-09 07:30:17,093 INFO used_ofi_3_5: 0.014840865131000528 , std 0.12091573037931821 
2023-05-09 07:30:17,093 INFO used_ofi_4_5: 0.010691049762616494 , std 0.10284333336483098 
2023-05-09 07:30:17,094 INFO used_ofi_5_5: 0.007807279760858097 , std 0.08801321573260346 
2023-05-09 07:30:17,094 INFO used_ofi_6_5: 0.0059031877213695395 , std 0.07660509184183394 
2023-05-09 07:30:17,094 INFO used_ofi_7_5: 0.005857971815418624 , std 0.07631288214730449 
2023-05-09 07:30:17,094 INFO used_ofi_8_5: 0.004184983295234746 , std 0.06455593861182216 
2023-05-09 07:30:17,094 INFO used_ofi_9_5: 0.004591926448792987 , std 0.06760799257692733 
2023-05-09 07:30:17,094 INFO used_ofi_10_5: 0.0057524680348664875 , std 0.0756265637615139 
2023-05-09 07:30:17,094 INFO used_ofi_1_10: 0.11527041623753423 , std 0.3193480035603164 
2023-05-09 07:30:17,094 INFO used_ofi_2_10: 0.03802155291516993 , std 0.19124830568945927 
2023-05-09 07:30:17,094 INFO used_ofi_3_10: 0.021949810344394485 , std 0.1465196784402682 
2023-05-09 07:30:17,094 INFO used_ofi_4_10: 0.01571503931271823 , std 0.12437072345257928 
2023-05-09 07:30:17,094 INFO used_ofi_5_10: 0.011233640634027481 , std 0.10539186852946962 
2023-05-09 07:30:17,094 INFO used_ofi_6_10: 0.008761837775377427 , std 0.0931937120956956 
