2023-05-09 06:44:42,548 INFO Starting...
2023-05-09 06:44:42,548 INFO Tickers: ['IBM']
2023-05-09 06:46:03,290 INFO used_ofi_3_2: 0.008135470652042906 , std 0.08982919775503206 
2023-05-09 06:46:03,290 INFO used_ofi_4_2: 0.010797075248081637 , std 0.10334649686452317 
2023-05-09 06:46:03,291 INFO used_ofi_5_2: 0.01312723474348158 , std 0.11381964000765028 
2023-05-09 06:46:03,291 INFO used_ofi_6_2: 0.011947089309388936 , std 0.10864785486341835 
2023-05-09 06:46:03,291 INFO used_ofi_7_2: 0.008858623598891165 , std 0.09370244600235542 
2023-05-09 06:46:03,291 INFO used_ofi_8_2: 0.007437427182515769 , std 0.08591921705544427 
2023-05-09 06:46:03,291 INFO used_ofi_9_2: 0.005172552328150737 , std 0.07173421101931267 
2023-05-09 06:46:03,291 INFO used_ofi_10_2: 0.004645253304407216 , std 0.06799760970905602 
2023-05-09 06:46:03,291 INFO used_ofi_1_3: 0.007583062150978265 , std 0.0867499816679673 
2023-05-09 06:46:03,291 INFO used_ofi_2_3: 0.007783937969547226 , std 0.0878825823427684 
2023-05-09 06:46:03,291 INFO used_ofi_3_3: 0.01036519223815837 , std 0.101280575768626 
2023-05-09 06:46:03,291 INFO used_ofi_4_3: 0.015567875939094452 , std 0.12379627287539562 
2023-05-09 06:46:03,291 INFO used_ofi_5_3: 0.01728034229239484 , std 0.1303139749322862 
2023-05-09 06:46:03,291 INFO used_ofi_6_3: 0.01741593346992889 , std 0.13081520833335816 
2023-05-09 06:46:03,291 INFO used_ofi_7_3: 0.012263468723635049 , std 0.11005942058042774 
2023-05-09 06:46:03,291 INFO used_ofi_8_3: 0.008798360853320477 , std 0.09338602518372452 
2023-05-09 06:46:03,291 INFO used_ofi_9_3: 0.006262303643887349 , std 0.07888654636222267 
2023-05-09 06:46:03,291 INFO used_ofi_10_3: 0.00563958860632357 , std 0.07488513635345133 
2023-05-09 06:46:03,291 INFO used_ofi_1_5: 0.011555381463179462 , std 0.10687307716361436 
2023-05-09 06:46:03,291 INFO used_ofi_2_5: 0.011093367080470854 , std 0.10473922038705835 
