2023-05-09 07:35:35,932 INFO Starting...
2023-05-09 07:35:35,932 INFO Tickers: ['SYK']
2023-05-09 07:36:50,725 INFO ofi_8_30: -4.5488722125948965e-07 , std 1.4276544257719869e-05 
2023-05-09 07:36:50,725 INFO ofi_9_30: -4.231302940822727e-07 , std 1.3945983562700497e-05 
2023-05-09 07:36:50,725 INFO ofi_10_30: -4.0324414909806203e-07 , std 1.363526438182031e-05 
2023-05-09 07:36:50,725 INFO used_intercept: 0.9863804723111484 , std 0.11590528958759468 
2023-05-09 07:36:50,725 INFO used_ofi_1_1: 0.018032053633800553 , std 0.13306727124108428 
2023-05-09 07:36:50,725 INFO used_ofi_2_1: 0.011528854803773263 , std 0.10675176959042307 
2023-05-09 07:36:50,725 INFO used_ofi_3_1: 0.007945562094492384 , std 0.08878305095847377 
2023-05-09 07:36:50,725 INFO used_ofi_4_1: 0.006553455389764749 , std 0.08068771661299577 
2023-05-09 07:36:50,725 INFO used_ofi_5_1: 0.005553349850989301 , std 0.07431359334887405 
2023-05-09 07:36:50,725 INFO used_ofi_6_1: 0.004472833816633916 , std 0.06672951052032895 
2023-05-09 07:36:50,725 INFO used_ofi_7_1: 0.003422471718121008 , std 0.058401698652176814 
2023-05-09 07:36:50,725 INFO used_ofi_8_1: 0.003417446062147262 , std 0.0583589506807617 
2023-05-09 07:36:50,725 INFO used_ofi_9_1: 0.004291910201579061 , std 0.06537193364434497 
2023-05-09 07:36:50,725 INFO used_ofi_10_1: 0.005920222737072756 , std 0.07671488577724798 
2023-05-09 07:36:50,725 INFO used_ofi_1_2: 0.025746435553500622 , std 0.1583778917961407 
2023-05-09 07:36:50,726 INFO used_ofi_2_2: 0.01657461340141422 , std 0.12767104445412783 
2023-05-09 07:36:50,726 INFO used_ofi_3_2: 0.010749878127842637 , std 0.10312283087696518 
2023-05-09 07:36:50,726 INFO used_ofi_4_2: 0.010101568507229406 , std 0.0999976340766278 
