2023-04-20 05:08:34,188 INFO Tickers: ['LLY']
2023-04-20 05:08:36,364 INFO Negative OS: -0.03550960526103575 --- ticker LLY --- day 2017-02-10 --- time 36000
2023-04-20 05:08:52,213 INFO Negative OS: -1.6073978011307957 --- ticker LLY --- day 2017-12-28 --- time 50400
2023-04-20 05:08:53,862 INFO Negative OS: -1.08879998738102 --- ticker LLY --- day 2018-01-31 --- time 48600
2023-04-20 05:08:54,907 INFO Negative OS: -0.4474909793061841 --- ticker LLY --- day 2018-02-20 --- time 52200
2023-04-20 05:08:55,887 INFO Negative OS: -5.7420998187440055 --- ticker LLY --- day 2018-03-09 --- time 36000
2023-04-20 05:08:56,315 INFO Negative OS: -0.05837124260556559 --- ticker LLY --- day 2018-03-16 --- time 52200
2023-04-20 05:08:56,371 INFO Negative OS: -1.4699629550885307 --- ticker LLY --- day 2018-03-19 --- time 43200
2023-04-20 05:08:57,010 INFO Negative OS: -1.4064898799543428 --- ticker LLY --- day 2018-03-29 --- time 52200
2023-04-20 05:09:09,396 INFO Negative OS: -1.3694981435612616 --- ticker LLY --- day 2018-11-05 --- time 50400
2023-04-20 05:09:16,377 INFO Negative OS: -4.131772246294841 --- ticker LLY --- day 2019-03-13 --- time 36000
2023-04-20 05:09:20,239 INFO Negative OS: -0.01029440003340687 --- ticker LLY --- day 2019-05-17 --- time 37800
2023-04-20 05:09:26,729 INFO Negative OS: -1.2870917447523027 --- ticker LLY --- day 2019-09-11 --- time 41400
2023-04-20 05:09:29,008 INFO Negative OS: -6.654296742459915 --- ticker LLY --- day 2019-10-23 --- time 41400
2023-04-20 05:09:29,482 INFO Negative OS: -4.3102370059788235 --- ticker LLY --- day 2019-10-31 --- time 43200
2023-04-20 05:09:31,778 INFO p_ofi_cancel_9: 0.40322764993157467 , std 0.30433971592847164 
2023-04-20 05:09:31,778 INFO p_ofi_cancel_10: 0.36838029449221343 , std 0.30650132298882876 
2023-04-20 05:09:31,778 INFO p_ofi_trade_1: 0.3624999660418125 , std 0.3089280085312403 
2023-04-20 05:09:31,778 INFO p_ofi_trade_2: 0.3574560317354584 , std 0.30997036138275885 
2023-04-20 05:09:31,778 INFO p_ofi_trade_3: 0.37452627295495655 , std 0.3064098236092836 
2023-04-20 05:09:31,778 INFO p_ofi_trade_4: 0.39946468618566067 , std 0.31043777922107113 
2023-04-20 05:09:31,778 INFO p_ofi_trade_5: 0.39955767002141895 , std 0.30690967770387606 
2023-04-20 05:09:31,778 INFO p_ofi_trade_6: 0.3872758059690009 , std 0.3072629979332295 
2023-04-20 05:09:31,778 INFO p_ofi_trade_7: 0.39575936100508186 , std 0.30784363983412155 
2023-04-20 05:09:31,778 INFO p_ofi_trade_8: 0.39431611478318496 , std 0.3061610106282077 
2023-04-20 05:09:31,778 INFO p_ofi_trade_9: 0.3946431692035961 , std 0.30680608965194517 
2023-04-20 05:09:31,778 INFO p_ofi_trade_10: 0.3697300279429658 , std 0.30818500158167295 
