2023-04-20 05:12:25,937 INFO Tickers: ['COP']
2023-04-20 05:12:28,141 INFO Negative OS: -0.17572880350683628 --- ticker COP --- day 2018-01-22 --- time 46800
2023-04-20 05:13:47,984 INFO p_ofi_cancel_4: 0.19144650393415769 , std 0.25860111191706 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_5: 0.2429819397574445 , std 0.2875850434300415 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_6: 0.2563653569063404 , std 0.289471692950679 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_7: 0.2767170268742684 , std 0.2978721702584827 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_8: 0.30041194684850336 , std 0.30219837460925264 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_9: 0.3198563144588426 , std 0.3057576823038678 
2023-04-20 05:13:47,984 INFO p_ofi_cancel_10: 0.2769496158751501 , std 0.3004229833256453 
2023-04-20 05:13:47,984 INFO p_ofi_trade_1: 0.3746674090657156 , std 0.3071429832703095 
2023-04-20 05:13:47,984 INFO p_ofi_trade_2: 0.29796270984324386 , std 0.3026978764303294 
2023-04-20 05:13:47,984 INFO p_ofi_trade_3: 0.3097469268341689 , std 0.3049302416250069 
2023-04-20 05:13:47,984 INFO p_ofi_trade_4: 0.291530077161818 , std 0.3018736732182078 
2023-04-20 05:13:47,984 INFO p_ofi_trade_5: 0.3054015048716048 , std 0.30251957837660454 
2023-04-20 05:13:47,984 INFO p_ofi_trade_6: 0.3066619609073532 , std 0.30294265567637346 
2023-04-20 05:13:47,984 INFO p_ofi_trade_7: 0.3257722084461556 , std 0.3089522721894318 
2023-04-20 05:13:47,984 INFO p_ofi_trade_8: 0.3308984030102456 , std 0.30686800205937265 
2023-04-20 05:13:47,984 INFO p_ofi_trade_9: 0.33670314309824384 , std 0.3105809796215532 
2023-04-20 05:13:47,984 INFO p_ofi_trade_10: 0.30677246223746846 , std 0.304413652821838 
