2023-04-20 05:10:45,928 INFO Tickers: ['CAT']
2023-04-20 05:10:54,320 INFO Negative OS: -0.03583093979317087 --- ticker CAT --- day 2017-05-26 --- time 46800
2023-04-20 05:11:04,245 INFO Negative OS: -0.30370878174859106 --- ticker CAT --- day 2017-11-30 --- time 37800
2023-04-20 05:11:24,719 INFO Negative OS: -0.3811451912825987 --- ticker CAT --- day 2018-11-29 --- time 50400
2023-04-20 05:11:33,582 INFO Negative OS: -0.08639767968802259 --- ticker CAT --- day 2019-05-08 --- time 36000
2023-04-20 05:11:39,753 INFO Negative OS: -0.4812889163702154 --- ticker CAT --- day 2019-08-21 --- time 45000
2023-04-20 05:11:40,689 INFO Negative OS: -48.72675371133742 --- ticker CAT --- day 2019-09-06 --- time 52200
2023-04-20 05:11:42,561 INFO Negative OS: -0.21938486052255834 --- ticker CAT --- day 2019-10-10 --- time 39600
2023-04-20 05:11:43,372 INFO Negative OS: -1.3359412500720733 --- ticker CAT --- day 2019-10-24 --- time 41400
2023-04-20 05:11:43,778 INFO Negative OS: -0.3393372166825237 --- ticker CAT --- day 2019-10-31 --- time 36000
2023-04-20 05:11:46,200 INFO Negative OS: -9.132016355875068 --- ticker CAT --- day 2019-12-13 --- time 36000
2023-04-20 05:11:46,282 INFO t_ofi_trade_2: 0.9069826872527313 , std 1.2615370375808392 
2023-04-20 05:11:46,282 INFO t_ofi_trade_3: 0.647316919333732 , std 1.2411710375354799 
2023-04-20 05:11:46,282 INFO t_ofi_trade_4: 0.5632115366623031 , std 1.2261594392468251 
2023-04-20 05:11:46,282 INFO t_ofi_trade_5: 0.4491951998844291 , std 1.225619882770653 
2023-04-20 05:11:46,282 INFO t_ofi_trade_6: 0.5213524884345496 , std 1.2062373599993705 
2023-04-20 05:11:46,282 INFO t_ofi_trade_7: 0.5343637046282439 , std 1.2094452586998397 
2023-04-20 05:11:46,282 INFO t_ofi_trade_8: 0.628855871748456 , std 1.2145818490803233 
2023-04-20 05:11:46,282 INFO t_ofi_trade_9: 0.6216352403357294 , std 1.2204326664617435 
2023-04-20 05:11:46,282 INFO t_ofi_trade_10: 0.8130810852258853 , std 1.2570768671232138 
2023-04-20 05:11:46,282 INFO p_intercept: 0.5133627404139439 , std 0.28305147035084216 
2023-04-20 05:11:46,282 INFO p_ofi_add_1: 0.2009987002426969 , std 0.2687957084209068 
2023-04-20 05:11:46,282 INFO p_ofi_add_2: 0.1714427432962581 , std 0.2483344505112106 
