2023-04-26 11:52:15,747 INFO Experiment: neigh_price_impact
2023-04-26 11:52:15,750 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-26 11:53:46,808 INFO Negative OS: -0.65351490060807 --- ticker GOOG, IBM, CAT, V, TXN ... --- day 2017-01-06 --- time 41400
2023-04-26 11:53:46,820 INFO Negative OS: -0.9672838061341089 --- ticker GOOGL, GOOG, V, NFLX, MA ... --- day 2017-01-06 --- time 41400
2023-04-26 11:53:47,972 INFO Negative OS: -0.4091326970714697 --- ticker AMZN, TMO, ACN, AMGN, CVS ... --- day 2017-01-06 --- time 43200
2023-04-26 11:53:48,024 INFO Negative OS: -0.7534081304857667 --- ticker GOOG, AMGN, SPGI, ABBV, TXN ... --- day 2017-01-06 --- time 43200
2023-04-26 11:53:48,036 INFO Negative OS: -0.13948032282225387 --- ticker GOOGL, ACN, CAT, HD, MCD ... --- day 2017-01-06 --- time 43200
2023-04-26 11:53:49,239 INFO Negative OS: -0.3622470445320345 --- ticker GOOGL, GILD, XOM, AAPL, SYK ... --- day 2017-01-06 --- time 45000
2023-04-26 11:53:50,473 INFO Negative OS: -0.3626569729822291 --- ticker GOOGL, TMO, AAPL, TGT, INTU ... --- day 2017-01-06 --- time 46800
2023-04-26 11:53:51,731 INFO Negative OS: -0.1454922002967889 --- ticker GOOG, DHR, TGT, LOW, TJX ... --- day 2017-01-06 --- time 48600
2023-04-26 11:53:51,743 INFO Negative OS: -0.5753345663040768 --- ticker GOOGL, TGT, MMM, SPGI, XOM ... --- day 2017-01-06 --- time 48600
2023-04-26 11:53:54,401 INFO Negative OS: -0.5453199799508224 --- ticker AMZN, DHR, PNC, BA, AAPL ... --- day 2017-01-06 --- time 52200
