2023-05-09 13:32:18,639 INFO Starting...
2023-05-09 13:32:18,639 INFO Tickers: ['DIS']
2023-05-09 13:33:51,815 INFO ofi_trade_6_5: -5.3438467041052264e-08 , std 2.131931123364665e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_7_5: -2.9569751979793986e-08 , std 1.4053786710194826e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_8_5: -1.0237643715284821e-08 , std 1.0123965059467065e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_9_5: -5.284758728071895e-09 , std 8.490799276645746e-07 
2023-05-09 13:33:51,815 INFO ofi_trade_10_5: -1.2246454532216604e-08 , std 1.0756807792856993e-06 
2023-05-09 13:33:51,815 INFO ofi_add_1_10: -4.7067643277740674e-07 , std 5.013629873527857e-06 
2023-05-09 13:33:51,815 INFO ofi_add_2_10: -2.058739067195274e-07 , std 3.677586327924953e-06 
2023-05-09 13:33:51,815 INFO ofi_add_3_10: -2.101872037483359e-07 , std 3.311343906040982e-06 
2023-05-09 13:33:51,815 INFO ofi_add_4_10: -2.1858799180528208e-07 , std 3.3344670712464536e-06 
2023-05-09 13:33:51,815 INFO ofi_add_5_10: -2.5374623931933907e-07 , std 3.715688786700006e-06 
2023-05-09 13:33:51,815 INFO ofi_add_6_10: -2.407812576324195e-07 , std 3.3419177486226867e-06 
2023-05-09 13:33:51,815 INFO ofi_add_7_10: -2.6263217039857887e-07 , std 3.682119621301138e-06 
2023-05-09 13:33:51,815 INFO ofi_add_8_10: -2.2696184848464573e-07 , std 3.3282134685390394e-06 
2023-05-09 13:33:51,815 INFO ofi_add_9_10: -1.837662574159291e-07 , std 3.0758659844804904e-06 
2023-05-09 13:33:51,815 INFO ofi_add_10_10: -2.076049781296157e-07 , std 3.216459996608622e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_1_10: -3.2283561645121444e-08 , std 1.5244967682753671e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_2_10: -1.4071425228148232e-07 , std 3.0954358292846063e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_3_10: -1.2687438963302034e-07 , std 2.6571748802220633e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_4_10: -1.5522895297110917e-07 , std 2.9772061740160418e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_5_10: -1.6153004389358065e-07 , std 3.1855577713624207e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_6_10: -1.427773853390029e-07 , std 2.8520573164056275e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_7_10: -8.18649605004783e-08 , std 2.1988660829360542e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_8_10: -6.040548203199034e-08 , std 1.945532044252256e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_9_10: -5.0963814570481804e-08 , std 1.624061468151453e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_10_10: -5.776205955377628e-08 , std 1.7206012396023135e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_1_10: -8.087489480538576e-11 , std 3.608932873329874e-08 
2023-05-09 13:33:51,815 INFO ofi_trade_2_10: -1.3593104371656095e-08 , std 1.0658229271633756e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_3_10: -3.4378797273230824e-08 , std 1.6819409970436856e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_4_10: -4.817050262069297e-08 , std 2.0611700769803353e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_5_10: -6.452656453459625e-08 , std 2.118681074441756e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_6_10: -5.53155076994583e-08 , std 2.0113369045039157e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_7_10: -4.1263442843275296e-08 , std 1.9127185383281914e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_8_10: -2.340865782702006e-08 , std 1.276765671869036e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_9_10: -7.0006351625687104e-09 , std 6.820869425250019e-07 
2023-05-09 13:33:51,815 INFO ofi_trade_10_10: -1.0784881671546031e-08 , std 1.0150923494398825e-06 
2023-05-09 13:33:51,815 INFO ofi_add_1_20: -5.173707053701637e-07 , std 4.959815080321218e-06 
2023-05-09 13:33:51,816 INFO ofi_add_2_20: -2.2452252293222804e-07 , std 3.576288648891631e-06 
2023-05-09 13:33:51,816 INFO ofi_add_3_20: -2.2121952153514067e-07 , std 3.2728508910471927e-06 
2023-05-09 13:33:51,816 INFO ofi_add_4_20: -2.5173170501551593e-07 , std 3.4038616905266977e-06 
2023-05-09 13:33:51,816 INFO ofi_add_5_20: -2.434663911177201e-07 , std 3.6681993557426033e-06 
2023-05-09 13:33:51,816 INFO ofi_add_6_20: -2.9395933640166545e-07 , std 3.764330708682015e-06 
2023-05-09 13:33:51,816 INFO ofi_add_7_20: -2.690838275797016e-07 , std 3.4347614355528915e-06 
2023-05-09 13:33:51,816 INFO ofi_add_8_20: -2.3819893676904907e-07 , std 3.76132990514952e-06 
2023-05-09 13:33:51,816 INFO ofi_add_9_20: -2.153324762250931e-07 , std 3.113096061596629e-06 
2023-05-09 13:33:51,816 INFO ofi_add_10_20: -2.6105383385925723e-07 , std 3.608232602342511e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_1_20: -4.595345557043771e-08 , std 1.753503157260041e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_2_20: -1.54722985889254e-07 , std 3.0501634315916873e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_3_20: -1.9032875494111553e-07 , std 3.2805777066879057e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_4_20: -2.1367740430801972e-07 , std 3.402021534262775e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_5_20: -1.9135330798685623e-07 , std 3.1996220085848276e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_6_20: -1.4014335910189173e-07 , std 2.75752310050352e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_7_20: -8.499597997230175e-08 , std 2.276323782879353e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_8_20: -4.910381674084213e-08 , std 1.7933540214239248e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_9_20: -4.7562769074431256e-08 , std 1.5859031019168107e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_10_20: -5.928681154978411e-08 , std 1.7317724631401433e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_1_20: -4.132407476119508e-10 , std 1.2209866797275884e-07 
2023-05-09 13:33:51,816 INFO ofi_trade_2_20: -1.6495554793527574e-08 , std 1.5524680327445011e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_3_20: -3.9499973582279536e-08 , std 1.7232748803874081e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_4_20: -7.038625827554417e-08 , std 2.7689655894775378e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_5_20: -9.133646525145908e-08 , std 2.701976843808413e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_6_20: -6.232936111487481e-08 , std 2.153428869234365e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_7_20: -4.352373770594444e-08 , std 1.9496030669818626e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_8_20: -9.491183685005098e-09 , std 1.020569726930461e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_9_20: -1.5619116710468667e-08 , std 1.1248073049162093e-06 
2023-05-09 13:33:51,816 INFO ofi_trade_10_20: -1.3774351786075739e-08 , std 1.0866292922809922e-06 
2023-05-09 13:33:51,816 INFO ofi_add_1_30: -5.792439749835515e-07 , std 5.1368589510755305e-06 
2023-05-09 13:33:51,816 INFO ofi_add_2_30: -2.820903195746811e-07 , std 4.1001776031162835e-06 
2023-05-09 13:33:51,816 INFO ofi_add_3_30: -2.540730735471603e-07 , std 3.550129820967749e-06 
2023-05-09 13:33:51,816 INFO ofi_add_4_30: -2.792435800533621e-07 , std 3.7490168143445186e-06 
2023-05-09 13:33:51,816 INFO ofi_add_5_30: -2.2279321512866998e-07 , std 3.2304116903511484e-06 
2023-05-09 13:33:51,816 INFO ofi_add_6_30: -2.672851707916288e-07 , std 3.378234806598773e-06 
2023-05-09 13:33:51,816 INFO ofi_add_7_30: -3.07854958864643e-07 , std 3.712941063310792e-06 
2023-05-09 13:33:51,816 INFO ofi_add_8_30: -2.697053482489304e-07 , std 3.26454370123611e-06 
2023-05-09 13:33:51,816 INFO ofi_add_9_30: -2.3152716346593182e-07 , std 3.20237723253863e-06 
2023-05-09 13:33:51,816 INFO ofi_add_10_30: -2.625624207695921e-07 , std 3.5291685501232137e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_1_30: -5.123404401216146e-08 , std 2.2462884245246013e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_2_30: -1.613970579935506e-07 , std 2.993648306455616e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_3_30: -1.9379129463055607e-07 , std 3.6037205158095415e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_4_30: -1.7899027504832252e-07 , std 2.905659513484907e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_5_30: -1.7213641475704546e-07 , std 3.0974737670284974e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_6_30: -1.5859667223155427e-07 , std 2.9652490218603782e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_7_30: -8.913010649609913e-08 , std 2.206660914839514e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_8_30: -5.6155578716765144e-08 , std 1.8130316287487657e-06 
2023-05-09 13:33:51,816 INFO ofi_cancel_9_30: -6.266917313804752e-08 , std 2.0086050047973706e-06 
2023-05-09 13:33:51,817 INFO ofi_cancel_10_30: -4.971016224550308e-08 , std 2.03841457601794e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_1_30: -3.6358674181971055e-09 , std 6.702895876792364e-07 
2023-05-09 13:33:51,817 INFO ofi_trade_2_30: -9.101370121532106e-09 , std 8.645023658973662e-07 
2023-05-09 13:33:51,817 INFO ofi_trade_3_30: -3.862194473392995e-08 , std 1.767651693482494e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_4_30: -4.9730603608588924e-08 , std 1.8402772537865514e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_5_30: -8.845821400037601e-08 , std 2.7937572214608007e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_6_30: -5.540654859417888e-08 , std 2.1540614723067494e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_7_30: -4.1044417755335785e-08 , std 1.630102597821265e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_8_30: -1.9243341517407292e-08 , std 1.3155203372248709e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_9_30: -1.1784416076291818e-08 , std 1.0778558590897577e-06 
2023-05-09 13:33:51,817 INFO ofi_trade_10_30: -8.13824147681528e-09 , std 9.100451562395656e-07 
2023-05-09 13:33:51,817 INFO used_intercept: 0.9862500502189546 , std 0.11645122868421826 
2023-05-09 13:33:51,817 INFO used_ofi_add_1_1: 0.006161865734602869 , std 0.07825533301489168 
2023-05-09 13:33:51,817 INFO used_ofi_add_2_1: 0.003490217347635692 , std 0.05897487372179745 
2023-05-09 13:33:51,817 INFO used_ofi_add_3_1: 0.0035605238841348277 , std 0.05956380237867067 
2023-05-09 13:33:51,817 INFO used_ofi_add_4_1: 0.004494596440480495 , std 0.0668909189899325 
2023-05-09 13:33:51,817 INFO used_ofi_add_5_1: 0.004941545136796432 , std 0.07012222378431418 
2023-05-09 13:33:51,817 INFO used_ofi_add_6_1: 0.0056144791290024506 , std 0.07471918597731407 
2023-05-09 13:33:51,817 INFO used_ofi_add_7_1: 0.005579325860752883 , std 0.07448622009266155 
2023-05-09 13:33:51,817 INFO used_ofi_add_8_1: 0.003605720943312844 , std 0.059939300294479574 
2023-05-09 13:33:51,817 INFO used_ofi_add_9_1: 0.0029227431601783777 , std 0.0539833375459318 
2023-05-09 13:33:51,817 INFO used_ofi_add_10_1: 0.003590655256920172 , std 0.05981440003666444 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_1_1: 0.0006428026194206742 , std 0.025345402427524012 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_2_1: 0.0012253424932706601 , std 0.03498343935414077 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_3_1: 0.0018681451126913342 , std 0.04318165289251051 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_4_1: 0.002621429432324937 , std 0.051132744303980765 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_5_1: 0.0026415170141818327 , std 0.05132776443646869 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_6_1: 0.0022899843316861518 , std 0.04779895713764876 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_7_1: 0.001807882367120646 , std 0.04248074773903234 
