2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,939 INFO ofi_cancel_4_3: -7.245694595466344e-08 , std 2.4726744051074676e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_5_3: -6.648050242399258e-08 , std 2.503650186982977e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_6_3: -6.685058506976039e-08 , std 2.4826904667354765e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_7_3: -8.112527533141634e-08 , std 2.7168024994238958e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_8_3: -7.382957850000601e-08 , std 2.4029557826143276e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_9_3: -7.345297104511525e-08 , std 2.4372564756161793e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_10_3: -9.267974306689512e-08 , std 2.6037146388216483e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_1_3: -1.9639485399117148e-10 , std 7.147029485259893e-08 
2023-05-09 13:32:17,939 INFO ofi_trade_2_3: -1.9354617987896578e-09 , std 3.6670497170076253e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_3_3: -1.4326781548031199e-09 , std 3.921104092016451e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_4_3: -5.523771396918885e-09 , std 9.665912667738108e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_5_3: -8.833617977754565e-09 , std 1.2768537168484452e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_6_3: -6.718436595956871e-09 , std 6.861817997303759e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_7_3: -3.988262431924835e-09 , std 9.516992407452788e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_8_3: -1.3009974006555456e-08 , std 1.0325154523680013e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_9_3: -9.810390917149893e-09 , std 8.970397618677199e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_10_3: -9.459617457662857e-09 , std 1.0168493280392612e-06 
2023-05-09 13:32:17,940 INFO ofi_add_1_5: -6.468024466538195e-08 , std 2.5428949864104993e-06 
2023-05-09 13:32:17,940 INFO ofi_add_2_5: -1.3017444726446372e-07 , std 3.3883324896531363e-06 
2023-05-09 13:32:17,940 INFO ofi_add_3_5: -1.4737893567064904e-07 , std 3.0268848699481143e-06 
2023-05-09 13:32:17,940 INFO ofi_add_4_5: -1.7129221761370167e-07 , std 3.2314280921358822e-06 
2023-05-09 13:32:17,940 INFO ofi_add_5_5: -2.20125137228059e-07 , std 3.2574478294848155e-06 
2023-05-09 13:32:17,940 INFO ofi_add_6_5: -2.433861144490979e-07 , std 3.2952723591080533e-06 
2023-05-09 13:32:17,940 INFO ofi_add_7_5: -2.112469220357322e-07 , std 3.1453116844462265e-06 
2023-05-09 13:32:17,940 INFO ofi_add_8_5: -1.8720737693237163e-07 , std 2.9681010371704458e-06 
2023-05-09 13:32:17,940 INFO ofi_add_9_5: -1.5475149367415124e-07 , std 2.802229306661755e-06 
2023-05-09 13:32:17,940 INFO ofi_add_10_5: -2.1448495697314088e-07 , std 2.992470492651926e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_1_5: -1.7593152599751776e-08 , std 1.1065766720538256e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_2_5: -6.780283315987859e-08 , std 2.3104371348053638e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_3_5: -6.141228971838434e-08 , std 2.0974334300290125e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_4_5: -9.556853259368551e-08 , std 2.702985923987403e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_5_5: -9.735245523855557e-08 , std 2.377479849707764e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_6_5: -9.983061092515681e-08 , std 2.534337833386463e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_7_5: -1.0775988688635738e-07 , std 2.7144018127397613e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_8_5: -9.239371802312296e-08 , std 2.7389173516811023e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_9_5: -9.833356470303938e-08 , std 2.439486508518535e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_10_5: -1.2564247724022534e-07 , std 3.0564853320724328e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_1_5: -1.7464865899000852e-09 , std 4.1332280463660355e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_2_5: -2.0535041307140665e-09 , std 6.476785622425205e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_3_5: -1.4735661804865731e-09 , std 2.564965513412117e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_4_5: -1.2461072102017364e-08 , std 1.4891755739673892e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_5_5: -1.3098729839988646e-08 , std 8.978388824246932e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_6_5: -1.5826885143367754e-08 , std 1.6663726572948175e-06 
