2023-05-09 14:38:20,940 INFO Starting...
2023-05-09 14:38:20,940 INFO Tickers: ['MMM']
2023-05-09 14:39:53,675 INFO ofi_add_7_20: -2.262841445980158e-07 , std 2.8268786385568973e-06 
2023-05-09 14:39:53,675 INFO ofi_add_8_20: -1.8538783056055824e-07 , std 2.537114071077501e-06 
2023-05-09 14:39:53,675 INFO ofi_add_9_20: -1.8575239072068194e-07 , std 2.5536869899086113e-06 
2023-05-09 14:39:53,675 INFO ofi_add_10_20: -2.2499977555565718e-07 , std 3.1811237128578266e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_1_20: -3.440875404337246e-08 , std 1.3246373977290226e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_2_20: -9.611573540115556e-08 , std 2.0570781232464024e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_3_20: -1.0143686953864184e-07 , std 2.2169141382039276e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_4_20: -1.1806461513708486e-07 , std 2.313131645847787e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_5_20: -1.4641090504683867e-07 , std 2.5690942997101807e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_6_20: -1.1298714401384135e-07 , std 2.285122495152265e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_7_20: -1.2177861366807463e-07 , std 2.255560469972314e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_8_20: -1.282128128891476e-07 , std 2.5469127198530204e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_9_20: -1.1125565281182603e-07 , std 2.1449336848296393e-06 
2023-05-09 14:39:53,675 INFO ofi_cancel_10_20: -1.0892476800314896e-07 , std 2.3019940129419845e-06 
2023-05-09 14:39:53,675 INFO ofi_trade_1_20: -1.4567096820853536e-09 , std 4.194949772931924e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_2_20: -2.7331512941087384e-09 , std 3.483399260903133e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_3_20: -3.8000638140431815e-09 , std 5.040170394711878e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_4_20: -4.8667841163365835e-09 , std 9.67950701709213e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_5_20: -1.2371782109964577e-08 , std 1.006436265021328e-06 
2023-05-09 14:39:53,675 INFO ofi_trade_6_20: -1.5031433434556555e-08 , std 9.31588133348856e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_7_20: -1.096355316798527e-08 , std 8.273353457103398e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_8_20: -1.1665563353053353e-08 , std 9.601931536686848e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_9_20: -1.0234838533206757e-08 , std 8.058936359968547e-07 
2023-05-09 14:39:53,675 INFO ofi_trade_10_20: -6.812660283452841e-09 , std 7.525708938147814e-07 
2023-05-09 14:39:53,675 INFO ofi_add_1_30: -1.1100182709098006e-07 , std 2.733776608513073e-06 
2023-05-09 14:39:53,675 INFO ofi_add_2_30: -2.2901179270135567e-07 , std 3.2434918867951373e-06 
2023-05-09 14:39:53,676 INFO ofi_add_3_30: -2.3281366673645138e-07 , std 2.970220611654651e-06 
2023-05-09 14:39:53,676 INFO ofi_add_4_30: -2.513976738004286e-07 , std 3.0110803625748613e-06 
2023-05-09 14:39:53,676 INFO ofi_add_5_30: -2.7705327070567703e-07 , std 2.9795394852698672e-06 
2023-05-09 14:39:53,676 INFO ofi_add_6_30: -2.8562754087953066e-07 , std 3.050495730494481e-06 
2023-05-09 14:39:53,676 INFO ofi_add_7_30: -2.4401362077354265e-07 , std 3.0342305901346807e-06 
2023-05-09 14:39:53,676 INFO ofi_add_8_30: -2.2430906749111865e-07 , std 2.744953538938017e-06 
