2023-05-09 15:02:25,297 INFO Starting...
2023-05-09 15:02:25,297 INFO Tickers: ['CHTR']
2023-05-09 15:04:03,136 INFO ofi_trade_1_3: -7.7882414698286e-09 , std 1.1116857226201052e-06 
2023-05-09 15:04:03,136 INFO ofi_trade_2_3: -4.754099192410979e-09 , std 9.75676297056913e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_3_3: -4.985206541994918e-09 , std 8.552596854948421e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_4_3: -2.352962234416255e-09 , std 4.776182416214312e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_5_3: -1.961973584147448e-09 , std 4.469581133319152e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_6_3: -4.94089277799943e-09 , std 8.592293058385633e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_7_3: -9.705293432420555e-10 , std 2.43047824736018e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_8_3: -3.301967297817555e-09 , std 8.4879155881553e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_9_3: -3.223886950950133e-09 , std 6.633378378609024e-07 
2023-05-09 15:04:03,136 INFO ofi_trade_10_3: -3.0403971569205987e-10 , std 1.8733179796397016e-07 
2023-05-09 15:04:03,136 INFO ofi_add_1_5: -9.195847566846104e-08 , std 2.6601967866656895e-06 
2023-05-09 15:04:03,136 INFO ofi_add_2_5: -1.60185496451416e-07 , std 2.9475653027868166e-06 
2023-05-09 15:04:03,136 INFO ofi_add_3_5: -1.418434326455184e-07 , std 2.9697631831346917e-06 
2023-05-09 15:04:03,136 INFO ofi_add_4_5: -1.3825509997972238e-07 , std 2.5240624893613175e-06 
2023-05-09 15:04:03,136 INFO ofi_add_5_5: -1.3408271629029786e-07 , std 2.349141919810459e-06 
2023-05-09 15:04:03,136 INFO ofi_add_6_5: -1.1698905579183429e-07 , std 2.331035962379356e-06 
2023-05-09 15:04:03,136 INFO ofi_add_7_5: -1.0886339959822846e-07 , std 2.322397395135522e-06 
2023-05-09 15:04:03,136 INFO ofi_add_8_5: -8.756402342407217e-08 , std 1.9948519041033916e-06 
2023-05-09 15:04:03,136 INFO ofi_add_9_5: -7.091433791147241e-08 , std 2.276541125510338e-06 
