2023-05-09 13:15:11,257 INFO Starting...
2023-05-09 13:15:11,257 INFO Tickers: ['BRK.B']
2023-05-09 13:16:45,761 INFO ofi_add_10_3: -1.1231286101361127e-07 , std 2.237960708650526e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_1_3: -2.0444606368845035e-08 , std 1.05010024989927e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_2_3: -6.975557670991899e-08 , std 2.0322958100949976e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_3_3: -8.291941359810056e-08 , std 1.9365838284237363e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_4_3: -8.98441702298342e-08 , std 2.2802473878121147e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_5_3: -1.0631261533382708e-07 , std 2.23053963770287e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_6_3: -8.02203975340231e-08 , std 2.0421648265697887e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_7_3: -6.811711732559718e-08 , std 1.9699948059041834e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_8_3: -4.732075774899693e-08 , std 1.6103315672772507e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_9_3: -5.312282120364199e-08 , std 1.6403676199402855e-06 
2023-05-09 13:16:45,761 INFO ofi_cancel_10_3: -5.6794816100114504e-08 , std 1.807957606830171e-06 
2023-05-09 13:16:45,761 INFO ofi_trade_1_3: 0.0 , std 0.0 
2023-05-09 13:16:45,761 INFO ofi_trade_2_3: -1.8198894976450564e-09 , std 4.704781066379803e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_3_3: -4.1846221708189073e-10 , std 2.0842057785826652e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_4_3: -5.025615942900255e-10 , std 4.990275514809118e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_5_3: -6.060273445958432e-09 , std 8.241545656169854e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_6_3: -2.418604963480659e-09 , std 5.093259715973388e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_7_3: -1.8227354479051523e-09 , std 3.757791082480921e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_8_3: -2.6576308382912277e-09 , std 4.496302004489491e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_9_3: -2.5209637316514134e-09 , std 3.5221202739480846e-07 
2023-05-09 13:16:45,761 INFO ofi_trade_10_3: -1.729561179824271e-10 , std 7.71793300420756e-08 
2023-05-09 13:16:45,761 INFO ofi_add_1_5: -8.47824291355445e-08 , std 2.1961949380694977e-06 
2023-05-09 13:16:45,761 INFO ofi_add_2_5: -9.941891716884365e-08 , std 2.1051736032090992e-06 
2023-05-09 13:16:45,761 INFO ofi_add_3_5: -1.1323998986117506e-07 , std 2.2396550411920658e-06 
2023-05-09 13:16:45,762 INFO ofi_add_4_5: -1.4380108663529033e-07 , std 2.3364179930429883e-06 
2023-05-09 13:16:45,762 INFO ofi_add_5_5: -1.6151160939398343e-07 , std 2.567194991576874e-06 
2023-05-09 13:16:45,762 INFO ofi_add_6_5: -1.94662807533773e-07 , std 2.5312452523075274e-06 
2023-05-09 13:16:45,762 INFO ofi_add_7_5: -1.5382211073183434e-07 , std 2.1813196111072245e-06 
2023-05-09 13:16:45,762 INFO ofi_add_8_5: -1.538396633501492e-07 , std 2.2633718994618164e-06 
2023-05-09 13:16:45,762 INFO ofi_add_9_5: -1.3655017149495613e-07 , std 2.1812331971227444e-06 
2023-05-09 13:16:45,762 INFO ofi_add_10_5: -1.4117149570692177e-07 , std 2.302304659516371e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_1_5: -2.9741825236630297e-08 , std 1.4025321662212057e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_2_5: -1.0010928399381848e-07 , std 2.579476316668155e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_3_5: -1.0667984697464705e-07 , std 2.2139449642640944e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_4_5: -1.39703157185076e-07 , std 2.5405858775975277e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_5_5: -1.1597087596366657e-07 , std 2.3226782770845763e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_6_5: -9.693979136910812e-08 , std 1.9931304555332734e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_7_5: -7.726104110431617e-08 , std 1.7781445257280543e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_8_5: -6.890327978687643e-08 , std 1.9699137853386153e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_9_5: -5.665255754628014e-08 , std 1.6012609934823004e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_10_5: -7.907848018067534e-08 , std 1.766272513469798e-06 
2023-05-09 13:16:45,762 INFO ofi_trade_1_5: 0.0 , std 0.0 
2023-05-09 13:16:45,762 INFO ofi_trade_2_5: -2.1902043518267145e-09 , std 4.359979208383287e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_3_5: -7.217307208136934e-10 , std 2.973142814453736e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_4_5: -1.2393720292909073e-09 , std 2.159976205602245e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_5_5: -4.091162998071005e-09 , std 7.863560836134631e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_6_5: -5.02135573828978e-09 , std 8.255808013241806e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_7_5: -2.2743661533203728e-09 , std 3.886517859539912e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_8_5: -2.0535768821418117e-09 , std 6.7010826191631e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_9_5: -4.4337996875244263e-10 , std 1.0245856529449883e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_10_5: -9.778717669102328e-10 , std 2.9467278066706407e-07 
2023-05-09 13:16:45,762 INFO ofi_add_1_10: -8.026660287225487e-08 , std 1.9171102007234292e-06 
2023-05-09 13:16:45,762 INFO ofi_add_2_10: -1.0282218853922878e-07 , std 2.010893152076395e-06 
2023-05-09 13:16:45,762 INFO ofi_add_3_10: -1.3484421485149056e-07 , std 2.255414090931153e-06 
2023-05-09 13:16:45,762 INFO ofi_add_4_10: -1.3870262717350728e-07 , std 2.1077228588672155e-06 
2023-05-09 13:16:45,762 INFO ofi_add_5_10: -2.000762856556076e-07 , std 2.625058025315737e-06 
2023-05-09 13:16:45,762 INFO ofi_add_6_10: -1.7702958906248002e-07 , std 2.2644300088025102e-06 
2023-05-09 13:16:45,762 INFO ofi_add_7_10: -1.712036630747076e-07 , std 2.2191201541431186e-06 
2023-05-09 13:16:45,762 INFO ofi_add_8_10: -1.5026568642509384e-07 , std 2.015797019564073e-06 
2023-05-09 13:16:45,762 INFO ofi_add_9_10: -1.543786325344234e-07 , std 2.2818370465867997e-06 
2023-05-09 13:16:45,762 INFO ofi_add_10_10: -1.668840331819142e-07 , std 2.4493295920119103e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_1_10: -2.8894957036411357e-08 , std 1.8880792434825345e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_2_10: -9.980562941874e-08 , std 2.0902080575658204e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_3_10: -1.1407984219410382e-07 , std 2.1457866882330495e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_4_10: -1.3648568594456547e-07 , std 2.239137773080293e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_5_10: -1.400187291391767e-07 , std 2.1901029992031392e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_6_10: -9.642626389699105e-08 , std 1.8882040630395912e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_7_10: -8.536510853088878e-08 , std 2.1636284405121375e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_8_10: -6.751396854347517e-08 , std 1.7751707708042798e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_9_10: -6.629601061436275e-08 , std 1.6473734464510092e-06 
2023-05-09 13:16:45,762 INFO ofi_cancel_10_10: -8.209111726836203e-08 , std 1.7854197749230362e-06 
2023-05-09 13:16:45,762 INFO ofi_trade_1_10: -8.830304241087957e-10 , std 2.7579625508270683e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_2_10: -4.6020133453401563e-10 , std 1.1434504487244679e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_3_10: -2.1485723182024713e-09 , std 4.543727696765868e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_4_10: -4.7107262022254405e-09 , std 7.264149232751595e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_5_10: -2.3203116512232487e-09 , std 3.1211280376969356e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_6_10: -2.4960166460775434e-09 , std 3.716285072313376e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_7_10: -2.4887189981680135e-09 , std 4.978019974785338e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_8_10: -1.959479073091627e-09 , std 5.931766700448473e-07 
2023-05-09 13:16:45,762 INFO ofi_trade_9_10: -8.670405895797651e-10 , std 2.0755144825834324e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_10_10: -2.1198260888100014e-10 , std 8.609659844696981e-08 
2023-05-09 13:16:45,763 INFO ofi_add_1_20: -1.0237459581707591e-07 , std 2.1657797872479754e-06 
2023-05-09 13:16:45,763 INFO ofi_add_2_20: -1.3102515426253919e-07 , std 2.088835357709379e-06 
2023-05-09 13:16:45,763 INFO ofi_add_3_20: -1.3665862577973917e-07 , std 2.079449286747295e-06 
2023-05-09 13:16:45,763 INFO ofi_add_4_20: -1.798249373627785e-07 , std 2.3090132427806313e-06 
2023-05-09 13:16:45,763 INFO ofi_add_5_20: -2.1569922505142165e-07 , std 2.4705391094007857e-06 
2023-05-09 13:16:45,763 INFO ofi_add_6_20: -2.2253103993962178e-07 , std 2.4214793747323616e-06 
2023-05-09 13:16:45,763 INFO ofi_add_7_20: -1.892872987215905e-07 , std 2.435224980895723e-06 
2023-05-09 13:16:45,763 INFO ofi_add_8_20: -1.8680765469804753e-07 , std 2.2385947724156434e-06 
2023-05-09 13:16:45,763 INFO ofi_add_9_20: -1.6451153592818727e-07 , std 2.209341633008264e-06 
2023-05-09 13:16:45,763 INFO ofi_add_10_20: -1.7009936677028242e-07 , std 2.3060321892441083e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_1_20: -4.085607293367565e-08 , std 1.4918129828341154e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_2_20: -1.4897873942401313e-07 , std 2.7354341648694145e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_3_20: -1.3485942401519993e-07 , std 2.1825234203019826e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_4_20: -1.520222030848552e-07 , std 2.4506328932779844e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_5_20: -1.4767559281905082e-07 , std 2.185857456495549e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_6_20: -1.1318913631265196e-07 , std 1.9032277617342031e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_7_20: -9.519159651249192e-08 , std 1.8167716604716464e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_8_20: -8.504481087386255e-08 , std 1.601747292463631e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_9_20: -7.908486990494868e-08 , std 1.7617748393697717e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_10_20: -9.184928699479784e-08 , std 1.6894699886295929e-06 
2023-05-09 13:16:45,763 INFO ofi_trade_1_20: -1.2123855042277937e-10 , std 2.9774828280828478e-08 
2023-05-09 13:16:45,763 INFO ofi_trade_2_20: -2.686704391268153e-09 , std 4.893974605658722e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_3_20: -5.341676037387873e-10 , std 1.3930794251985183e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_4_20: -3.415593219510722e-09 , std 7.40853616254274e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_5_20: -5.9453776426023245e-09 , std 8.61587701851587e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_6_20: -3.8379763633937044e-09 , std 1.0028748787223523e-06 
2023-05-09 13:16:45,763 INFO ofi_trade_7_20: -8.201110307105998e-09 , std 9.823490848293508e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_8_20: -1.7103467388713027e-09 , std 2.912925598775711e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_9_20: -1.63882062980548e-09 , std 4.615257752464879e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_10_20: -7.683060614298608e-10 , std 1.386621041293048e-07 
2023-05-09 13:16:45,763 INFO ofi_add_1_30: -1.050291516427611e-07 , std 2.532852843619776e-06 
2023-05-09 13:16:45,763 INFO ofi_add_2_30: -1.3443639990986457e-07 , std 2.429058512115833e-06 
2023-05-09 13:16:45,763 INFO ofi_add_3_30: -1.4940857861079984e-07 , std 2.164072436180689e-06 
2023-05-09 13:16:45,763 INFO ofi_add_4_30: -1.921977897109379e-07 , std 2.341423183119926e-06 
