2023-05-09 15:33:46,005 INFO Starting...
2023-05-09 15:33:46,005 INFO Tickers: ['MS']
2023-05-09 15:35:14,056 INFO ofi_cancel_2_5: -7.903491688520575e-08 , std 5.212504266915005e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_3_5: -2.7732844455628616e-07 , std 6.341560052902283e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_4_5: -3.5407969483543787e-07 , std 7.217002085862764e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_5_5: -1.1372688228764751e-07 , std 4.65529435661111e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_6_5: -6.424315839246364e-08 , std 3.2993922565193595e-06 
2023-05-09 15:35:14,056 INFO ofi_cancel_7_5: -2.572341718401088e-08 , std 2.495627097340737e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_8_5: -2.0846038719495437e-08 , std 1.7198693013717958e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_9_5: -1.0485206286256499e-08 , std 1.888672854959976e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_10_5: -1.0111998089540388e-08 , std 1.2923475150465497e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_1_5: -1.1212979637814449e-09 , std 5.164457422566772e-07 
2023-05-09 15:35:14,057 INFO ofi_trade_2_5: -3.979490511017686e-08 , std 3.352178016799286e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_3_5: -4.8473063333743346e-08 , std 3.818364555048061e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_4_5: -7.416984537874754e-08 , std 4.683846715948103e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_5_5: -2.960753219529529e-08 , std 3.0742887916332122e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_6_5: -1.315222215075897e-09 , std 1.7442955662068247e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_7_5: -3.6971268468715213e-09 , std 1.925180835365101e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_8_5: 8.925700324446805e-10 , std 6.192582404741008e-07 
2023-05-09 15:35:14,057 INFO ofi_trade_9_5: -1.3489592836530963e-09 , std 4.002280594528569e-07 
2023-05-09 15:35:14,057 INFO ofi_trade_10_5: -2.6973394330950785e-11 , std 8.822354914750527e-07 
2023-05-09 15:35:14,057 INFO ofi_add_1_10: -2.7177292717935392e-06 , std 1.3426544594436451e-05 
2023-05-09 15:35:14,057 INFO ofi_add_2_10: -7.317929082542145e-07 , std 9.717384179070523e-06 
2023-05-09 15:35:14,057 INFO ofi_add_3_10: -2.2538986011900602e-07 , std 6.50762570857129e-06 
2023-05-09 15:35:14,057 INFO ofi_add_4_10: -3.6895992231916363e-07 , std 7.72227777597663e-06 
2023-05-09 15:35:14,057 INFO ofi_add_5_10: -2.9030201354462715e-07 , std 6.4625476499219106e-06 
2023-05-09 15:35:14,057 INFO ofi_add_6_10: -2.5172235362757406e-07 , std 5.5921494052853186e-06 
2023-05-09 15:35:14,057 INFO ofi_add_7_10: -1.9222672986538144e-07 , std 5.030534781118115e-06 
2023-05-09 15:35:14,057 INFO ofi_add_8_10: -1.421164957928347e-07 , std 5.2055451696476255e-06 
2023-05-09 15:35:14,057 INFO ofi_add_9_10: -1.1030662648445888e-07 , std 4.231769653828863e-06 
2023-05-09 15:35:14,057 INFO ofi_add_10_10: -1.0763145247639729e-07 , std 3.985138146868572e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_1_10: -1.4621456860324928e-07 , std 6.337778170482218e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_2_10: -1.6549099833866617e-07 , std 5.3949107248457685e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_3_10: -3.561041950922451e-07 , std 6.9292466466538684e-06 
