2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,656 INFO ofi_trade_1_3: 6.933947723428662e-10 , std 3.093854124527322e-07 
2023-05-09 13:47:12,656 INFO ofi_trade_2_3: -2.891911242647149e-08 , std 2.854430656553114e-06 
2023-05-09 13:47:12,656 INFO ofi_trade_3_3: -3.053238633099337e-08 , std 2.6046791026121897e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_4_3: -4.18448398675179e-08 , std 3.2280027525466743e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_5_3: -2.4701797400535606e-08 , std 2.309257696884035e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_6_3: -1.4344941376237973e-08 , std 2.108739639337666e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_7_3: -4.795397688852144e-10 , std 2.7019596586630025e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_8_3: -4.981284583375593e-09 , std 1.2057955350175414e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_9_3: -3.2222402442505264e-09 , std 8.173796050473731e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_10_3: -7.359246068381989e-09 , std 1.0625981460927322e-06 
2023-05-09 13:47:12,657 INFO ofi_add_1_5: -1.3606106348429894e-06 , std 8.704400106157624e-06 
2023-05-09 13:47:12,657 INFO ofi_add_2_5: -3.507969308645315e-07 , std 6.333873325738325e-06 
2023-05-09 13:47:12,657 INFO ofi_add_3_5: -9.87941497217808e-08 , std 4.794599686809982e-06 
2023-05-09 13:47:12,657 INFO ofi_add_4_5: -1.5972051572693243e-07 , std 6.1156943535750895e-06 
2023-05-09 13:47:12,657 INFO ofi_add_5_5: -1.3430979073325649e-07 , std 4.4746526903400785e-06 
2023-05-09 13:47:12,657 INFO ofi_add_6_5: -5.651344873404658e-08 , std 2.7130708695918643e-06 
2023-05-09 13:47:12,657 INFO ofi_add_7_5: -6.369106910369062e-08 , std 3.140596751145924e-06 
2023-05-09 13:47:12,657 INFO ofi_add_8_5: -2.0398485001188395e-08 , std 1.9779815511396237e-06 
2023-05-09 13:47:12,657 INFO ofi_add_9_5: -3.2236951264342215e-08 , std 2.485463940348083e-06 
2023-05-09 13:47:12,657 INFO ofi_add_10_5: -3.8249827805081764e-08 , std 2.538769352744093e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_1_5: -5.514827297617371e-08 , std 4.289794260444944e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_2_5: -1.0720835508617112e-08 , std 3.1443587334496585e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_3_5: -1.2178680242839305e-07 , std 4.315371019112278e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_4_5: -1.7628834491189452e-07 , std 4.944774556056588e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_5_5: -1.8124939831479833e-08 , std 1.8941280926707172e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_6_5: -5.386267166822894e-09 , std 8.3831742888991e-07 
2023-05-09 13:47:12,657 INFO ofi_cancel_7_5: -8.271075360220923e-09 , std 1.1875209221431176e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_8_5: -2.2882316965583295e-10 , std 1.0022605896534115e-07 
2023-05-09 13:47:12,657 INFO ofi_cancel_9_5: -3.754198693647725e-09 , std 6.127770162940968e-07 
2023-05-09 13:47:12,657 INFO ofi_cancel_10_5: -8.442990682870206e-09 , std 1.0631761483540993e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_1_5: 0.0 , std 0.0 
2023-05-09 13:47:12,657 INFO ofi_trade_2_5: -1.70553268592424e-08 , std 2.366919404758799e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_3_5: -3.912485686259848e-08 , std 2.3219047093349594e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_4_5: -6.246169794649792e-08 , std 3.0606912389888288e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_5_5: -1.9315385351285082e-08 , std 2.1356949582577414e-06 
2023-05-09 13:47:12,657 INFO ofi_trade_6_5: -3.0507077609485194e-09 , std 7.425218096404375e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_7_5: -3.202988204351731e-09 , std 7.603126972012351e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_8_5: -6.955886867831131e-10 , std 8.216602126201484e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_9_5: -8.228383961648185e-10 , std 7.006802757970966e-07 
2023-05-09 13:47:12,657 INFO ofi_trade_10_5: -4.864613309060082e-09 , std 5.550439444876854e-07 
2023-05-09 13:47:12,657 INFO ofi_add_1_10: -1.8326401793159714e-06 , std 9.36235339985553e-06 
2023-05-09 13:47:12,657 INFO ofi_add_2_10: -3.8047718442317113e-07 , std 6.214482947800439e-06 
2023-05-09 13:47:12,657 INFO ofi_add_3_10: -9.444762086998019e-08 , std 3.9962327372508814e-06 
2023-05-09 13:47:12,657 INFO ofi_add_4_10: -2.1283420561400835e-07 , std 6.00744603915731e-06 
2023-05-09 13:47:12,657 INFO ofi_add_5_10: -2.0408982315785946e-07 , std 5.543416252157109e-06 
2023-05-09 13:47:12,657 INFO ofi_add_6_10: -3.902561355458591e-08 , std 2.3428521085285523e-06 
2023-05-09 13:47:12,657 INFO ofi_add_7_10: -5.0442428862056274e-08 , std 2.82866253875574e-06 
2023-05-09 13:47:12,657 INFO ofi_add_8_10: -2.774124925626823e-08 , std 1.816838731235785e-06 
2023-05-09 13:47:12,657 INFO ofi_add_9_10: -4.358941893177002e-08 , std 2.6679736620929196e-06 
2023-05-09 13:47:12,657 INFO ofi_add_10_10: -3.715429881852924e-08 , std 2.0569520815193456e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_1_10: -1.6802252106097168e-08 , std 4.792164924322976e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_2_10: -4.446762671449663e-08 , std 4.1423289995513e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_3_10: -1.9096743221525468e-07 , std 4.730034798062975e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_4_10: -1.9884380165036987e-07 , std 5.611664897567314e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_5_10: -1.566234938573619e-08 , std 2.2555634292588235e-06 
2023-05-09 13:47:12,657 INFO ofi_cancel_6_10: -1.0368750981199669e-08 , std 1.5470183726172307e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_7_10: -4.1661840507794505e-09 , std 1.0273956474188083e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_8_10: -6.805018688069915e-09 , std 9.356122554427429e-07 
2023-05-09 13:47:12,658 INFO ofi_cancel_9_10: -2.481129472356957e-09 , std 4.697688004011611e-07 
2023-05-09 13:47:12,658 INFO ofi_cancel_10_10: -1.2381005074476138e-09 , std 3.922952763608684e-07 
2023-05-09 13:47:12,658 INFO ofi_trade_1_10: 0.0 , std 0.0 
2023-05-09 13:47:12,658 INFO ofi_trade_2_10: -2.7192958028464453e-08 , std 2.5999699437593947e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_3_10: -4.400458688708314e-08 , std 2.815705327282524e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_4_10: -6.447922306843534e-08 , std 3.15738516359714e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_5_10: -1.5802310765959064e-08 , std 1.5576939697310483e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_6_10: -8.251224665383794e-09 , std 1.3749819318636769e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_7_10: -5.346343184333691e-09 , std 1.1138080813617866e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_8_10: -7.050610328496792e-09 , std 1.0756979837768231e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_9_10: -1.6505383170793476e-09 , std 6.705258624543346e-07 
2023-05-09 13:47:12,658 INFO ofi_trade_10_10: -4.102557334809954e-09 , std 6.53579480762211e-07 
2023-05-09 13:47:12,658 INFO ofi_add_1_20: -2.071186295835994e-06 , std 9.327366365550331e-06 
2023-05-09 13:47:12,658 INFO ofi_add_2_20: -4.692742860498156e-07 , std 6.686626033244992e-06 
2023-05-09 13:47:12,658 INFO ofi_add_3_20: -1.1687126771148231e-07 , std 4.522984093070934e-06 
