2023-05-09 14:23:58,709 INFO Starting...
2023-05-09 14:23:58,709 INFO Tickers: ['NKE']
2023-05-09 14:25:27,671 INFO ofi_cancel_5_10: -2.2702119244652018e-07 , std 4.22011408912257e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_6_10: -1.0032213014134664e-07 , std 2.809681761035305e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_7_10: -4.631287434014306e-08 , std 2.3641096049784925e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_8_10: -3.818107528696126e-08 , std 1.900994958430109e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_9_10: -2.374901880084964e-08 , std 1.4965869684966946e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_10_10: -2.9438896737149474e-08 , std 1.4716460047209839e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_1_10: -6.987064828871708e-11 , std 1.8351399581010109e-07 
2023-05-09 14:25:27,671 INFO ofi_trade_2_10: -2.3349751797624484e-08 , std 2.2522144655628153e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_3_10: -1.1065980496586304e-07 , std 4.821036321786065e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_4_10: -1.0357820238135628e-07 , std 3.466375372752194e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_5_10: -1.1282620100647912e-07 , std 3.804738254131371e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_6_10: -5.459593238618421e-08 , std 2.7787542700575054e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_7_10: -1.5784424063174497e-08 , std 1.2877614598168468e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_8_10: -1.5525341847998798e-08 , std 1.46621686257829e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_9_10: -1.936061679065314e-09 , std 5.300587280066556e-07 
2023-05-09 14:25:27,671 INFO ofi_trade_10_10: -1.3059322068783787e-08 , std 1.2894849341636587e-06 
2023-05-09 14:25:27,671 INFO ofi_add_1_20: -1.4421755214863593e-06 , std 9.489177294162223e-06 
2023-05-09 14:25:27,671 INFO ofi_add_2_20: -4.617986281994195e-07 , std 6.681522119905928e-06 
2023-05-09 14:25:27,671 INFO ofi_add_3_20: -2.9185190309670684e-07 , std 5.204978159125223e-06 
2023-05-09 14:25:27,671 INFO ofi_add_4_20: -4.018911398254107e-07 , std 5.686229114901745e-06 
2023-05-09 14:25:27,671 INFO ofi_add_5_20: -3.523457035030305e-07 , std 5.531669817961334e-06 
2023-05-09 14:25:27,671 INFO ofi_add_6_20: -3.039670444962789e-07 , std 4.505733900815918e-06 
2023-05-09 14:25:27,671 INFO ofi_add_7_20: -3.032713823138892e-07 , std 4.851566637951999e-06 
2023-05-09 14:25:27,671 INFO ofi_add_8_20: -2.1887114770845047e-07 , std 4.105682350143439e-06 
2023-05-09 14:25:27,671 INFO ofi_add_9_20: -2.1334938072976668e-07 , std 4.4419164048175846e-06 
