2023-05-09 14:17:40,384 INFO Starting...
2023-05-09 14:17:40,384 INFO Tickers: ['TMO']
2023-05-09 14:19:14,487 INFO ofi_add_9_10: -7.552427228306744e-08 , std 2.5749555983014713e-06 
2023-05-09 14:19:14,487 INFO ofi_add_10_10: -7.512795920108249e-08 , std 3.1996478370307405e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_1_10: -2.1118082561055636e-08 , std 1.2615398096121494e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_2_10: -6.131612698047743e-08 , std 2.1914909371501096e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_3_10: -4.917216813294493e-08 , std 1.8287631757834114e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_4_10: -6.482893650620622e-08 , std 2.1408608269807495e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_5_10: -4.9308652358465326e-08 , std 2.234566558088705e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_6_10: -7.220414396032758e-08 , std 2.4563728011136907e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_7_10: -7.7312280547481e-08 , std 2.4345158762123073e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_8_10: -5.714785981433692e-08 , std 2.1671996093671112e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_9_10: -6.306560947515663e-08 , std 2.1167107918608017e-06 
2023-05-09 14:19:14,487 INFO ofi_cancel_10_10: -9.287936643738355e-08 , std 2.6220269365011567e-06 
2023-05-09 14:19:14,487 INFO ofi_trade_1_10: -5.547624815457279e-09 , std 6.20662020060956e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_2_10: -3.8430134764333285e-09 , std 8.709648771293539e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_3_10: -3.637830209510069e-09 , std 8.533274697682796e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_4_10: -2.6292590682207935e-09 , std 3.9887650334000284e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_5_10: -3.0869936588240474e-09 , std 4.6910729397253525e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_6_10: -3.062827226679158e-09 , std 5.869650433258863e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_7_10: -4.518125491309116e-09 , std 6.760135041620581e-07 
2023-05-09 14:19:14,487 INFO ofi_trade_8_10: -1.1221757155906404e-08 , std 1.4867505767511954e-06 
2023-05-09 14:19:14,487 INFO ofi_trade_9_10: -1.0528163174442287e-08 , std 1.1357664055015614e-06 
2023-05-09 14:19:14,488 INFO ofi_trade_10_10: -1.5042035319773163e-08 , std 1.1995697462581088e-06 
2023-05-09 14:19:14,488 INFO ofi_add_1_20: -1.5347495410329827e-07 , std 2.965110020729797e-06 
2023-05-09 14:19:14,488 INFO ofi_add_2_20: -2.505955631044606e-07 , std 3.4204471401263996e-06 
2023-05-09 14:19:14,488 INFO ofi_add_3_20: -2.25786615140145e-07 , std 3.2713748981392746e-06 
2023-05-09 14:19:14,488 INFO ofi_add_4_20: -2.2428293161679275e-07 , std 2.977836204269456e-06 
2023-05-09 14:19:14,488 INFO ofi_add_5_20: -2.1544336150896727e-07 , std 3.053210527343731e-06 
2023-05-09 14:19:14,488 INFO ofi_add_6_20: -1.7945984613997703e-07 , std 3.1022367810618953e-06 
2023-05-09 14:19:14,488 INFO ofi_add_7_20: -1.5496703920867172e-07 , std 2.7402696928101404e-06 
2023-05-09 14:19:14,488 INFO ofi_add_8_20: -1.536411046180029e-07 , std 2.905760534128824e-06 
2023-05-09 14:19:14,488 INFO ofi_add_9_20: -1.3362757983438938e-07 , std 3.4040782874224503e-06 
2023-05-09 14:19:14,488 INFO ofi_add_10_20: -1.3471727384402276e-07 , std 3.5553035425162776e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_1_20: -3.605464411497137e-08 , std 1.7441234267724007e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_2_20: -6.363969347458907e-08 , std 2.362258439498117e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_3_20: -6.368799926621032e-08 , std 2.001367126171178e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_4_20: -7.10226178207465e-08 , std 2.2750577000412246e-06 
