2023-05-09 14:13:00,326 INFO Starting...
2023-05-09 14:13:00,326 INFO Tickers: ['ACN']
2023-05-09 14:14:31,810 INFO ofi_cancel_2_10: -1.0388271575563271e-07 , std 2.5758498257715087e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_3_10: -1.0907947118579928e-07 , std 2.7268726184079036e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_4_10: -1.4193547746377462e-07 , std 3.3167958989639755e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_5_10: -1.032577455320794e-07 , std 2.7296674099040126e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_6_10: -9.865931328913395e-08 , std 3.055423312740449e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_7_10: -8.600849865464137e-08 , std 2.2947877258526465e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_8_10: -7.694714639822001e-08 , std 2.1238504786574274e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_9_10: -6.989706520284855e-08 , std 2.177431462035387e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_10_10: -9.380582667828003e-08 , std 2.2850961322059263e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_1_10: -2.729182437667152e-09 , std 3.370365867859571e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_2_10: -1.5187093602123223e-08 , std 1.4191242407704397e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_3_10: -7.807803690600229e-09 , std 7.443941240885163e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_4_10: -1.0131063365000041e-08 , std 1.162517004879071e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_5_10: -2.1067427812556966e-08 , std 1.8536091217004523e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_6_10: -1.728256052731112e-08 , std 1.2204059878820692e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_7_10: -1.651134764056678e-08 , std 1.3360233232470727e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_8_10: -1.1542682356124684e-08 , std 9.304372057440356e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_9_10: -6.07630516823648e-09 , std 9.556761519174214e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_10_10: -2.603010243633571e-09 , std 4.677414720526928e-07 
2023-05-09 14:14:31,810 INFO ofi_add_1_20: -1.3550201795053778e-07 , std 2.8721734678808243e-06 
2023-05-09 14:14:31,810 INFO ofi_add_2_20: -2.5884900441556205e-07 , std 3.7208214238681786e-06 
2023-05-09 14:14:31,810 INFO ofi_add_3_20: -2.814795697099207e-07 , std 3.7961948878026158e-06 
2023-05-09 14:14:31,810 INFO ofi_add_4_20: -3.120843645769807e-07 , std 3.5769374200871866e-06 
2023-05-09 14:14:31,810 INFO ofi_add_5_20: -3.5433160731384765e-07 , std 3.8576160993313756e-06 
2023-05-09 14:14:31,810 INFO ofi_add_6_20: -2.983325984384164e-07 , std 3.3823337293733895e-06 
2023-05-09 14:14:31,810 INFO ofi_add_7_20: -2.4246965153064844e-07 , std 3.232840924981864e-06 
2023-05-09 14:14:31,810 INFO ofi_add_8_20: -2.0571282335496737e-07 , std 3.210245408721043e-06 
2023-05-09 14:14:31,810 INFO ofi_add_9_20: -1.876343594905276e-07 , std 3.078022311874645e-06 
2023-05-09 14:14:31,810 INFO ofi_add_10_20: -2.39599423811246e-07 , std 3.723628005293897e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_1_20: -7.319111717727723e-08 , std 2.4305057797470582e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_2_20: -1.2332617665961254e-07 , std 2.9616808787913272e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_3_20: -1.3323841834701084e-07 , std 3.0798242523690154e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_4_20: -1.5652031957119883e-07 , std 3.1907686061176167e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_5_20: -1.278763618298047e-07 , std 2.7115491019213054e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_6_20: -1.2237892438220538e-07 , std 2.616653342038723e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_7_20: -9.542270001908609e-08 , std 2.4637603586098913e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_8_20: -6.680929833329666e-08 , std 2.013199250511564e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_9_20: -7.277116787418935e-08 , std 2.5572854064896853e-06 
2023-05-09 14:14:31,810 INFO ofi_cancel_10_20: -1.2612719821611776e-07 , std 2.726963623424651e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_1_20: -2.0954621303599744e-09 , std 3.759922924917114e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_2_20: -6.821174645333965e-10 , std 6.367228428779854e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_3_20: -5.982612560435308e-09 , std 7.191544776304938e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_4_20: -1.2803921616415172e-08 , std 9.55328098108734e-07 
2023-05-09 14:14:31,810 INFO ofi_trade_5_20: -1.8996545540870756e-08 , std 1.1913541616368839e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_6_20: -1.753494729291064e-08 , std 1.0668387868545942e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_7_20: -2.5586343002048925e-08 , std 1.6564556890804773e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_8_20: -1.5581858131431447e-08 , std 1.368210508079988e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_9_20: -1.1234461509626422e-08 , std 1.136100155740906e-06 
2023-05-09 14:14:31,810 INFO ofi_trade_10_20: -3.2716822301035885e-09 , std 5.150828141566951e-07 
2023-05-09 14:14:31,810 INFO ofi_add_1_30: -1.5120630553277558e-07 , std 3.099332347117575e-06 
2023-05-09 14:14:31,811 INFO ofi_add_2_30: -2.8864513266502754e-07 , std 3.930597782145073e-06 
2023-05-09 14:14:31,811 INFO ofi_add_3_30: -2.716156630375926e-07 , std 3.4008969683877894e-06 
2023-05-09 14:14:31,811 INFO ofi_add_4_30: -3.503246124572769e-07 , std 3.954086832964334e-06 
2023-05-09 14:14:31,811 INFO ofi_add_5_30: -3.96557563907951e-07 , std 3.9503351581628e-06 
2023-05-09 14:14:31,811 INFO ofi_add_6_30: -3.500996001267919e-07 , std 3.6679759429210527e-06 
2023-05-09 14:14:31,811 INFO ofi_add_7_30: -2.701713168008811e-07 , std 3.370068690269285e-06 
2023-05-09 14:14:31,811 INFO ofi_add_8_30: -2.3279787950182835e-07 , std 3.0142433274508066e-06 
2023-05-09 14:14:31,811 INFO ofi_add_9_30: -2.141023332419542e-07 , std 3.254903764530095e-06 
2023-05-09 14:14:31,811 INFO ofi_add_10_30: -2.7703736586452753e-07 , std 3.8108948753206396e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_1_30: -7.739098314322345e-08 , std 2.708153306837883e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_2_30: -1.2552860483463996e-07 , std 2.5997080743978375e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_3_30: -1.5053648368861025e-07 , std 3.0166871817656126e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_4_30: -1.3055821229840248e-07 , std 2.7646521948236243e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_5_30: -1.1367107164553023e-07 , std 2.4662901637109546e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_6_30: -1.2300946740191924e-07 , std 2.6005578403346654e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_7_30: -9.963845281509863e-08 , std 2.4781087766293007e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_8_30: -9.041418000910835e-08 , std 2.3104166671672017e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_9_30: -9.292180659621256e-08 , std 2.7829896623442633e-06 
2023-05-09 14:14:31,811 INFO ofi_cancel_10_30: -1.3583176425783668e-07 , std 2.6705397407687987e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_1_30: -1.9084209746434e-09 , std 3.066789909410709e-07 
2023-05-09 14:14:31,811 INFO ofi_trade_2_30: -1.3295122510280049e-08 , std 1.3194694483771462e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_3_30: -1.9714425301409127e-08 , std 1.7276133241721855e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_4_30: -8.00101288978442e-09 , std 1.0513421422047933e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_5_30: -2.2321166827431753e-08 , std 1.6004291730953304e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_6_30: -1.959537154030439e-08 , std 1.560052225960294e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_7_30: -1.2723052900112058e-08 , std 1.0220713863722624e-06 
2023-05-09 14:14:31,811 INFO ofi_trade_8_30: -1.2767629586591574e-08 , std 8.770423064371231e-07 
2023-05-09 14:14:31,811 INFO ofi_trade_9_30: -7.403434719967737e-09 , std 8.210321657214285e-07 
2023-05-09 14:14:31,811 INFO ofi_trade_10_30: -1.1809651567145823e-08 , std 1.1978772471496e-06 
2023-05-09 14:14:31,811 INFO used_intercept: 0.9850397734120766 , std 0.12139364978598075 
2023-05-09 14:14:31,811 INFO used_ofi_add_1_1: 0.0020439114539391747 , std 0.04516341306752217 
2023-05-09 14:14:31,811 INFO used_ofi_add_2_1: 0.00413804186252059 , std 0.06419438037760485 
2023-05-09 14:14:31,811 INFO used_ofi_add_3_1: 0.00423847977180507 , std 0.0649654913090717 
2023-05-09 14:14:31,811 INFO used_ofi_add_4_1: 0.005026917359688241 , std 0.07072232647154013 
2023-05-09 14:14:31,811 INFO used_ofi_add_5_1: 0.005830420633964084 , std 0.07613426842884306 
