2023-05-09 14:16:06,876 INFO Starting...
2023-05-09 14:16:06,876 INFO Tickers: ['PYPL']
2023-05-09 14:17:39,695 INFO ofi_cancel_8_10: -9.00014713830035e-08 , std 2.5792717439187424e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_9_10: -9.26023045288825e-08 , std 2.6415872912995206e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_10_10: -1.0018719652091783e-07 , std 2.5994471831790007e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_1_10: -2.5051672373750776e-09 , std 4.2838190670904075e-07 
2023-05-09 14:17:39,695 INFO ofi_trade_2_10: -4.146659803094198e-08 , std 2.4511980007467276e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_3_10: -1.22481487492436e-07 , std 4.549780647178903e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_4_10: -1.2001875237339222e-07 , std 4.405852749392468e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_5_10: -1.4173191665520855e-07 , std 4.987766810941944e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_6_10: -8.217597208214785e-08 , std 3.4912844453608984e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_7_10: -5.8345824680168094e-08 , std 2.643066606505156e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_8_10: -6.25118971479855e-08 , std 2.2680384821358037e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_9_10: -4.247942692653887e-08 , std 3.3902156045701493e-06 
2023-05-09 14:17:39,695 INFO ofi_trade_10_10: -5.859154256466626e-08 , std 2.920766604690069e-06 
2023-05-09 14:17:39,695 INFO ofi_add_1_20: -1.2839906792485939e-06 , std 9.740165621617549e-06 
2023-05-09 14:17:39,695 INFO ofi_add_2_20: -4.970954776857468e-07 , std 7.189827652991647e-06 
2023-05-09 14:17:39,695 INFO ofi_add_3_20: -3.0046840545662437e-07 , std 5.828843468675321e-06 
2023-05-09 14:17:39,695 INFO ofi_add_4_20: -3.2838536938004465e-07 , std 5.126671193949248e-06 
2023-05-09 14:17:39,695 INFO ofi_add_5_20: -3.902567677145287e-07 , std 6.027729618455738e-06 
2023-05-09 14:17:39,695 INFO ofi_add_6_20: -3.3915190187860015e-07 , std 5.633125456904629e-06 
2023-05-09 14:17:39,695 INFO ofi_add_7_20: -3.130045159737304e-07 , std 5.592674117786003e-06 
2023-05-09 14:17:39,695 INFO ofi_add_8_20: -2.555225661108881e-07 , std 4.99064018451486e-06 
2023-05-09 14:17:39,695 INFO ofi_add_9_20: -2.571138983124885e-07 , std 5.2320433147167765e-06 
2023-05-09 14:17:39,695 INFO ofi_add_10_20: -2.9759100753044645e-07 , std 6.4170530034076336e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_1_20: -4.50236302161041e-08 , std 4.1151874301918635e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_2_20: -1.7644095557647763e-07 , std 4.919318121774572e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_3_20: -1.6336600303035895e-07 , std 4.709884499281154e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_4_20: -1.9178113960783282e-07 , std 5.0695788572037195e-06 
2023-05-09 14:17:39,695 INFO ofi_cancel_5_20: -1.3274010154878363e-07 , std 3.5510993114792986e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_6_20: -1.1273750191948794e-07 , std 3.163946778585512e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_7_20: -9.044158834277618e-08 , std 2.5424100340216563e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_8_20: -1.0325252623167624e-07 , std 2.71866211770743e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_9_20: -1.1063241370177616e-07 , std 2.70360121232574e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_10_20: -1.2703279603330528e-07 , std 3.0887779068894003e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_1_20: -6.76742935329313e-09 , std 9.409986639635646e-07 
2023-05-09 14:17:39,696 INFO ofi_trade_2_20: -6.288494163488998e-08 , std 3.380852371377799e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_3_20: -1.2923845397488393e-07 , std 4.441537000934075e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_4_20: -1.2739384104580433e-07 , std 4.639633224547906e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_5_20: -1.5261007402472623e-07 , std 4.7260706285266615e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_6_20: -8.90654983366848e-08 , std 3.748321447291941e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_7_20: -8.578542533494073e-08 , std 2.865629925913178e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_8_20: -1.0503880392862523e-07 , std 3.806858706871428e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_9_20: -6.649472417178309e-08 , std 3.403622687295489e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_10_20: -7.155919979467904e-08 , std 2.738151381571504e-06 
2023-05-09 14:17:39,696 INFO ofi_add_1_30: -1.7283762531810467e-06 , std 1.1626429613074258e-05 
2023-05-09 14:17:39,696 INFO ofi_add_2_30: -6.237730766106739e-07 , std 8.155272995145528e-06 
2023-05-09 14:17:39,696 INFO ofi_add_3_30: -3.373105794508886e-07 , std 5.6851387205551884e-06 
2023-05-09 14:17:39,696 INFO ofi_add_4_30: -4.1717938408150254e-07 , std 7.0823989077950816e-06 
2023-05-09 14:17:39,696 INFO ofi_add_5_30: -3.8758498396998894e-07 , std 6.056914014577076e-06 
2023-05-09 14:17:39,696 INFO ofi_add_6_30: -4.300464179308483e-07 , std 5.587391204203296e-06 
2023-05-09 14:17:39,696 INFO ofi_add_7_30: -3.713087731676317e-07 , std 6.526200600580938e-06 
2023-05-09 14:17:39,696 INFO ofi_add_8_30: -2.585946927059877e-07 , std 5.4469216255888246e-06 
2023-05-09 14:17:39,696 INFO ofi_add_9_30: -3.0809529815145585e-07 , std 6.101248278539081e-06 
2023-05-09 14:17:39,696 INFO ofi_add_10_30: -2.8328076880336306e-07 , std 5.580444355166195e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_1_30: -5.883833699951684e-08 , std 5.0883540424622574e-06 
