2023-05-09 14:47:44,843 INFO Starting...
2023-05-09 14:47:44,843 INFO Tickers: ['MO']
2023-05-09 14:49:15,524 INFO ofi_add_4_5: -3.2207329743934653e-07 , std 5.9419859845201596e-06 
2023-05-09 14:49:15,524 INFO ofi_add_5_5: -2.879245015762611e-07 , std 5.773877823739858e-06 
2023-05-09 14:49:15,524 INFO ofi_add_6_5: -2.469320350881914e-07 , std 5.579051349246183e-06 
2023-05-09 14:49:15,524 INFO ofi_add_7_5: -2.6097406612937673e-07 , std 5.4535392991805424e-06 
2023-05-09 14:49:15,524 INFO ofi_add_8_5: -1.1930635315064609e-07 , std 4.394976146921071e-06 
2023-05-09 14:49:15,524 INFO ofi_add_9_5: -1.6095149803343504e-07 , std 4.50586531382548e-06 
2023-05-09 14:49:15,524 INFO ofi_add_10_5: -1.0435057905820383e-07 , std 5.026227330053043e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_1_5: -1.192275445202513e-07 , std 5.018589088101145e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_2_5: -2.586384717507859e-07 , std 6.560319963258793e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_3_5: -1.9525868051560525e-07 , std 4.835177601432457e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_4_5: -2.078603436823825e-07 , std 5.122580932830939e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_5_5: -1.0887414587486287e-07 , std 4.530239321041499e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_6_5: -1.0498057640179311e-07 , std 4.6858519624686645e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_7_5: -3.5748417944641154e-08 , std 2.6010095384789152e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_8_5: -6.502291694193216e-08 , std 3.9382942115675e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_9_5: -2.923797395272806e-08 , std 2.841662159082587e-06 
2023-05-09 14:49:15,524 INFO ofi_cancel_10_5: -3.493933137398232e-08 , std 1.8455573704273293e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_1_5: -2.3967501590292807e-09 , std 7.983724585361996e-07 
2023-05-09 14:49:15,524 INFO ofi_trade_2_5: -9.381698031356128e-08 , std 4.92350274491686e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_3_5: -1.8080131722484886e-07 , std 5.7904101848727634e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_4_5: -8.004699629744193e-08 , std 3.569155711127858e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_5_5: -7.156663776094654e-08 , std 3.660361851898122e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_6_5: -3.381307015121815e-08 , std 2.7897333386759846e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_7_5: -3.620954611608144e-08 , std 2.6921330152344338e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_8_5: -1.9544973535483e-08 , std 1.9476695206329445e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_9_5: -1.7143102489836718e-08 , std 1.7817790400752013e-06 
2023-05-09 14:49:15,524 INFO ofi_trade_10_5: -2.121777727374423e-08 , std 1.8847275555549625e-06 
2023-05-09 14:49:15,525 INFO ofi_add_1_10: -1.9945976783309207e-06 , std 1.222184461130543e-05 
2023-05-09 14:49:15,525 INFO ofi_add_2_10: -6.135914942316038e-07 , std 7.6093645031875535e-06 
2023-05-09 14:49:15,525 INFO ofi_add_3_10: -3.660445702129363e-07 , std 6.134438986920088e-06 
2023-05-09 14:49:15,525 INFO ofi_add_4_10: -4.812012312701053e-07 , std 6.766584624191199e-06 
2023-05-09 14:49:15,525 INFO ofi_add_5_10: -3.137205733991194e-07 , std 5.488394333589456e-06 
2023-05-09 14:49:15,525 INFO ofi_add_6_10: -3.1023251311084385e-07 , std 5.4029596208082975e-06 
2023-05-09 14:49:15,525 INFO ofi_add_7_10: -2.954333082639526e-07 , std 5.839867161573911e-06 
2023-05-09 14:49:15,525 INFO ofi_add_8_10: -2.0052741295286092e-07 , std 5.119833060589497e-06 
2023-05-09 14:49:15,525 INFO ofi_add_9_10: -1.965032365228294e-07 , std 4.765869292917822e-06 
2023-05-09 14:49:15,525 INFO ofi_add_10_10: -1.7228782501553725e-07 , std 5.312429754364378e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_1_10: -1.4251417559413856e-07 , std 5.426608930278745e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_2_10: -2.0563282342518028e-07 , std 5.147305881327828e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_3_10: -2.0969829332138633e-07 , std 5.1132559768148705e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_4_10: -1.7950367466952986e-07 , std 5.432017163264247e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_5_10: -1.685103652810791e-07 , std 5.107855312872375e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_6_10: -1.0701818686305402e-07 , std 4.027663118510007e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_7_10: -4.705175554079483e-08 , std 3.124558114553816e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_8_10: -4.2764940772696866e-08 , std 2.3635240166108173e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_9_10: -3.990221766006614e-08 , std 2.5140383311722753e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_10_10: -7.188275163517405e-08 , std 3.5821715473384566e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_1_10: -1.7427178388961832e-09 , std 8.539714876695404e-07 
2023-05-09 14:49:15,525 INFO ofi_trade_2_10: -1.0601807186950712e-07 , std 3.928330437851325e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_3_10: -2.0499471208292003e-07 , std 5.420991914078798e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_4_10: -8.164971823259181e-08 , std 3.929348055005234e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_5_10: -8.707328934622084e-08 , std 4.4519557006005215e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_6_10: -4.131078496956642e-08 , std 2.629535095951174e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_7_10: -4.276213508776839e-08 , std 3.427002722882708e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_8_10: -2.621211997149761e-08 , std 2.1560699862291446e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_9_10: -1.9685344680122284e-08 , std 1.6304955985235562e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_10_10: -3.440060085498261e-08 , std 2.7340478595265246e-06 
2023-05-09 14:49:15,525 INFO ofi_add_1_20: -2.1439342215358947e-06 , std 1.1783889220948059e-05 
2023-05-09 14:49:15,525 INFO ofi_add_2_20: -7.786496553302955e-07 , std 9.000550909066484e-06 
2023-05-09 14:49:15,525 INFO ofi_add_3_20: -4.3413669213181147e-07 , std 6.5940556442088094e-06 
2023-05-09 14:49:15,525 INFO ofi_add_4_20: -5.108186653317093e-07 , std 6.839022520824372e-06 
2023-05-09 14:49:15,525 INFO ofi_add_5_20: -4.014834351413354e-07 , std 5.882920450591231e-06 
2023-05-09 14:49:15,525 INFO ofi_add_6_20: -3.5469753228472347e-07 , std 5.511813456095035e-06 
2023-05-09 14:49:15,525 INFO ofi_add_7_20: -3.552680197375599e-07 , std 5.576419734458406e-06 
2023-05-09 14:49:15,525 INFO ofi_add_8_20: -2.447240803547845e-07 , std 5.244692972871346e-06 
2023-05-09 14:49:15,525 INFO ofi_add_9_20: -1.9334031222045767e-07 , std 5.248096040620552e-06 
2023-05-09 14:49:15,525 INFO ofi_add_10_20: -2.0860339091423608e-07 , std 5.513913299336906e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_1_20: -1.8860746364207122e-07 , std 5.751543496630946e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_2_20: -2.6761184469857186e-07 , std 5.823278429444549e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_3_20: -2.6085941293020704e-07 , std 5.593831086498162e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_4_20: -2.1068694611793015e-07 , std 4.930390715180377e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_5_20: -1.385067364570898e-07 , std 3.940829720665955e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_6_20: -1.0048751465517688e-07 , std 3.771805225949925e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_7_20: -5.677913824321812e-08 , std 2.8863038736327757e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_8_20: -5.417622816985576e-08 , std 2.3001623782719244e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_9_20: -5.269044660841221e-08 , std 2.724286682055594e-06 
2023-05-09 14:49:15,525 INFO ofi_cancel_10_20: -4.3530334541165956e-08 , std 2.073397723856863e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_1_20: -2.1181344353458802e-09 , std 7.610704036598408e-07 
2023-05-09 14:49:15,525 INFO ofi_trade_2_20: -1.177554095468803e-07 , std 4.6536178039207664e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_3_20: -1.9244879964448362e-07 , std 5.263810462870919e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_4_20: -1.259154655531164e-07 , std 4.729261563166766e-06 
2023-05-09 14:49:15,525 INFO ofi_trade_5_20: -1.0149743627801524e-07 , std 4.139741423152048e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_6_20: -4.103519121302178e-08 , std 2.471461138952062e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_7_20: -5.710813585673625e-08 , std 3.1262610617439432e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_8_20: -2.1741469297764225e-08 , std 2.2425180968065284e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_9_20: -1.9870970919670883e-08 , std 1.6046028665190994e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_10_20: -3.045726307835584e-08 , std 2.295640730997568e-06 
